experiment,strain,temp_C,gurobi,gurobi_rescaled,glpk,glpk_rescaled,glpk_minus_gurobi,glpk_rescaled_minus_gurobi,gurobi_rescaled_minus_gurobi
transfer_candida,cauris_iRV973,22.0,0.09021898833991535,0.09021898833991042,0.09021898833988695,0.09021898833976412,-2.839395385478838e-14,-1.5122625374175414e-13,-4.926614671774132e-15
transfer_candida,cauris_iRV973,26.0,0.2097509460839397,0.20975094608393968,0.20975094608393624,0.20975094608387534,-3.469446951953614e-15,-6.436517985264345e-14,-2.7755575615628914e-17
transfer_candida,cauris_iRV973,30.0,0.3271464842980653,0.32714648429806503,0.32714648429808096,0.3271464842981644,1.5654144647214707e-14,9.908740494779522e-14,-2.7755575615628914e-16
transfer_candida,cauris_iRV973,34.0,0.3851263531380433,0.38512635313802973,0.3851263531380799,0.3851263531380492,3.6637359812630166e-14,5.9396931817445875e-15,-1.354472090042691e-14
transfer_candida,cauris_iRV973,38.0,0.3592929924832357,0.3592929924832365,0.35929299248325103,0.3592929924832371,1.532107773982716e-14,1.3877787807814457e-15,7.771561172376096e-16
transfer_candida,cauris_iRV973,44.0,0.21570091988785034,0.21570091988785037,0.21570091988785006,0.21570091988785003,-2.7755575615628914e-16,-3.0531133177191805e-16,2.7755575615628914e-17
transfer_candida,chaemulonii_draft,22.0,0.10620673568102287,0.10620673568101323,0.1066949970246142,0.10620673568102185,0.0004882613435913258,-1.0269562977782698e-15,-9.645062526431047e-15
transfer_candida,chaemulonii_draft,26.0,0.20700814064567882,0.20700814064567877,0.20700814064567216,0.20700814064567571,-6.661338147750939e-15,-3.1086244689504383e-15,-5.551115123125783e-17
transfer_candida,chaemulonii_draft,30.0,0.3044054874251908,0.30440548742519635,0.3044054874251985,0.3044054874251892,7.716050021144838e-15,-1.609823385706477e-15,5.551115123125783e-15
transfer_candida,chaemulonii_draft,34.0,0.3521956981448342,0.3521956981448345,0.3521956981448359,0.35219569814483775,1.7208456881689926e-15,3.552713678800501e-15,2.7755575615628914e-16
transfer_candida,chaemulonii_draft,38.0,0.3224916586774596,0.3224916586774602,0.32249165867745977,0.3224916586774575,1.6653345369377348e-16,-2.1094237467877974e-15,6.106226635438361e-16
transfer_candida,chaemulonii_draft,44.0,0.1848186884354061,0.1848186884354061,0.1848186884354061,0.184818688435406,0.0,-1.1102230246251565e-16,0.0
transfer_candida,cduobushaemulonii_draft,22.0,0.1024149654453144,0.10241496544531536,0.10279251390453316,0.10241496544530825,0.00037754845921876556,-6.147859998861804e-15,9.71445146547012e-16
transfer_candida,cduobushaemulonii_draft,26.0,0.18099220015596376,0.1809922001559627,0.18099220015596237,0.1809922001559631,-1.3877787807814457e-15,-6.661338147750939e-16,-1.0547118733938987e-15
transfer_candida,cduobushaemulonii_draft,30.0,0.24461671188537296,0.24461671188537265,0.2446167118853733,0.24461671188537273,3.3306690738754696e-16,-2.220446049250313e-16,-3.0531133177191805e-16
transfer_candida,cduobushaemulonii_draft,34.0,0.26694489193619364,0.26694489193619275,0.26694489193619353,0.26694489193619425,-1.1102230246251565e-16,6.106226635438361e-16,-8.881784197001252e-16
transfer_candida,cduobushaemulonii_draft,38.0,0.23924970433303427,0.2392497043330343,0.23924970433303325,0.23924970433303336,-1.0269562977782698e-15,-9.159339953157541e-16,2.7755575615628914e-17
transfer_candida,cduobushaemulonii_draft,44.0,0.13707159510330785,0.13707159510330766,0.13707159510330796,0.13707159510330716,1.1102230246251565e-16,-6.938893903907228e-16,-1.942890293094024e-16
transfer_candida,cparapsilosis_iDC1003,22.0,0.11042286180146389,0.11042286180146518,0.11042286180147082,0.11042286180147039,6.925016116099414e-15,6.494804694057166e-15,1.2906342661267445e-15
transfer_candida,cparapsilosis_iDC1003,26.0,0.2185028101177762,0.21850281011777345,0.21850281011778075,0.2185028101177761,4.551914400963142e-15,-1.1102230246251565e-16,-2.7478019859472624e-15
transfer_candida,cparapsilosis_iDC1003,30.0,0.3036054630609108,0.30360546306091424,0.3036054630609116,0.30360546306090913,7.771561172376096e-16,-1.6653345369377348e-15,3.4416913763379853e-15
transfer_candida,cparapsilosis_iDC1003,34.0,0.3238415035725298,0.32384150357254476,0.32384150357254254,0.3238415035725383,1.27675647831893e-14,8.548717289613705e-15,1.4988010832439613e-14
transfer_candida,cparapsilosis_iDC1003,38.0,0.31630768094863804,0.3163076809486381,0.31630768094863115,0.3163076809486382,-6.8833827526759706e-15,1.6653345369377348e-16,5.551115123125783e-17
transfer_candida,cparapsilosis_iDC1003,44.0,0.18829981070911941,0.18829981070911994,0.18829981070911864,0.18829981070911936,-7.771561172376096e-16,-5.551115123125783e-17,5.273559366969494e-16
candida_B3_ngamT,cauris_iRV973,22.0,0.012833520255356171,0.012833520255356593,0.013950666703203968,0.01393926583634659,0.0011171464478477965,0.001105745580990419,4.215378046623641e-16
candida_B3_ngamT,cauris_iRV973,26.0,0.036355196706477196,0.036355196706482566,0.03635640970674992,0.03635519670648102,1.2130002727261946e-06,3.823330541052883e-15,5.370703881624195e-15
candida_B3_ngamT,cauris_iRV973,30.0,0.06996629002188919,0.06996629002188898,0.06996629002188895,0.0699662900218758,-2.3592239273284576e-16,-1.339206523454095e-14,-2.0816681711721685e-16
candida_B3_ngamT,cauris_iRV973,34.0,0.0960040025908404,0.09600400259084041,0.09600400259084191,0.09600400259084023,1.5126788710517758e-15,-1.6653345369377348e-16,1.3877787807814457e-17
candida_B3_ngamT,cauris_iRV973,38.0,0.10414187970394363,0.10414187970394363,0.10414187970394319,0.10414187970394964,-4.440892098500626e-16,6.00908212078366e-15,0.0
candida_B3_ngamT,cauris_iRV973,44.0,0.08987122906367986,0.0898712290636799,0.0898712290636792,0.08987122906368017,-6.661338147750939e-16,3.0531133177191805e-16,4.163336342344337e-17
candida_B3_ngamT,chaemulonii_draft,22.0,0.007086970526994919,0.007086970526994921,0.007089299192799267,0.007086970526994397,2.328665804348512e-06,-5.221517662690189e-16,2.6020852139652106e-18
candida_B3_ngamT,chaemulonii_draft,26.0,0.02125491128052721,0.021254911280527252,0.021262500378194965,0.021254911280527214,7.589097667754646e-06,3.469446951953614e-18,4.163336342344337e-17
candida_B3_ngamT,chaemulonii_draft,30.0,0.04693973692686446,0.04693973692686446,0.04695715488292876,0.04693973692686453,1.7417956064295914e-05,6.938893903907228e-17,0.0
candida_B3_ngamT,chaemulonii_draft,34.0,0.07412718030269486,0.07412718030269504,0.07412718030269476,0.07412718030269455,-9.71445146547012e-17,-3.0531133177191805e-16,1.8041124150158794e-16
candida_B3_ngamT,chaemulonii_draft,38.0,0.08865096310333553,0.0886509631033352,0.08865096310334664,0.08865096310333503,1.1102230246251565e-14,-4.996003610813204e-16,-3.3306690738754696e-16
candida_B3_ngamT,chaemulonii_draft,44.0,0.08002427346939985,0.08002427346940023,0.08002427346939982,0.08002427346940019,-2.7755575615628914e-17,3.469446951953614e-16,3.885780586188048e-16
candida_B3_ngamT,cduobushaemulonii_draft,22.0,0.01818601040677353,0.018186010406773902,0.01827681081846176,0.018186010406774037,9.080041168823064e-05,5.065392549852277e-16,3.712308238590367e-16
candida_B3_ngamT,cduobushaemulonii_draft,26.0,0.04178012245052325,0.041780122450523226,0.04189944038311304,0.041780122450523406,0.00011931793258979084,1.5959455978986625e-16,-2.0816681711721685e-17
candida_B3_ngamT,cduobushaemulonii_draft,30.0,0.06286594423452974,0.06286594423452783,0.0628659442345287,0.06286594423452944,-1.0408340855860843e-15,-2.914335439641036e-16,-1.9012569296705806e-15
candida_B3_ngamT,cduobushaemulonii_draft,34.0,0.0727599150714077,0.07275991507140722,0.07275991507140823,0.07275991507140787,5.412337245047638e-16,1.8041124150158794e-16,-4.718447854656915e-16
candida_B3_ngamT,cduobushaemulonii_draft,38.0,0.07280076604618664,0.07280076604618661,0.07280076604618652,0.07280076604618646,-1.249000902703301e-16,-1.8041124150158794e-16,-2.7755575615628914e-17
candida_B3_ngamT,cduobushaemulonii_draft,44.0,0.0594995413641651,0.05949954136416506,0.059499541364165555,0.059499541364165166,4.579669976578771e-16,6.938893903907228e-17,-3.469446951953614e-17
candida_B3_ngamT,cparapsilosis_iDC1003,22.0,0.019558096318991754,0.019558096318991868,0.019568602931689306,0.01955809631900383,1.050661269755282e-05,1.2077144839750531e-14,1.1449174941446927e-16
candida_B3_ngamT,cparapsilosis_iDC1003,26.0,0.04498868475840915,0.0449886847584092,0.04498868475840739,0.04498868475840458,-1.7555401576885288e-15,-4.565792188770956e-15,4.85722573273506e-17
candida_B3_ngamT,cparapsilosis_iDC1003,30.0,0.0666464614064157,0.06664646140641446,0.06664646140641921,0.06664646140642133,3.5110803153770576e-15,5.6343818499726694e-15,-1.2351231148954867e-15
candida_B3_ngamT,cparapsilosis_iDC1003,34.0,0.08206446174028849,0.08206446174028936,0.08206446174029125,0.08206446174028978,2.761679773755077e-15,1.2906342661267445e-15,8.743006318923108e-16
candida_B3_ngamT,cparapsilosis_iDC1003,38.0,0.08570176864579199,0.0857017686457931,0.08570176864579167,0.08570176864579249,-3.191891195797325e-16,4.996003610813204e-16,1.1102230246251565e-15
candida_B3_ngamT,cparapsilosis_iDC1003,44.0,0.0707163416837451,0.07071634168374562,0.07071634168374555,0.07071634168374717,4.440892098500626e-16,2.067790383364354e-15,5.134781488891349e-16
