temp_C,growth
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.004025974304543835
17.0,0.010760608865851739
18.0,0.019708453909596566
19.0,0.031335843539143836
20.0,0.046123689103913956
21.0,0.06454075077180138
22.0,0.08698764481101806
23.0,0.11371467910313496
24.0,0.14481952684104343
25.0,0.18018438576860343
26.0,0.2194384552662169
27.0,0.26193545357473863
28.0,0.3067508586620699
29.0,0.3516411902710144
30.0,0.3960938259424518
31.0,0.4388041200399304
32.0,0.4782227524411917
33.0,0.5128406083122338
34.0,0.5406686939041925
35.0,0.5588184115422011
36.0,0.5679516977902599
37.0,0.5710237984332194
38.0,0.5679752530319292
39.0,0.5590183482745107
40.0,0.5415478479420401
41.0,0.514960737678995
42.0,0.4821028143058334
43.0,0.44498640169875353
44.0,0.405006672050534
45.0,0.3635365410539759
46.0,0.3218552916655856
47.0,0.28017848228136405
48.0,0.24018370119796617
49.0,0.20284993792830083
50.0,0.16870746686725369
51.0,0.13807647070543905
52.0,0.1110886038814908
53.0,0.0877478803276378
54.0,0.06786955913517291
55.0,0.051190067237121016
56.0,0.037398804469435554
57.0,0.026165156582841367
58.0,0.0171465723885495
59.0,0.010007493172848889
60.0,0.004433056310833388
