point,T_C,growth_obs,growth_pred,o2_pred,resp_obs,weight,growth_term,resp_term
A,15.0,0.0936701453894738,0.0,,2.068027832444964e-12,0.0,0.674160272326664,0.0
A,20.0,0.2559843718759313,0.12352433215247613,5.970068621264617,3.687783038619309e-12,1.0,0.5335278231543619,-1.300509411564806
A,25.0,0.5854109831137138,0.5514224489090866,12.173516791546318,6.290748964292866e-12,1.0,0.7944611336025024,-1.2951753092529394
A,27.0,0.7256015042847492,0.8178425246977775,18.19359669179982,7.761786011690096e-12,1.0,0.669540912032355,-1.3042152615382665
A,30.0,1.0547952292033644,1.2502741957318044,23.630367426052967,1.1774686139255335e-11,1.0,0.21325029607274903,-1.299635447723719
A,35.0,1.563216021759888,1.5262411964404352,31.82633866122119,1.87365834111843e-11,1.0,0.6285907623006052,-1.3295353396032776
A,37.0,1.8531738839033693,1.5850292827838641,35.18859251252142,2.083376177433536e-11,1.0,-0.13886122373359044,-1.3020120909748232
A,40.0,2.076066941043892,1.6266365148640798,38.70018100420601,1.6808627360992622e-11,1.0,-1.4966934464976924,-1.3198149816298488
A,43.0,1.594020791720448,1.559212876816288,35.23263914119317,2.5140293981123656e-11,1.0,0.6072701455657812,-1.3171843884426282
A,45.0,0.9149168471635901,1.2969237245699705,29.722140607655316,3.392723037900915e-11,1.0,-0.5504109741395403,-1.4380179661690897
A,47.0,0.45703721797751323,0.40143855888804775,21.092526118947703,1.7552999132147447e-11,1.0,0.6762681574476117,-1.3477388466030418
A,50.0,0.09432067438045605,0.0008606246798118345,8.172958503476927,2.469563996837463e-12,0.08606246798118344,0.3394554924901186,-0.11894554251844933
B,15.0,0.0936701453894738,3.762216709545955e-05,0.8423763757292014,2.068027832444964e-12,0.0,-0.6827945843827126,0.0
B,20.0,0.2559843718759313,0.00017773254268483332,0.8129110527939576,3.687783038619309e-12,0.01777325426848333,-0.7288917474962738,-0.049537545489178006
B,25.0,0.5854109831137138,0.0008501752284288141,0.8349345612482566,6.290748964292866e-12,0.0850175228428814,-0.9536361269564142,-0.2942220586548725
B,27.0,0.7256015042847492,0.0011927354071656793,1.1261756621346408,7.761786011690096e-12,0.11927354071656793,-1.1025738767153899,-0.3978797086890824
B,30.0,1.0547952292033644,0.001879173532053752,1.5174164068706537,1.1774686139255335e-11,0.1879173532053752,-1.5733725835605326,-0.6558257655789802
B,35.0,1.563216021759888,0.003471310594350995,2.0608801092074325,1.87365834111843e-11,0.3471310594350995,-2.6245790456742464,-1.2568991864446468
B,37.0,1.8531738839033693,0.006088038735715493,2.391582934247681,2.083376177433536e-11,0.6088038735715493,-3.3823050772429406,-2.2305442745088513
B,40.0,2.076066941043892,0.01947209905732951,3.3001179057681944,1.6808627360992622e-11,1.0,-4.03664644915281,-2.889845872063599
B,43.0,1.594020791720448,0.11795150236599242,7.238592459929901,2.5140293981123656e-11,1.0,-2.4179620609873895,-2.4801908135225084
B,45.0,0.9149168471635901,0.1628864692914241,9.166455947290084,3.392723037900915e-11,1.0,-1.1404347057740574,-2.549121957965739
B,47.0,0.45703721797751323,0.15977635089769765,9.15554423567801,1.7552999132147447e-11,1.0,-0.7522056332139343,-1.9234257640649775
B,50.0,0.09432067438045605,0.0008952311453818377,4.269864330382595,2.469563996837463e-12,0.08952311453818376,-0.714022342664904,-0.12016303818518712
P4,15.0,0.0936701453894738,0.04763471036409977,2.716661623522426,2.068027832444964e-12,1.0,0.49466096825027495,-1.3263698825049592
P4,20.0,0.2559843718759313,0.24896761407589874,6.467970354169907,3.687783038619309e-12,1.0,0.5127548183966325,-1.300496570145035
P4,25.0,0.5854109831137138,0.7373509276079279,16.487215881410474,6.290748964292866e-12,1.0,0.3101934669380825,-1.3447773443272981
P4,27.0,0.7256015042847492,0.924434551595237,19.311441252137023,7.761786011690096e-12,1.0,0.16448633635417365,-1.334123501042717
P4,30.0,1.0547952292033644,1.18795799837492,23.224949494004008,1.1774686139255335e-11,1.0,0.32132049057429035,-1.3102129851645317
P4,35.0,1.563216021759888,1.4562270147349752,27.775130706887992,1.87365834111843e-11,1.0,0.330686402155026,-1.3364494007890388
P4,37.0,1.8531738839033693,1.5101345092512222,30.473042757761153,2.083376177433536e-11,1.0,-0.40422979259767544,-1.3098963524186926
P4,40.0,2.076066941043892,1.557757860567834,33.191908843775884,1.6808627360992622e-11,1.0,-1.4311256007576962,-1.3227577600697351
P4,43.0,1.594020791720448,1.5325607272871278,33.008555636369984,2.5140293981123656e-11,1.0,0.37143058738292956,-1.3164653079065265
P4,45.0,0.9149168471635901,1.3938952111914396,28.08719283150616,3.392723037900915e-11,1.0,-0.8604800088149559,-1.4220034019402081
P4,47.0,0.45703721797751323,0.7166736501733411,24.771649918457715,1.7552999132147447e-11,1.0,-0.07125667361828458,-1.3117517468727635
P4,50.0,0.09432067438045605,0.0009854451344585501,6.7214283799742605,2.469563996837463e-12,0.098544513445855,0.2015079988149663,-0.13488565016339207
