key,logl,capped,nfev,peak_growth,peak_frac,dead_model,logl_nodiscount,discount_credit,growth_term,resp_term,dTm,dTopt
p38(b22),-7.1859751439245985,False,2806,1.7133155653277754,0.8252965150904505,False,-9.989389797920829,2.7877101363825965,6.362977578455928,-13.564657239994162,-4.021352847306332,1.9127077887257669
A(b20),-7.213070075727422,False,2185,1.744662832667603,0.8403963548495197,False,-8.432124834590727,1.2347623604036464,6.286753665052543,-13.484116139239624,-3.8074469034138265,2.5720083226838195
p50(b19),-8.116550990900635,False,2699,1.714308603424972,0.8257748571411233,False,-9.338188202529196,1.2216372112681722,6.804242602552512,-14.920793593813537,-3.069462247602748,2.8203037384167167
p81(b7),-8.291822949692609,False,1812,1.7460435766793987,0.8410614531210976,False,-9.34029126374259,1.0484683139637152,5.401509194745604,-13.693332144524478,-4.078356296326304,1.9073097554912477
Bstar(b8),-8.310937716074708,False,1071,1.7139571633964292,0.8256055700368156,False,-9.392225735130388,1.0812880190177498,5.326227578094195,-13.637165294206833,-4.079364688948881,4.1911510250718615
p83(b21),-8.432798857691315,True,3000,1.733660571630231,0.8350966144654292,False,-9.639062184819212,1.206263327162013,6.40482653452816,-14.837625392185359,-4.494750855944323,4.567033876945952
P4(b13),-11.4470681657482,False,1374,1.668906772245741,0.8039049962648077,False,-12.631094789272703,1.184026623644602,3.509031664228169,-14.95609982985627,-4.071241579533303,4.241543634661337
"big(b10,n=64)",-11.986465031130024,False,2792,1.6499899004616945,0.794792822958427,False,-13.130378429845763,1.1439133964073456,3.0063514709298262,-14.992816504368243,-4.091209431216172,5.930407322577409
"big(b9,n=3)",-12.359970906010306,False,2318,1.6382620956722145,0.7891435913642652,False,-13.490900241270243,1.1309293365501212,2.5090459146966806,-14.869016819416801,-4.050144536821803,-0.8107718315994084
B(b3),-18.87686280902222,False,538,0.0001000000000712003,4.816955687437394e-05,True,-20.582856966260863,1.705994157238644,-18.859630544795294,-0.017232264226925108,0.0003563439327363,13.87315712135784
"big(b6,n=2)",-23.79099837161176,False,970,1.2821496871583418,0.6176058223306078,False,-31.89249195392285,8.10149356907688,-12.143341385654537,-11.647656999191433,-10.179061835989929,1.0727092442743311
worst(b5),-25.9643389597738,False,326,0.9701129647307108,0.4672991159589166,True,-35.11623405517506,9.151895095362148,-15.798734892357773,-10.16560406745514,-13.069266875965187,0.6891994070853076
