,growth_term,growth_term_floored,resp_i,resp_nodiscount,resp_nosupport,total_i,total_ii_addendum,total_iiprime,total_iiiprime,peak_growth,peak_obs,n_scored,n_T,mean_w,n_o2_nan,n_o2_nonpos,undefined_iiiprime
A,2.9505593506219254,2.953728143704297,-13.37278458602089,-14.635922840407444,,-10.422225235398965,-10.419056442316593,-11.68536348978552,,1.6266365148640798,2.076066941043892,11,12,0.9169147698164711,1,0,True
B,-20.109424233821446,-20.108779439726668,-14.847655912521834,-31.543222689391566,-33.670577471201725,-34.95708014634328,-34.956435352248505,-51.65264692321301,-53.78000170502317,0.1628864692913488,2.076066941043892,11,12,0.49594906532380156,0,0,False
Bstar,4.211559469152398,4.215462020850734,-13.317313288994495,-14.432563259502366,,-9.105753819842096,-9.101851268143761,-10.221003790349968,,1.6478418924425893,2.076066941043892,11,12,0.9271241448105805,1,0,True
P4,-0.060051006922601985,-0.06003703903567753,-14.77018990283736,-16.004083142564905,-16.004083142564905,-14.830240909759963,-14.830226941873038,-16.064134149487508,-16.064134149487508,1.5577578605678313,2.076066941043892,12,12,0.9248787094539138,0,0,False
