kind,idx,ok,logpost,logl,nfev,wall_s,x_dTopt,x_topt_scale,x_dCp_scale,x_dTm,x_tm_scale,x_kcat_scale,x_kappa_scale,x_sigma,x_f_metab,x_f_maint,x_ngam_scale,x_ngam_steepness,x_clearance_mult,x_resp_scale,x_disc_resp,x_disc_growth,basin
prior,0,True,-18.922558112479415,-13.540210016466126,600,1690.5,5.0687647267183396,-0.037727090723071996,0.054239163329528405,-3.957229649391723,0.0430331849653048,0.8804593491565443,-3.3735379988741003e-06,0.614452683654506,0.28000000000170494,0.3571531001025598,0.07288220161611476,-0.006342927472435271,-0.002331050900859155,1.1557920868100622,-1.085767422957444,-1.6654687772502077,10
prior,1,True,-19.181494299910902,-11.734957333539361,600,1663.3,6.641737394876025,-0.0953148969464172,-0.13676408259635228,-4.41907505935829,0.011072543300181825,1.3146160149809476,2.6568974877752398e-05,0.6384191143646402,0.28000000000870184,0.3584695099976723,0.13513581081351,0.002350042578352582,-0.22052607342107333,1.1425489040676933,-1.091572138538224,-1.8650282325592162,16
prior,2,True,-19.686306938602623,-14.230180741347645,600,1710.0,5.016808536457109,-0.019650473688893947,-0.07512702705615674,-4.543529945140729,-0.03048328577493995,0.997423287450369,3.422354254958324e-06,0.5744776254504045,0.2799997070607032,0.3571789852534127,0.010779982139682601,-0.001421568203898516,0.03720254787565202,1.1421217129184646,-1.08475735247644,-1.540626042810096,10
prior,3,True,-20.084463351416268,-14.88555077129329,600,1711.9,5.48762394593444,-0.07943663121678464,-0.017075113324704117,-3.5842754577906657,0.08052812932896668,0.8732532422580616,-4.299110466565121e-10,0.5790730468331173,0.28000002203106455,0.35662477695932443,-0.00568924759594139,-0.004615569487328929,0.03154738888540901,1.1793202554408821,-1.0774153223836478,-1.4355449774462756,10
prior,4,True,-19.421904543916295,-14.597586071832126,600,1643.0,3.5648892362450995,-0.030782746691846177,0.2959822967363024,-3.555644313553225,0.06640228566848488,0.6125151395948943,-3.231182883675699e-06,0.6259417161103936,0.28000015176333476,0.3558189448710507,-0.013979116267540115,-0.011789587078196804,0.010660157097543728,1.193571048356137,-1.0820985470512998,-1.458767957251696,10
prior,5,True,-18.15609672356468,-12.500153607473079,600,1712.9,2.558809184217786,0.10614324621315867,0.008966089631023088,-3.7121350228385346,0.06959007209531969,0.683075398065841,4.862428592353832e-05,0.7080929492911016,0.279998698640258,0.3541709824393656,0.028082501592331034,-0.03433718396127326,0.003299387912053215,1.2198021500572311,-1.0899594879096068,-1.8437000643781352,10
prior,6,True,-19.96124840432139,-13.299246629242315,600,1694.1,7.120489074982562,-0.16093820443783685,-0.09237644807229158,-4.761758588472188,-0.04647115524072735,1.1756012775727596,6.958234348476981e-11,0.6118334572621638,0.28000014005505125,0.35753526295507226,0.05328150978140684,-0.0007957843258383432,0.005930403358504753,1.120213831798543,-1.0852171353722293,-1.6558523838044517,10
prior,7,True,-18.160452859314532,-12.285809893520211,600,1661.3,4.1244062986927865,-0.05999892572036013,0.3740546592547312,-3.591696306310138,0.06637228857112049,0.48501503678663505,-1.4167305349699344e-10,0.73452085604038,0.27999999999905834,0.35110535228658113,-0.0029456401689669388,-0.02800797560785579,0.021690140725263242,1.210876127971346,-1.0948922179022116,-1.916094903840176,10
prior,8,True,-18.23434803166191,-12.824730457803703,600,1680.9,4.394885518007474,-0.014831189554052817,0.1733802637086408,-4.133428473910165,0.009627409651155789,0.6092891331299588,1.4703488033156674e-06,0.6928310988041098,0.279999994459718,0.35389678691928944,-0.03409589946459263,-0.030372221197087962,-0.02677107444192813,1.1780398618420724,-1.0868076427706321,-1.864523102908402,10
prior,9,True,-19.311358190332534,-14.491594258918404,600,1687.0,4.841012208404445,-0.04723935778096397,0.02253965999317304,-4.432955249202498,-0.03636250829535867,0.554259182639888,-2.9710297853016526e-07,0.6434460775615495,0.27999989022538285,0.355276814166898,-0.02009886870683991,-0.01073220634971726,0.036103209438312786,1.200807764060676,-1.0813441082353343,-1.5194543502196574,10
