a,b,logl_a,logl_b,min_between,t_of_min,depth_below_lower_end,separated
p83(b21),Bstar(b8),-8.06210208277204,-8.29954923777672,-10.880593296865499,0.6000000000000001,2.5810440590887787,True
p83(b21),A(b20),-8.062102082660605,-8.446559605934592,-9.521737823095116,0.775,1.0751782171605235,True
p83(b21),p38(b22),-8.062102082693537,-8.641046913236611,-9.600751291224409,0.75,0.9597043779877978,True
p83(b21),p81(b7),-8.062102082407339,-8.79695067223821,-13.775077070114532,0.5,4.978126397876322,True
p83(b21),p50(b19),-8.062102082717127,-8.976148623007434,-8.976148623007434,1.0,0.0,False
p83(b21),"big(b10,n=64)",-8.062102082214704,-12.134843972049582,-14.217401170196368,0.5750000000000001,2.0825571981467856,True
p83(b21),P4(b13),-8.062102082985927,-11.542051978629654,-11.542051978629654,1.0,0.0,False
p83(b21),worst(b5),-8.06210208206057,-25.960372390305263,-33.24223786344386,0.525,7.281865473138598,True
Bstar(b8),A(b20),-8.299549237912188,-8.446559606057448,-8.978816151530086,0.75,0.532256545472638,True
Bstar(b8),p38(b22),-8.299549237911323,-8.641046913110078,-8.993202431632602,0.8250000000000001,0.35215551852252425,False
Bstar(b8),p81(b7),-8.299549237912213,-8.79695067180208,-9.417470679820532,0.6000000000000001,0.6205200080184525,True
Bstar(b8),p50(b19),-8.29954923792128,-8.976148623045908,-11.77604633001422,0.625,2.799897706968311,True
Bstar(b8),"big(b10,n=64)",-8.299549238002562,-12.134843972092725,-12.31327482958832,0.75,0.17843085749559506,False
Bstar(b8),P4(b13),-8.29954923794449,-11.542051978718124,-11.705536731220752,0.6000000000000001,0.16348475250262773,False
Bstar(b8),worst(b5),-8.2995492379133,-25.960372390150916,-29.614632862209277,0.525,3.654260472058361,True
A(b20),p38(b22),-8.446559605121248,-8.641046913276764,-8.641046913276764,1.0,0.0,False
A(b20),p81(b7),-8.446559605596462,-8.796950672061984,-11.834285614090218,0.7250000000000001,3.0373349420282345,True
A(b20),p50(b19),-8.446559605851764,-8.976148623029594,-9.758221998582147,0.2,0.7820733755525531,True
A(b20),"big(b10,n=64)",-8.446559605348584,-12.134843972183488,-14.520701981433607,0.6000000000000001,2.3858580092501196,True
A(b20),P4(b13),-8.446559606207547,-11.542051978712866,-11.542051978712866,1.0,0.0,False
A(b20),worst(b5),-8.446559605831304,-25.96037238967817,-28.147165733749084,0.875,2.1867933440709137,True
p38(b22),p81(b7),-8.64104691326264,-8.796950671603188,-12.828794508715633,0.7250000000000001,4.031843837112445,True
p38(b22),p50(b19),-8.641046913219562,-8.976148623000512,-9.964498325907432,0.225,0.9883497029069197,True
p38(b22),"big(b10,n=64)",-8.64104691311829,-12.134843971701907,-15.64234757955033,0.625,3.507503607848424,True
p38(b22),P4(b13),-8.641046913222013,-11.542051978848729,-11.542051978848729,1.0,0.0,False
p38(b22),worst(b5),-8.641046913271513,-25.960372390243304,-28.255244351922098,0.55,2.294871961678794,True
p81(b7),p50(b19),-8.796950671838376,-8.97614862300528,-14.514489500118659,0.5,5.538340877113379,True
p81(b7),"big(b10,n=64)",-8.796950671808315,-12.134843972262484,-13.269774425393049,0.47500000000000003,1.1349304531305648,True
p81(b7),P4(b13),-8.796950671883048,-11.542051978710996,-12.411891181869844,0.8,0.8698392031588487,True
p81(b7),worst(b5),-8.796950671877159,-25.960372390347104,-29.401226384008275,0.525,3.4408539936611717,True
p50(b19),"big(b10,n=64)",-8.976148622929456,-12.13484397212032,-19.47856317329446,0.525,7.343719201174141,True
p50(b19),P4(b13),-8.976148623059078,-11.542051978774596,-11.542051978774596,1.0,0.0,False
p50(b19),worst(b5),-8.976148623103313,-25.960372390152607,-36.635915267414546,0.5,10.67554287726194,True
"big(b10,n=64)",P4(b13),-12.13484397261876,-11.542051978716987,-12.19899703939387,0.42500000000000004,0.06415306677510912,False
"big(b10,n=64)",worst(b5),-12.134843972168778,-25.96037239024215,-28.968796111876856,0.525,3.0084237216347063,True
P4(b13),worst(b5),-11.542051978689507,-25.960372390090292,-29.032174811431496,0.525,3.0718024213412036,True
