key,logl,logpost,peak_growth,dTm,dCp_scale,kcat_scale,dTopt,topt_scale,tm_scale,live
worst(b5),-25.9643389597738,-31.45886868590867,0.9701129647307124,-13.069266875965187,0.0761181599721492,0.123319539629978,0.6891994070853076,-0.0048525531189593,0.0211862259216802,False
B(b3),-18.87686280902222,-23.690843950840232,0.00010000000007120056,0.0003563439327363,-1.5188806499749745e-06,2.5152439599089703e-05,13.87315712135784,0.1948672188219617,-1.3747241509116132e-06,False
"big(b6,n=2)",-23.79099837161176,-28.682557892773055,1.2821496871583413,-10.179061835989929,0.2416565380482405,0.2092648116093882,1.0727092442743311,0.0230151957463393,-0.009631802522091,True
Bstar(b8),-8.310937716074708,-16.81030441717047,1.713957163396423,-4.079364688948881,0.7844474381025545,1.022740218139644,4.1911510250718615,-0.1053153593776934,0.0369858761244427,True
P4(b13),-11.4470681657482,-17.89689313763096,1.668906772245736,-4.071241579533303,0.4089273701420486,0.4829294809635375,4.241543634661337,-0.0532526872287523,0.0123042290201112,True
p81(b7),-8.291822949692609,-17.26154394779015,1.7460435766793918,-4.078356296326304,0.9649767278961556,1.1386428181304835,1.9073097554912477,0.0059247088523728,0.0355290234499769,True
A(b20),-7.213070075727422,-16.36154229788879,1.7446628326676115,-3.8074469034138265,0.6577423281724734,0.3236996795805173,2.5720083226838195,-0.0712483136096945,0.0289972327498353,True
"big(b9,n=3)",-12.359970906010306,-18.213229195020688,1.6382620956722118,-4.050144536821803,-0.0581585598287801,0.7789144476897326,-0.8107718315994084,0.2477146612922602,0.0266722755974895,True
p50(b19),-8.116550990900635,-16.771842099351527,1.7143086034249748,-3.069462247602748,0.3632699063488695,0.0950493566738012,2.8203037384167167,-0.0183243504151906,0.1072805322061243,True
p38(b22),-7.1859751439245985,-16.711556600927988,1.7133155653277787,-4.021352847306332,0.6854527594069162,0.2847105158387634,1.9127077887257669,-0.0465846071303635,-0.0108473448799658,True
"big(b10,n=64)",-11.986465031130024,-18.04186856276516,1.6499899004616907,-4.091209431216172,0.0342866902416778,0.7200560158376685,5.930407322577409,-0.0891859730226712,0.0269062362237269,True
p83(b21),-8.432798857691315,-17.021742325760115,1.7336605716302325,-4.494750855944323,0.2564403503897149,0.2216157649209814,4.567033876945952,-0.0896991509571296,-0.0650023354540687,True
