step,dTm,logl,logpost,logprior,peak_growth,alive,nfev,success,rejected_outside_prior,wall_s,dCp_scale,kcat_scale,dTopt,topt_scale,tm_scale
0,-4.021352847306332,-7.184511502431815,-16.709543206390695,-9.525031703958879,1.7132509675491907,True,300,False,8,620.7336750030518,1.9846702004429904,1.3293771388407412,1.9127077891997153,0.9544838009968499,0.9904064695455407
1,-3.619217562575699,-6.953458433918144,-16.55636335935223,-9.602904925434085,1.7411774550427488,True,300,False,17,608.2958626747131,1.9843390873185691,1.4248405305473133,2.094917984740906,0.956414272326403,1.051255220771764
2,-3.2170822778450656,-7.078622595721329,-16.711268989266785,-9.632646393545455,1.7115480864545938,True,300,False,12,619.7849011421204,1.9846670680509917,1.327529203058189,1.908561814601768,0.9544818566771895,1.0964393758065576
3,-2.8149469931144324,-6.840910438015651,-16.779585274284976,-9.938674836269323,1.7421700759958667,True,300,False,17,606.406660079956,1.984357473268419,1.4312076822875888,2.1368153406925807,0.9543695022297949,1.153428214223748
4,-2.412811708383799,-6.866630481625775,-17.081219914724766,-10.214589433098991,1.7420022770285362,True,300,False,17,617.2444522380829,1.9841674547201782,1.4320864778251643,2.0681484158771686,0.9594314470370734,1.2034714373610114
5,-2.010676423653166,-6.862167907319503,-17.40742531053584,-10.545257403216336,1.7423012192644156,True,300,False,24,586.6921799182892,1.9903681397088693,1.4323847404833823,2.032925243046035,0.9587028519701527,1.2502459221559123
6,-1.6085411389225328,-6.910854254312192,-17.807539182374367,-10.896684928062175,1.7357033986230552,True,300,False,25,590.4954249858856,2.013574019549023,1.4084618705018013,1.8528885442066128,0.9640618903773797,1.2935784551033958
7,-1.2064058541918996,-7.0278594863973955,-18.38038645164279,-11.352526965245392,1.7392653165473098,True,300,False,23,594.1294169425964,2.0560935171147574,1.4143113525487923,1.6786647318685557,0.9634197961492184,1.3380379891953673
8,-0.8042705694612664,-7.421982639920953,-19.165657239293942,-11.743674599372987,1.6997300777387685,True,300,False,26,533.7732379436493,2.255275896866438,1.2654011336987991,0.4980198099563103,0.9603858881919505,1.3609611208598686
9,-0.4021352847306332,-7.45008578672277,-19.772910820410473,-12.322825033687701,1.7144398815912962,True,300,False,26,534.5613040924072,2.303063698167108,1.309027711225783,0.48529713384295853,0.9647248297496672,1.408418873161828
10,0.0,-7.263396121633629,-20.072353833128243,-12.808957711494614,1.7390104353337603,True,300,False,31,524.7197341918945,2.135331537031031,1.4058923312282585,1.3882123442507865,0.9605211404229591,1.4666252753967866
