label,dTm,tm_scale_fixed,free,logl,logpost,peak_growth,alive,nfev,success,rejected_outside_prior,wall_s,dCp_scale,kcat_scale,dTopt,topt_scale,tm_scale
"A: dTm=p38, tm_scale free",-4.021352847306332,,dCp_scale kcat_scale dTopt topt_scale tm_scale,-7.184511502431815,-16.709543206390695,1.7132509675491907,True,300,False,8,574.6299870014191,1.9846702004429904,1.3293771388407412,1.9127077891997153,0.9544838009968499,0.9904064695455407
"B: dTm=0,   tm_scale free",0.0,,dCp_scale kcat_scale dTopt topt_scale tm_scale,-7.263396963354845,-20.07234982493734,1.7390096882393906,True,300,False,31,524.3742048740387,2.135332304770457,1.4058895357834515,1.3881985758165685,0.9605213125365699,1.46662496130001
"C: dTm=0,   tm_scale=1",0.0,1.0,dCp_scale kcat_scale dTopt topt_scale,-17.048955762908566,-29.262810600066718,1.6182554880477646,True,300,False,40,505.5540738105774,3.999846341251287,1.084185191865864,-4.336044902749743,0.9755282212014974,1.0
"D: dTm=p38, tm_scale=1",-4.021352847306332,1.0,dCp_scale kcat_scale dTopt topt_scale,-7.03195115020819,-16.625486366985953,1.7422173690372713,True,300,False,15,552.9016213417053,1.984491989563604,1.4273742486284833,2.1349798179334347,0.9538372553341687,1.0
