,dTm,dCp_scale,kcat_scale,dTopt,topt_scale,tm_scale
dTm,1.0,0.6607496735256873,-0.532697884399757,0.6961326010328436,0.6626304734633155,0.203717742132518
dCp_scale,0.6607496735256877,1.0,0.8864590074381364,-0.9480046166775217,-0.9621638437441788,0.13794322324377195
kcat_scale,-0.5326978843997573,0.886459007438136,1.0,0.8695744095613872,0.8859174781423493,-0.08907334543716959
dTopt,0.6961326010328439,-0.9480046166775216,0.869574409561387,1.0,-0.985712499181949,0.09407702849588889
topt_scale,0.662630473463316,-0.9621638437441788,0.8859174781423494,-0.9857124991819494,1.0,0.13327153112283963
tm_scale,0.2037177421325175,0.1379432232437726,-0.0890733454371702,0.09407702849588957,0.13327153112284026,1.0
