,dTopt,topt_scale,dCp_scale,dTm,tm_scale,kcat_scale,kappa_scale,sigma,f_metab,f_maint,ngam_scale,ngam_steepness,clearance_mult,resp_scale,disc_resp,disc_growth
dTopt,1.0,-0.8446231726853702,0.041983055623409406,0.2780277855774178,-0.09700213164769551,0.005627724375022298,0.391456640940992,0.235845892146818,-0.10094932910923712,-0.4224927839239257,-0.015286440420312216,-0.41215773262013333,-0.07675943740906406,0.24752657729985972,-0.31945440435621353,-0.35337388833559025
topt_scale,-0.8446231726853702,1.0,-0.4333547239255302,-0.12822376174841066,0.1391122775754522,0.1558928853720606,-0.571376843937224,-0.4263236722408777,0.1275697131902267,0.38669342199608214,-0.20724393921537157,0.2715175481516618,0.4142257373791141,0.12166609637331126,-0.01568869449822037,0.2925407854401949
dCp_scale,0.041983055623409406,-0.4333547239255302,1.0,0.20797035933253422,0.1308482430670759,0.30895880592348135,0.28163669429744026,0.1495420536119348,-0.14627708446122667,0.15025915123472222,0.08211521765296585,-0.1388035791078561,-0.7927800099084866,-0.19330146201713308,0.15218216123153422,-0.27048488672745924
dTm,0.2780277855774178,-0.12822376174841066,0.20797035933253422,1.0,0.37890128307203286,0.23890368209443014,-0.10239167303308426,0.43838295576231384,-0.08061983578383512,-0.21749692096722126,-0.004991010153377478,-0.7426456341492261,-0.2643547402420166,0.7364941719717077,-0.9039189867556247,-0.9384935765887019
tm_scale,-0.09700213164769551,0.1391122775754522,0.1308482430670759,0.37890128307203286,1.0,0.16987577302769497,0.21920315359151268,-0.062213860755609064,-0.36275347770425587,0.13202719098550592,-0.05210077449020445,0.11951412293695245,0.25827461967960935,0.288367583767196,-0.1826899452982398,-0.28622463490042976
kcat_scale,0.005627724375022298,0.1558928853720606,0.30895880592348135,0.23890368209443014,0.16987577302769497,1.0,-0.24866822793382543,-0.6872248855811568,0.18842101849149603,0.42437258954595974,-0.312036106795527,-0.2745514270149245,-0.29518946293674864,0.17692189776107178,-0.20629994931347426,-0.015751685095339682
kappa_scale,0.391456640940992,-0.571376843937224,0.28163669429744026,-0.10239167303308426,0.21920315359151268,-0.24866822793382543,1.0,0.23903594765657862,-0.07568115080639631,0.25312220263139035,-0.08263750223610329,-0.039978491537976384,-0.0916371669517711,-0.09650273193065602,0.2872224792074548,-0.0616475849257467
sigma,0.235845892146818,-0.4263236722408777,0.1495420536119348,0.43838295576231384,-0.062213860755609064,-0.6872248855811568,0.23903594765657862,1.0,-0.15274607868797804,-0.5314904920579833,0.31285892793332176,-0.30993657625066534,-0.2511627902452841,0.17024502627401655,-0.3181831004736482,-0.6556283891263519
f_metab,-0.10094932910923712,0.1275697131902267,-0.14627708446122667,-0.08061983578383512,-0.36275347770425587,0.18842101849149603,-0.07568115080639631,-0.15274607868797804,1.0,0.4770887803690476,0.3380850364889078,-0.342312892840033,-0.23213697290342347,-0.23972090237970425,0.07097517956920117,0.2226611318001015
f_maint,-0.4224927839239257,0.38669342199608214,0.15025915123472222,-0.21749692096722126,0.13202719098550592,0.42437258954595974,0.25312220263139035,-0.5314904920579833,0.4770887803690476,1.0,-0.17963768668645763,-0.028002886995114728,-0.03613211385638794,-0.07309617052619671,0.30488873216723283,0.3689414077867856
ngam_scale,-0.015286440420312216,-0.20724393921537157,0.08211521765296585,-0.004991010153377478,-0.05210077449020445,-0.312036106795527,-0.08263750223610329,0.31285892793332176,0.3380850364889078,-0.17963768668645763,1.0,-0.14101068408800294,-0.26966219571757905,-0.507368179334223,0.177522885120649,0.0771058681933326
ngam_steepness,-0.41215773262013333,0.2715175481516618,-0.1388035791078561,-0.7426456341492261,0.11951412293695245,-0.2745514270149245,-0.039978491537976384,-0.30993657625066534,-0.342312892840033,-0.028002886995114728,-0.14101068408800294,1.0,0.4554659714482796,-0.49871048502361515,0.711888021517832,0.6605866682575499
clearance_mult,-0.07675943740906406,0.4142257373791141,-0.7927800099084866,-0.2643547402420166,0.25827461967960935,-0.29518946293674864,-0.0916371669517711,-0.2511627902452841,-0.23213697290342347,-0.03613211385638794,-0.26966219571757905,0.4554659714482796,1.0,0.2793008843085583,-0.009533700049506275,0.3135035549134927
resp_scale,0.24752657729985972,0.12166609637331126,-0.19330146201713308,0.7364941719717077,0.288367583767196,0.17692189776107178,-0.09650273193065602,0.17024502627401655,-0.23972090237970425,-0.07309617052619671,-0.507368179334223,-0.49871048502361515,0.2793008843085583,1.0,-0.8728179842332731,-0.6890869168084431
disc_resp,-0.31945440435621353,-0.01568869449822037,0.15218216123153422,-0.9039189867556247,-0.1826899452982398,-0.20629994931347426,0.2872224792074548,-0.3181831004736482,0.07097517956920117,0.30488873216723283,0.177522885120649,0.711888021517832,-0.009533700049506275,-0.8728179842332731,1.0,0.8289413260227231
disc_growth,-0.35337388833559025,0.2925407854401949,-0.27048488672745924,-0.9384935765887019,-0.28622463490042976,-0.015751685095339682,-0.0616475849257467,-0.6556283891263519,0.2226611318001015,0.3689414077867856,0.0771058681933326,0.6605866682575499,0.3135035549134927,-0.6890869168084431,0.8289413260227231,1.0
