,dTm,dCp_scale,kcat_scale,dTopt,topt_scale,tm_scale
dTm,1.0,0.20797035933253427,0.23890368209443014,0.27802778557741786,-0.12822376174841063,0.37890128307203286
dCp_scale,0.20797035933253427,1.0,0.30895880592348135,0.041983055623409295,-0.4333547239255301,0.1308482430670759
kcat_scale,0.23890368209443014,0.30895880592348135,1.0,0.00562772437502223,0.15589288537206067,0.16987577302769497
dTopt,0.27802778557741786,0.041983055623409295,0.00562772437502223,1.0,-0.8446231726853702,-0.09700213164769551
topt_scale,-0.12822376174841063,-0.4333547239255301,0.15589288537206067,-0.8446231726853702,1.0,0.1391122775754522
tm_scale,0.37890128307203286,0.1308482430670759,0.16987577302769497,-0.09700213164769551,0.1391122775754522,1.0
