T_C,mu,n,n_alive
22,0.2607,60,60
24,0.3367,60,60
26,0.434,60,60
28,0.5233,60,59
30,0.6482,60,60
32,0.7478,60,60
34,0.7761,60,59
36,0.7988,60,58
38,0.7486,60,60
40,0.6639,60,59
42,0.6082,60,54
44,0.2721,60,37
