temp_C,growth,mu_pred,mu_measured
22.0,0.019558096318994116,0.2288859521769509,0.289
24.0,0.0316219707171582,0.3700679636330096,0.3675
26.0,0.04498868475840894,0.5264969442919025,0.4785
28.0,0.05710993834754942,0.6683504572349961,0.5453
30.0,0.06664646140641563,0.7799551924395265,0.578
32.0,0.0751060530216534,0.8789567338114953,0.8002
34.0,0.0820644617402886,0.9603901197210667,0.6742
36.0,0.08556286643100984,1.0013315117500239,0.6231
38.0,0.08570176864579221,1.0029570669764327,0.4819
40.0,0.08301797244476597,0.9715489360979584,0.0
42.0,0.07779749475609801,0.9104543394101993,0.0
44.0,0.07071634168374545,0.8275844916989925,0.0
