point,axis,k_0p02,k_0p04,rel_diff,per_datum_reconciles,top_datum,top_share,top3,clip_moves_T,topt_moves_T,tm_moves_T,status_moves_T,scored_moves_T,carrying_interval,carrying_datum,carrying_excess,moves_at_carrying_T,o2_at_carrying_T,growth_at_carrying_T,carrying_side,refinement,refinement_plus,ratios_plus,refinement_minus,ratios_minus,ratios,refine_deltas_plus,refine_deltas_minus,classification,provenance
p38,kcat_scale,-3887.2456348575033,-936.3968444552605,0.7591104518689397,True,resp@15C,1.0012876763716296,resp@15C:-2954.649;growth@43C:+3.402;growth@37C:+2.323,,,,15,15,-0.02->+0.00,resp@15C,-1.5704057319797915,status;scored,nan;nan;1.5047;nan;nan,nan;nan;0.00010;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),P12 task2c_converged.csv key p38(b22)
p38,sigma,-1224.1689115641918,-963.0683584925581,0.21328801165029618,True,growth@47C,1.5985653967478948,growth@47C:-417.386;growth@37C:+180.610;growth@40C:-25.698,,,,,,-0.04->-0.02,growth@47C,-0.8477703175571243,none,nan;nan;38.6494;nan;nan,nan;nan;1.60812;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),P12 task2c_converged.csv key p38(b22)
p38,clearance_mult,3.636293274311697,-979.4636474369422,1.003712535206209,True,resp@15C,0.9984278497413921,resp@15C:+981.554;growth@47C:+0.628;growth@15C:+0.547,,,,15,15,-0.04->-0.02,resp@15C,-1.5615693765069705,status;scored,nan;nan;1.5047;nan;nan,nan;nan;0.00010;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),P12 task2c_converged.csv key p38(b22)
P4_MAP,dTopt,6.431567563858209,5.676237756575553,0.11744101259655343,True,growth@30C,2.256029139797533,growth@30C:+1.704;resp@30C:-0.719;resp@50C:-0.242,25;37,40;43;45,,,,-0.04->-0.02,growth@30C,0.0016864500008156313,none,nan;nan;23.4631;nan;nan,nan;nan;1.19721;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),"argmax log_prob.npy at (np.int64(1946), np.int64(13))"
P4_MAP,topt_scale,6.534855674011908,6.467214499017437,0.010350829210118416,True,growth@30C,14.942328998426076,growth@30C:+1.011;resp@30C:-0.722;resp@50C:-0.242,25;37,15;40;43;45,,,,-0.04->-0.02,growth@30C,0.0016970082025927202,none,nan;nan;23.4631;nan;nan,nan;nan;1.19721;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),"argmax log_prob.npy at (np.int64(1946), np.int64(13))"
P4_MAP,dCp_scale,0.31411411415049884,0.3141187557664793,4.641615980460756e-06,True,growth@27C,0.491306798992345,growth@27C:-0.000;growth@25C:-0.000;growth@30C:-0.000,,,,,,+0.02->+0.04,growth@25C,-9.167277374022564e-05,none,nan;nan;11.9376;nan;nan,nan;nan;0.53267;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),"argmax log_prob.npy at (np.int64(1946), np.int64(13))"
P4_MAP,tm_scale,-409.3960622386561,87.44890555668405,1.213604657256586,True,resp@50C,0.975678110552157,resp@50C:-484.761;growth@50C:-9.323;growth@47C:-2.756,,,47;50,,,-0.04->-0.02,resp@50C,0.13359928716911007,past_Tm,nan;nan;30.2611;nan;nan,nan;nan;1.31911;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),"argmax log_prob.npy at (np.int64(1946), np.int64(13))"
P4_MAP,kcat_scale,39.01154408632479,40.063079355623366,0.026246990651031404,True,growth@47C,1.6763726797083063,growth@47C:-1.763;growth@45C:+0.891;growth@37C:-0.085,,,,,,-0.04->-0.02,growth@27C,0.006232803471340587,none,nan;nan;18.2016;nan;nan,nan;nan;0.82190;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),"argmax log_prob.npy at (np.int64(1946), np.int64(13))"
P4_MAP,sigma,35.73017086688779,36.68326904186614,0.02598182222774617,True,growth@47C,2.0099700154601607,growth@47C:-1.916;growth@45C:+1.182;growth@37C:-0.113,,,,,,+0.02->+0.04,growth@47C,-0.011939521436367784,none,nan;nan;37.2931;nan;nan,nan;nan;1.60818;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),"argmax log_prob.npy at (np.int64(1946), np.int64(13))"
P4_MAP,clearance_mult,0.13325925525720095,0.1332663561015579,7.100844356955349e-06,True,growth@47C,0.701414912618639,growth@47C:-0.000;growth@50C:-0.000;growth@45C:-0.000,,,,,,+0.02->+0.04,growth@47C,-5.770973823793213e-05,none,nan;nan;37.2931;nan;nan,nan;nan;1.60818;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),"argmax log_prob.npy at (np.int64(1946), np.int64(13))"
