point,logl_code,sum_growth,sum_resp_old,total_old,reconciles,n_missing,n_positive_measurements_unscored_OLD,total_NORMAL_r0,NORMAL_defined,n_unresolved_or_unclassified,peak_growth
D44:baseline_start,-17.972547016144528,-2.323532354990822,-15.649014661148561,-17.972547016139384,True,1,1,-0.4340673931337975,True,0,1.446033940836223
stratum:red1:8285,-18.68447848623289,-18.68447848623289,0.0,-18.68447848623289,True,12,12,-304.20479509865334,True,0,0.0
stratum:red1:8285,-18.68447848623289,-18.68447848623289,0.0,-18.68447848623289,True,12,12,-304.20479509865334,True,0,0.0
stratum:red1:8285,-18.68447848623289,-18.68447848623289,0.0,-18.68447848623289,True,12,12,-304.20479509865334,True,0,0.0
stratum:red2:9051,-18.682550309717172,-18.682550309717172,0.0,-18.682550309717172,True,12,12,-304.2028669221376,True,0,0.0
stratum:red2:9051,-18.682550309717172,-18.682550309717172,0.0,-18.682550309717172,True,12,12,-304.2028669221376,True,0,0.0
stratum:red2:9051,-18.682550309717172,-18.682550309717172,0.0,-18.682550309717172,True,12,12,-304.2028669221376,True,0,0.0
P12:A(b20),-10.002884962363623,6.286753665052457,-16.28963862595125,-10.002884960898792,False,0,0,-10.002884960898792,True,0,1.7446628326676095
P12:Bstar(b8),-11.728539626571067,5.326227578094094,-17.054767203013146,-11.728539624919051,False,0,0,-11.728539624919051,True,0,1.7139571633964152
P12:p81(b7),-10.738061853307176,5.401509194745643,-16.13957104817916,-10.738061853433518,True,0,0,-10.738061853433518,True,0,1.7460435766794014
P12:worst(b5),-36.442651506662926,-15.798734892357773,-20.64391661595922,-36.44265150831699,False,0,0,-36.44265150831699,True,0,0.9701129647307124
P12:p38(b22),-9.98938979544245,6.362977578410803,-16.352367373812694,-9.989389795401891,True,0,0,-9.989389795401891,True,0,1.7133155653277712
P12:p50(b19),-9.338188203269443,6.8042426025521525,-16.142430806294392,-9.33818820374224,True,0,0,-9.33818820374224,True,0,1.7143086034249737
