temp_C,mu_apriori_ks1,mu_shape_ks4,ch4_ks4
5.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0
30.0,0.0,0.0016393764865216777,12.856535586465512
31.0,0.0,0.0061028571210985285,15.306310595287258
32.0,0.0,0.011343672621940804,18.03631432080085
33.0,0.0,0.017295666401331036,21.025510745038467
34.0,0.0,0.023848477702669183,24.22567644634265
35.0,0.0,0.03084331063088386,27.575918736446127
36.0,0.0,0.03807388651574381,30.993361912218635
37.0,0.0,0.04528955677974666,34.3766281495454
38.0,0.0,0.05219989258326633,37.60774751669069
39.0,0.0,0.05847386160480121,40.55433851628038
40.0,0.0,0.06372087674948633,43.04252913023284
41.0,0.0,0.06739226969779841,44.81702128877192
42.0,0.0,0.06855090900247546,45.58447696755094
43.0,0.0,0.06533232726548714,44.52973888937974
44.0,0.0,0.05449181243248625,40.31678474919916
45.0,0.0,0.034221839832403754,32.201817644053435
46.0,0.0,0.012802077055688171,23.59824966974554
47.0,0.0,0.0016758582971095795,19.21994301604894
48.0,0.0,0.0,0.0
49.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0
53.0,0.0,0.0,0.0
54.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0
