temp_C,growth
5.0,0.008813964598639647
6.0,0.012888869493546729
7.0,0.017013067939193573
8.0,0.02215649330725567
9.0,0.02819644195208597
10.0,0.035260304039986076
11.0,0.04363348568769895
12.0,0.053358736060368596
13.0,0.06446020963037065
14.0,0.0769794622673023
15.0,0.0909549189252404
16.0,0.10640529732699898
17.0,0.12332441427727213
18.0,0.1416790780128886
19.0,0.1614098651627532
20.0,0.18242455235828295
21.0,0.20463032037050977
22.0,0.22788870747756132
23.0,0.2521697543355694
24.0,0.27741584410760733
25.0,0.3031777222285853
26.0,0.32861923221854905
27.0,0.3540774940620968
28.0,0.3792618641837403
29.0,0.4038852586133809
30.0,0.42765854034789175
31.0,0.45030040945611516
32.0,0.47153464804549866
33.0,0.49110162408741087
34.0,0.5087603924584041
35.0,0.5243098650818111
36.0,0.5368798578242406
37.0,0.5467476219798333
38.0,0.5540579722304363
39.0,0.5587241672927846
40.0,0.5607965898415241
41.0,0.560106281105065
42.0,0.5561210715768247
43.0,0.5469172529621492
44.0,0.5167171646761349
45.0,0.3653301890100576
46.0,0.1003367697045198
47.0,0.00951448571960675
48.0,0.0009482614592165707
49.0,7.42555865288597e-05
50.0,1.3059188445512338e-05
51.0,1.2983671983699355e-05
52.0,1.2432547478221844e-05
53.0,1.1059457026409544e-05
54.0,7.697997962128277e-06
55.0,5.489840482704744e-06
56.0,3.3753967742597823e-06
57.0,3.1596282996199714e-06
58.0,2.8184256396725716e-06
59.0,6.127739334135024e-06
60.0,5.1809803892715706e-06
