temp_C,growth
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.004051674505442368
17.0,0.010832619378000837
18.0,0.01982909316169636
19.0,0.031545414585764465
20.0,0.046454700077383615
21.0,0.06501032765215216
22.0,0.08759384622749371
23.0,0.11446561264714632
24.0,0.14571432613266086
25.0,0.18121050379215198
26.0,0.22057025568324853
27.0,0.2631338550971998
28.0,0.30796565893612193
29.0,0.3527823846439429
30.0,0.3971350916172395
31.0,0.4396958216520756
32.0,0.47892845951855795
33.0,0.5133430402072946
34.0,0.5409733886534906
35.0,0.5590114018851525
36.0,0.5680618478631684
37.0,0.571094045613561
38.0,0.5680516212646483
39.0,0.5591450247200879
40.0,0.5417249614121012
41.0,0.5152932335424514
42.0,0.48261526423729306
43.0,0.44567414590954224
44.0,0.4058472466968911
45.0,0.3644942871846261
46.0,0.32288694273758994
47.0,0.2812621315972431
48.0,0.24124821852024175
49.0,0.2038574431713691
50.0,0.1696291196427314
51.0,0.1388931974588061
52.0,0.11179062696392995
53.0,0.08830166642126017
54.0,0.06827850348226372
55.0,0.05147892416318352
56.0,0.03759836803778444
57.0,0.026298520428788493
58.0,0.017230862163117113
59.0,0.010055300615117509
60.0,0.004453797272411126
