param,step_posterior_sd,logL
topt_scale,-0.35000000000000003,-10.860706518081011
topt_scale,-0.30000000000000004,-10.766926152239897
topt_scale,-0.25,-10.681512880114276
topt_scale,-0.2,-10.607169019558949
topt_scale,-0.15000000000000002,-10.545075591397422
topt_scale,-0.1,-10.4954740041856
topt_scale,-0.05,-10.458667187345224
topt_scale,0.0,-10.422225235398965
topt_scale,0.05,-10.408001726022801
topt_scale,0.1,-10.402830370106125
topt_scale,0.15000000000000002,-10.40862660096692
topt_scale,0.2,-10.427520958739908
topt_scale,0.25,-10.459443182327014
topt_scale,0.30000000000000004,-10.506171613548384
topt_scale,0.35000000000000003,-10.569457296200433
topt_scale,0.4,-10.65145584057986
topt_scale,0.45,-10.757313637953107
topt_scale,0.5,-10.867304113202929
topt_scale,0.55,-11.005068889819661
topt_scale,0.6000000000000001,-11.165105999202293
topt_scale,0.65,-11.445897969714652
topt_scale,0.7000000000000001,-11.642018774453224
topt_scale,0.75,-11.862530258997955
topt_scale,0.8,-12.10310306702343
topt_scale,0.8500000000000001,-12.368365034915712
topt_scale,0.9,-12.660083017427514
topt_scale,0.9500000000000001,-12.981111957590386
topt_scale,1.0,-13.330349362807553
dCp_scale,-1.0,-20.168796403643082
dCp_scale,-0.9500000000000001,-19.447562879709956
dCp_scale,-0.9,-18.76597823254476
dCp_scale,-0.8500000000000001,-18.095558966386943
dCp_scale,-0.8,-17.464375943270106
dCp_scale,-0.75,-16.873343617959005
dCp_scale,-0.7000000000000001,-16.289149485792105
dCp_scale,-0.65,-15.68040423473246
dCp_scale,-0.6000000000000001,-15.118537546423562
dCp_scale,-0.55,-14.600961410805551
dCp_scale,-0.5,-14.139365430052804
dCp_scale,-0.45,-13.723567016904703
dCp_scale,-0.4,-13.346341662601429
dCp_scale,-0.35000000000000003,-13.017572249404123
dCp_scale,-0.30000000000000004,-12.73839996771511
dCp_scale,-0.25,-12.53596948341766
dCp_scale,-0.2,-11.882509842778894
dCp_scale,-0.15000000000000002,-11.11789815156326
dCp_scale,-0.1,-10.579084289658454
dCp_scale,-0.05,-10.4794623364734
dCp_scale,0.0,-10.422225235398965
dCp_scale,0.05,-10.422371809628533
dCp_scale,0.1,-10.442348695674616
dCp_scale,0.15000000000000002,-10.499621689485156
dCp_scale,0.2,-10.59604456916635
dCp_scale,0.25,-10.735220477694888
dCp_scale,0.30000000000000004,-10.961042748707992
dCp_scale,0.35000000000000003,-11.10695888539162
dCp_scale,0.4,-11.368431289788077
dCp_scale,0.45,-11.680862528652568
dCp_scale,0.5,-12.044204294016218
dCp_scale,0.55,-12.458905207764731
dCp_scale,0.6000000000000001,-12.926144740605826
dCp_scale,0.65,-13.463606769315518
dCp_scale,0.7000000000000001,-14.466085381747405
dCp_scale,0.75,-14.839268940635623
dCp_scale,0.8,-14.571774124306392
dCp_scale,0.8500000000000001,-13.930659102200424
dCp_scale,0.9,-14.418018330579624
dCp_scale,0.9500000000000001,-15.03147693835269
dCp_scale,1.0,-15.67769313047814
dTm,-1.0,-16.24883112280914
dTm,-0.9500000000000001,-15.509207539342576
dTm,-0.9,-14.806675921487843
dTm,-0.8500000000000001,-14.182796523083358
dTm,-0.8,-13.588317279788903
dTm,-0.75,-13.103303502309561
dTm,-0.7000000000000001,-12.879339273284128
dTm,-0.65,-12.932604234134764
dTm,-0.6000000000000001,-13.092531153360618
dTm,-0.55,-13.00617686285938
dTm,-0.5,-12.967273507154955
dTm,-0.45,-12.856093080151396
dTm,-0.4,-12.727194364562969
dTm,-0.35000000000000003,-12.532001606281444
dTm,-0.30000000000000004,-12.264095693947864
dTm,-0.25,-11.994993147745252
dTm,-0.2,-11.629734862301813
dTm,-0.15000000000000002,-11.23783698571195
dTm,-0.1,-10.842281061706766
dTm,-0.05,-10.517649131536274
dTm,0.0,-10.422225235398965
dTm,0.05,-10.544722018916412
dTm,0.1,-10.9024593559027
dTm,0.15000000000000002,-11.563527004094965
dTm,0.2,-12.476208115567722
dTm,0.25,-13.55871220382471
dTm,0.30000000000000004,-14.869661135684542
dTm,0.35000000000000003,-16.24761229967585
dTm,0.4,-17.34872568559044
dTm,0.45,-18.25940403485341
dTm,0.5,-19.044559509138328
dTm,0.55,-19.588655346744993
dTm,0.6000000000000001,-20.055097605527287
dTm,0.65,-20.636063493430733
dTm,0.7000000000000001,-20.99588790966564
dTm,0.75,-21.22441287253574
dTm,0.8,-21.497393480786855
dTm,0.8500000000000001,-21.924425189118438
dTm,0.9,-22.42502695982315
dTm,0.9500000000000001,-22.95957243235259
dTm,1.0,-23.524602324529074
tm_scale,-1.0,-16.5297784185927
tm_scale,-0.9500000000000001,-16.08244261494478
tm_scale,-0.9,-15.609162547858515
tm_scale,-0.8500000000000001,-15.111557499938574
tm_scale,-0.8,-14.617396921897292
tm_scale,-0.75,-14.145000380967836
tm_scale,-0.7000000000000001,-13.696964189105717
tm_scale,-0.65,-13.27619542762745
tm_scale,-0.6000000000000001,-12.883576579070656
tm_scale,-0.55,-12.510698397681924
tm_scale,-0.5,-12.14554748719741
tm_scale,-0.45,-11.818557623918647
tm_scale,-0.4,-11.528149093730908
tm_scale,-0.35000000000000003,-11.274760259743069
tm_scale,-0.30000000000000004,-11.028133353341314
tm_scale,-0.25,-10.828252910392898
tm_scale,-0.2,-10.676637573238349
tm_scale,-0.15000000000000002,-10.571013582306618
tm_scale,-0.1,-10.508115348793936
tm_scale,-0.05,-10.484223887526271
tm_scale,0.0,-10.422225235398965
tm_scale,0.05,-10.455349843197283
tm_scale,0.1,-10.442816688957645
tm_scale,0.15000000000000002,-10.543278773607597
tm_scale,0.2,-10.655755690071086
tm_scale,0.25,-10.776242599221824
tm_scale,0.30000000000000004,-10.916703965712351
tm_scale,0.35000000000000003,-11.062797821070136
tm_scale,0.4,-11.211233133068031
tm_scale,0.45,-11.360872504945991
tm_scale,0.5,-11.509582156862454
tm_scale,0.55,-11.659921859033663
tm_scale,0.6000000000000001,-11.808328866452028
tm_scale,0.65,-11.95319839511679
tm_scale,0.7000000000000001,-12.091703889449224
tm_scale,0.75,-12.207321210022204
tm_scale,0.8,-12.334935881227123
tm_scale,0.8500000000000001,-12.457813490585131
tm_scale,0.9,-12.544944283574452
tm_scale,0.9500000000000001,-12.624868526568555
tm_scale,1.0,-12.702455784935394
kcat_scale,-1.0,-15.038326428859076
kcat_scale,-0.9500000000000001,-14.644769460111192
kcat_scale,-0.9,-14.272012790666967
kcat_scale,-0.8500000000000001,-13.90225234250471
kcat_scale,-0.8,-13.547429824316753
kcat_scale,-0.75,-13.208769142855822
kcat_scale,-0.7000000000000001,-12.886571519117282
kcat_scale,-0.65,-12.584821508567737
kcat_scale,-0.6000000000000001,-12.302253827932697
kcat_scale,-0.55,-12.040933171550108
kcat_scale,-0.5,-11.801060616294718
kcat_scale,-0.45,-11.582848204627076
kcat_scale,-0.4,-11.390663636501479
kcat_scale,-0.35000000000000003,-11.218603852781527
kcat_scale,-0.30000000000000004,-11.050718459599763
kcat_scale,-0.25,-10.900424521588066
kcat_scale,-0.2,-10.768988534733671
kcat_scale,-0.15000000000000002,-10.658154357302248
kcat_scale,-0.1,-10.562934489466526
kcat_scale,-0.05,-10.485324459634608
kcat_scale,0.0,-10.422225235398965
kcat_scale,0.05,-10.37711553299427
kcat_scale,0.1,-10.352118554060148
kcat_scale,0.15000000000000002,-10.348102579072618
kcat_scale,0.2,-10.36607164404882
kcat_scale,0.25,-10.401795177878856
kcat_scale,0.30000000000000004,-10.459565695744274
kcat_scale,0.35000000000000003,-10.540176709206746
kcat_scale,0.4,-10.648905855200116
kcat_scale,0.45,-10.783801388582862
kcat_scale,0.5,-10.941053777510081
kcat_scale,0.55,-11.127552352659526
kcat_scale,0.6000000000000001,-11.344777319808024
kcat_scale,0.65,-11.58699454622577
kcat_scale,0.7000000000000001,-11.919388319997712
kcat_scale,0.75,-12.324326891129166
kcat_scale,0.8,-12.766752825029847
kcat_scale,0.8500000000000001,-13.245286992249977
kcat_scale,0.9,-13.75307123720535
kcat_scale,0.9500000000000001,-14.29126061328951
kcat_scale,1.0,-14.858820334174304
kappa_scale,-1.0,-10.422225235398965
kappa_scale,-0.9500000000000001,-10.422225235398965
kappa_scale,-0.9,-10.422225235398965
kappa_scale,-0.8500000000000001,-10.422225235398965
kappa_scale,-0.8,-10.422225235398965
kappa_scale,-0.75,-10.422225235398965
kappa_scale,-0.7000000000000001,-10.422225235398965
kappa_scale,-0.65,-10.422225235398965
kappa_scale,-0.6000000000000001,-10.422225235398965
kappa_scale,-0.55,-10.422225235398965
kappa_scale,-0.5,-10.422225235398965
kappa_scale,-0.45,-10.422225235398965
kappa_scale,-0.4,-10.422225235398965
kappa_scale,-0.35000000000000003,-10.422225235398965
kappa_scale,-0.30000000000000004,-10.422225235398965
kappa_scale,-0.25,-10.422225235398965
kappa_scale,-0.2,-10.422225235398965
kappa_scale,-0.15000000000000002,-10.422225235398965
kappa_scale,-0.1,-10.422225235398965
kappa_scale,-0.05,-10.422225235398965
kappa_scale,0.0,-10.422225235398965
kappa_scale,0.05,-10.422225235398965
kappa_scale,0.1,-10.422225235398965
kappa_scale,0.15000000000000002,-10.422225235398965
kappa_scale,0.2,-10.422225235398965
kappa_scale,0.25,-10.422225235398965
kappa_scale,0.30000000000000004,-10.422225235398965
kappa_scale,0.35000000000000003,-10.422225235398965
kappa_scale,0.4,-10.422225235398965
kappa_scale,0.45,-10.422225235398965
kappa_scale,0.5,-10.422225235398965
kappa_scale,0.55,-10.422225235398965
kappa_scale,0.6000000000000001,-10.422225235398965
kappa_scale,0.65,-10.422225235398965
kappa_scale,0.7000000000000001,-10.422225235398965
kappa_scale,0.75,-10.422225235398965
kappa_scale,0.8,-10.422225235398965
kappa_scale,0.8500000000000001,-10.422225235398965
kappa_scale,0.9,-10.422225235398965
kappa_scale,0.9500000000000001,-10.422225235398965
kappa_scale,1.0,-10.422225235398965
sigma,-1.0,-14.92288060770041
sigma,-0.9500000000000001,-14.476592347077599
sigma,-0.9,-14.071431984478245
sigma,-0.8500000000000001,-13.7137196807669
sigma,-0.8,-13.396680940821
sigma,-0.75,-13.088625468825866
sigma,-0.7000000000000001,-12.802797558675216
sigma,-0.65,-12.540194288832609
sigma,-0.6000000000000001,-12.297080871929706
sigma,-0.55,-12.073616687304732
sigma,-0.5,-11.869704403246127
sigma,-0.45,-11.67356637248048
sigma,-0.4,-11.477176746133722
sigma,-0.35000000000000003,-11.296371700061087
sigma,-0.30000000000000004,-11.131968057367692
sigma,-0.25,-10.98166837673612
sigma,-0.2,-10.84552315995158
sigma,-0.15000000000000002,-10.72436698781749
sigma,-0.1,-10.614511110856899
sigma,-0.05,-10.515030813799276
sigma,0.0,-10.422225235398965
sigma,0.05,-10.339814141055445
sigma,0.1,-10.269025087358411
sigma,0.15000000000000002,-10.209483356094351
sigma,0.2,-10.119026444791324
sigma,0.25,-9.997427547417754
sigma,0.30000000000000004,-9.877501220885257
sigma,0.35000000000000003,-9.771121742005056
sigma,0.4,-9.674786537555008
sigma,0.45,-9.588783963851526
sigma,0.5,-9.515534519491958
sigma,0.55,-9.450635579453216
sigma,0.6000000000000001,-9.393894065118811
sigma,0.65,-9.345587627614062
sigma,0.7000000000000001,-9.295533670518628
sigma,0.75,-9.248810294560258
sigma,0.8,-9.20424254586413
sigma,0.8500000000000001,-9.18477295578187
sigma,0.9,-9.184772955765752
sigma,0.9500000000000001,-9.184772955776925
sigma,1.0,-9.184772955776925
f_metab,-1.0,-10.422225235398965
f_metab,-0.9500000000000001,-10.422225235398965
f_metab,-0.9,-10.422225235398965
f_metab,-0.8500000000000001,-10.422225235398965
f_metab,-0.8,-10.422225235398965
f_metab,-0.75,-10.422225235398965
f_metab,-0.7000000000000001,-10.422225235398965
f_metab,-0.65,-10.422225235398965
f_metab,-0.6000000000000001,-10.422225235398965
f_metab,-0.55,-10.422225235398965
f_metab,-0.5,-10.422225235398965
f_metab,-0.45,-10.422225235398965
f_metab,-0.4,-10.422225235398965
f_metab,-0.35000000000000003,-10.422225235398965
f_metab,-0.30000000000000004,-10.422225235398965
f_metab,-0.25,-10.422225235398965
f_metab,-0.2,-10.422225235398965
f_metab,-0.15000000000000002,-10.422225235398965
f_metab,-0.1,-10.422225235398965
f_metab,-0.05,-10.422225235398965
f_metab,0.0,-10.422225235398965
f_metab,0.05,-10.422225235398965
f_metab,0.1,-10.422225235398965
f_metab,0.15000000000000002,-10.422225235398965
f_metab,0.2,-10.422225235398965
f_metab,0.25,-10.422225235398965
f_metab,0.30000000000000004,-10.422225235398965
f_metab,0.35000000000000003,-10.422225235398965
f_metab,0.4,-10.422225235398965
f_metab,0.45,-10.422225235398965
f_metab,0.5,-10.422225235398965
f_metab,0.55,-10.422225235398965
f_metab,0.6000000000000001,-10.422225235398965
f_metab,0.65,-10.422225235398965
f_metab,0.7000000000000001,-10.422225235398965
f_metab,0.75,-10.422225235398965
f_metab,0.8,-10.422225235398965
f_metab,0.8500000000000001,-10.422225235398965
f_metab,0.9,-10.422225235398965
f_metab,0.9500000000000001,-10.422225235398965
f_metab,1.0,-10.422225235398965
f_maint,-1.0,-10.18232643656916
f_maint,-0.9500000000000001,-10.191190608979824
f_maint,-0.9,-10.200384033047445
f_maint,-0.8500000000000001,-10.209906741587204
f_maint,-0.8,-10.219758768076247
f_maint,-0.75,-10.229955824474409
f_maint,-0.7000000000000001,-10.240486142356064
f_maint,-0.65,-10.251349501391879
f_maint,-0.6000000000000001,-10.26252460248697
f_maint,-0.55,-10.273985888753291
f_maint,-0.5,-10.285781527764962
f_maint,-0.45,-10.297924463141321
f_maint,-0.4,-10.310400509011561
f_maint,-0.35000000000000003,-10.323205886425551
f_maint,-0.30000000000000004,-10.336346149666957
f_maint,-0.25,-10.34982134401693
f_maint,-0.2,-10.36363151553132
f_maint,-0.15000000000000002,-10.37777671054004
f_maint,-0.1,-10.392256975945
f_maint,-0.05,-10.407072358784305
f_maint,0.0,-10.422225235398965
f_maint,0.05,-10.437719342533752
f_maint,0.1,-10.453492601196178
f_maint,0.15000000000000002,-10.469548048979298
f_maint,0.2,-10.485935736177643
f_maint,0.25,-10.502652651442208
f_maint,0.30000000000000004,-10.51946167994154
f_maint,0.35000000000000003,-10.536231876493563
f_maint,0.4,-10.55332677171169
f_maint,0.45,-10.57079176023513
f_maint,0.5,-10.588520456489572
f_maint,0.55,-10.606263790240146
f_maint,0.6000000000000001,-10.624383509997108
f_maint,0.65,-10.642869498256681
f_maint,0.7000000000000001,-10.661721811374635
f_maint,0.75,-10.680940506232268
f_maint,0.8,-10.700418270964157
f_maint,0.8500000000000001,-10.720068138515334
f_maint,0.9,-10.739821571788488
f_maint,0.9500000000000001,-10.759772583646935
f_maint,1.0,-10.780143474604007
ngam_scale,-1.0,-12.258755100941535
ngam_scale,-0.9500000000000001,-12.249854234926211
ngam_scale,-0.9,-12.241421329073944
ngam_scale,-0.8500000000000001,-12.092841335963637
ngam_scale,-0.8,-11.899514142570423
ngam_scale,-0.75,-11.71001623277807
ngam_scale,-0.7000000000000001,-11.523990500333085
ngam_scale,-0.65,-11.341106641092335
ngam_scale,-0.6000000000000001,-11.16105786272853
ngam_scale,-0.55,-10.983552440393353
ngam_scale,-0.5,-10.808323333461322
ngam_scale,-0.45,-10.635123314176496
ngam_scale,-0.4,-10.463726905299922
ngam_scale,-0.35000000000000003,-10.357197659957954
ngam_scale,-0.30000000000000004,-10.365392619813186
ngam_scale,-0.25,-10.373930755089457
ngam_scale,-0.2,-10.382748864526592
ngam_scale,-0.15000000000000002,-10.391970641687525
ngam_scale,-0.1,-10.4016122379987
ngam_scale,-0.05,-10.411690481984156
ngam_scale,0.0,-10.422225235398965
ngam_scale,0.05,-10.433234706843663
ngam_scale,0.1,-10.444735777104286
ngam_scale,0.15000000000000002,-10.456748267291673
ngam_scale,0.2,-10.469292821999822
ngam_scale,0.25,-10.482390940751122
ngam_scale,0.30000000000000004,-10.496065014147124
ngam_scale,0.35000000000000003,-10.510338357461295
ngam_scale,0.4,-10.525235248137882
ngam_scale,0.45,-10.540814085020616
ngam_scale,0.5,-10.557074655032665
ngam_scale,0.55,-10.574040561596675
ngam_scale,0.6000000000000001,-10.591759082852722
ngam_scale,0.65,-10.610258462848837
ngam_scale,0.7000000000000001,-10.629553399314267
ngam_scale,0.75,-10.649551325768805
ngam_scale,0.8,-10.670365472335607
ngam_scale,0.8500000000000001,-10.692072508840127
ngam_scale,0.9,-10.714709075259721
ngam_scale,0.9500000000000001,-10.738313296846636
ngam_scale,1.0,-10.762924844603607
ngam_steepness,-1.0,-10.371331955672309
ngam_steepness,-0.9500000000000001,-10.373543626725821
ngam_steepness,-0.9,-10.37579180460716
ngam_steepness,-0.8500000000000001,-10.378076440893995
ngam_steepness,-0.8,-10.380397447913401
ngam_steepness,-0.75,-10.382754695500333
ngam_steepness,-0.7000000000000001,-10.385148011078746
ngam_steepness,-0.65,-10.387577175545195
ngam_steepness,-0.6000000000000001,-10.390041922619167
ngam_steepness,-0.55,-10.392541936008845
ngam_steepness,-0.5,-10.395076847586019
ngam_steepness,-0.45,-10.397646234984597
ngam_steepness,-0.4,-10.4002496196876
ngam_steepness,-0.35000000000000003,-10.402886464913156
ngam_steepness,-0.30000000000000004,-10.405556172741555
ngam_steepness,-0.25,-10.40825808339746
ngam_steepness,-0.2,-10.410991471370908
ngam_steepness,-0.15000000000000002,-10.413755544786934
ngam_steepness,-0.1,-10.41654947598861
ngam_steepness,-0.05,-10.419372948957346
ngam_steepness,0.0,-10.422225235398965
ngam_steepness,0.05,-10.425104339929367
ngam_steepness,0.1,-10.42800910493208
ngam_steepness,0.15000000000000002,-10.43093829355537
ngam_steepness,0.2,-10.433890589059573
ngam_steepness,0.25,-10.436864592405314
ngam_steepness,0.30000000000000004,-10.4398588212621
ngam_steepness,0.35000000000000003,-10.442871708759604
ngam_steepness,0.4,-10.445901602377475
ngam_steepness,0.45,-10.448946762437004
ngam_steepness,0.5,-10.452005362487748
ngam_steepness,0.55,-10.455075487588354
ngam_steepness,0.6000000000000001,-10.458155134355996
ngam_steepness,0.65,-10.46124221142931
ngam_steepness,0.7000000000000001,-10.46433453892534
ngam_steepness,0.75,-10.467429848869266
ngam_steepness,0.8,-10.470525786520387
ngam_steepness,0.8500000000000001,-10.47361991144061
ngam_steepness,0.9,-10.476709697345944
ngam_steepness,0.9500000000000001,-10.47979253661693
ngam_steepness,1.0,-10.48286573939335
clearance_mult,-1.0,-10.551315407801916
clearance_mult,-0.9500000000000001,-10.524194871238606
clearance_mult,-0.9,-10.497458164314253
clearance_mult,-0.8500000000000001,-10.471520878997321
clearance_mult,-0.8,-10.445783250496557
clearance_mult,-0.75,-10.422381855280161
clearance_mult,-0.7000000000000001,-10.40298939415393
clearance_mult,-0.65,-10.392331177120045
clearance_mult,-0.6000000000000001,-10.383905351938433
clearance_mult,-0.55,-10.377370468920317
clearance_mult,-0.5,-10.373969288743794
clearance_mult,-0.45,-10.374918909268331
clearance_mult,-0.4,-10.3777438583081
clearance_mult,-0.35000000000000003,-10.38081743116706
clearance_mult,-0.30000000000000004,-10.385026204682593
clearance_mult,-0.25,-10.387551647883324
clearance_mult,-0.2,-10.391280678533704
clearance_mult,-0.15000000000000002,-10.396645715795398
clearance_mult,-0.1,-10.403730854983474
clearance_mult,-0.05,-10.412525614450137
clearance_mult,0.0,-10.422225235398965
clearance_mult,0.05,-10.435413712467465
clearance_mult,0.1,-10.452535395119
clearance_mult,0.15000000000000002,-10.469803357194039
clearance_mult,0.2,-10.485756226137772
clearance_mult,0.25,-10.509235904224473
clearance_mult,0.30000000000000004,-10.535527107123507
clearance_mult,0.35000000000000003,-10.565100494159203
clearance_mult,0.4,-10.596933151997622
clearance_mult,0.45,-10.63062109016374
clearance_mult,0.5,-10.649392188954685
clearance_mult,0.55,-10.634959414946799
clearance_mult,0.6000000000000001,-10.621609194403412
clearance_mult,0.65,-10.608065376234894
clearance_mult,0.7000000000000001,-10.595681795973817
clearance_mult,0.75,-10.585184489661454
clearance_mult,0.8,-10.575375880728274
clearance_mult,0.8500000000000001,-10.567879123164957
clearance_mult,0.9,-10.560027450287617
clearance_mult,0.9500000000000001,-10.5510554924891
clearance_mult,1.0,-10.542666640934058
resp_scale,-1.0,-11.658175834493665
resp_scale,-0.9500000000000001,-11.556925778209287
resp_scale,-0.9,-11.459828619433292
resp_scale,-0.8500000000000001,-11.366884358165684
resp_scale,-0.8,-11.278092994406453
resp_scale,-0.75,-11.193454528155613
resp_scale,-0.7000000000000001,-11.112968959413148
resp_scale,-0.65,-11.036636288179071
resp_scale,-0.6000000000000001,-10.964456514453378
resp_scale,-0.55,-10.896429638236071
resp_scale,-0.5,-10.832555659527142
resp_scale,-0.45,-10.772834578326602
resp_scale,-0.4,-10.71726639463444
resp_scale,-0.35000000000000003,-10.665851108450664
resp_scale,-0.30000000000000004,-10.618588719775268
resp_scale,-0.25,-10.575479228608259
resp_scale,-0.2,-10.536522634949634
resp_scale,-0.15000000000000002,-10.501718938799392
resp_scale,-0.1,-10.47106814015753
resp_scale,-0.05,-10.444570239024056
resp_scale,0.0,-10.422225235398965
resp_scale,0.05,-10.404033129282254
resp_scale,0.1,-10.38999392067393
resp_scale,0.15000000000000002,-10.38010760957399
resp_scale,0.2,-10.37437419598243
resp_scale,0.25,-10.372793679899253
resp_scale,0.30000000000000004,-10.375366061324467
resp_scale,0.35000000000000003,-10.382091340258054
resp_scale,0.4,-10.392969516700031
resp_scale,0.45,-10.408000590650389
resp_scale,0.5,-10.427184562109133
resp_scale,0.55,-10.450521431076258
resp_scale,0.6000000000000001,-10.478011197551766
resp_scale,0.65,-10.50965386153566
resp_scale,0.7000000000000001,-10.545449423027936
resp_scale,0.75,-10.585397882028598
resp_scale,0.8,-10.629499238537644
resp_scale,0.8500000000000001,-10.677753492555066
resp_scale,0.9,-10.730160644080875
resp_scale,0.9500000000000001,-10.786720693115072
resp_scale,1.0,-10.847433639657648
disc_resp,-1.0,-10.24271345535642
disc_resp,-0.9500000000000001,-10.24647467586757
disc_resp,-0.9,-10.250553751020536
disc_resp,-0.8500000000000001,-10.254977252726974
disc_resp,-0.8,-10.259773923364005
disc_resp,-0.75,-10.264974844134464
disc_resp,-0.7000000000000001,-10.27061361491409
disc_resp,-0.65,-10.276726546086142
disc_resp,-0.6000000000000001,-10.28335286283026
disc_resp,-0.55,-10.290534922284223
disc_resp,-0.5,-10.298318443932473
disc_resp,-0.45,-10.30675275349062
disc_resp,-0.4,-10.31589104044724
disc_resp,-0.35000000000000003,-10.325790629289877
disc_resp,-0.30000000000000004,-10.336513264276576
disc_resp,-0.25,-10.348125407413775
disc_resp,-0.2,-10.360698549060935
disc_resp,-0.15000000000000002,-10.374309530297044
disc_resp,-0.1,-10.389040875849453
disc_resp,-0.05,-10.404981135995538
disc_resp,0.0,-10.422225235398965
disc_resp,0.05,-10.440874826328976
disc_resp,0.1,-10.46103864313104
disc_resp,0.15000000000000002,-10.48283285416682
disc_resp,0.2,-10.506381406720994
disc_resp,0.25,-10.53181635958278
disc_resp,0.30000000000000004,-10.559278197156157
disc_resp,0.35000000000000003,-10.588916118042572
disc_resp,0.4,-10.62088829008622
disc_resp,0.45,-10.655362062893218
disc_resp,0.5,-10.692514127856093
disc_resp,0.55,-10.73253061476657
disc_resp,0.6000000000000001,-10.775607113221554
disc_resp,0.65,-10.821948606268023
disc_resp,0.7000000000000001,-10.871769303148632
disc_resp,0.75,-10.925292357665821
disc_resp,0.8,-10.98274945864992
disc_resp,0.8500000000000001,-11.044380279372351
disc_resp,0.9,-11.110431773567917
disc_resp,0.9500000000000001,-11.18115730709599
disc_resp,1.0,-11.256815616249252
disc_growth,-1.0,-10.391737334468477
disc_growth,-0.9500000000000001,-10.314305606126755
disc_growth,-0.9,-10.245447916868157
disc_growth,-0.8500000000000001,-10.185036380712699
disc_growth,-0.8,-10.132970966210426
disc_growth,-0.75,-10.089177007917828
disc_growth,-0.7000000000000001,-10.053602675588076
disc_growth,-0.65,-10.026216412345935
disc_growth,-0.6000000000000001,-10.007004355344742
disc_growth,-0.55,-9.99596775447202
disc_growth,-0.5,-9.99312040648578
disc_growth,-0.45,-9.998486123429178
disc_growth,-0.4,-10.012096255199278
disc_growth,-0.35000000000000003,-10.033987286664072
disc_growth,-0.30000000000000004,-10.064198529679516
disc_growth,-0.25,-10.102769929731203
disc_growth,-0.2,-10.149740005717945
disc_growth,-0.15000000000000002,-10.205143939641292
disc_growth,-0.1,-10.269011830728065
disc_growth,-0.05,-10.341367125877913
disc_growth,0.0,-10.422225235398965
disc_growth,0.05,-10.511592339886658
disc_growth,0.1,-10.609464390933399
disc_growth,0.15000000000000002,-10.715826305244976
disc_growth,0.2,-10.830651348789683
disc_growth,0.25,-10.953900704907685
disc_growth,0.30000000000000004,-11.085523217932295
disc_growth,0.35000000000000003,-11.225455301870644
disc_growth,0.4,-11.373621002085883
disc_growth,0.45,-11.529932196723047
disc_growth,0.5,-11.694288923813843
disc_growth,0.55,-11.866579819554758
disc_growth,0.6000000000000001,-12.0466826531394
disc_growth,0.65,-12.234464943694842
disc_growth,0.7000000000000001,-12.429784645273319
disc_growth,0.75,-12.63249088643701
disc_growth,0.8,-12.84242475169831
disc_growth,0.8500000000000001,-13.059420092900078
disc_growth,0.9,-13.283304359504744
disc_growth,0.9500000000000001,-13.513899437679074
disc_growth,1.0,-13.751022488990644
