point,scored_under,growth_R2,resp_R2,rmax,Topt_C,sigma,disc_resp,disc_growth,resp_scale
P11 nested posterior median,"new likelihood (tiebreak pfba, floor 1.42)",0.8997313304534119,0.6258096512112314,1.6241994304556722,39.5,0.8454157485116863,0.3132168260925491,0.17656978894120878,3.5087033232847054
P11 nested posterior median,P4's scoring (no tiebreak),0.8997312630933226,0.6261169676818107,1.6241988493806194,39.5,0.8454157485116863,0.3132168260925491,0.17656978894120878,3.5087033232847054
P4 posterior median,"new likelihood (tiebreak pfba, floor 1.42)",0.8544065082937619,0.7950558077583324,1.5614631662633043,41.0,0.7231439763331603,0.3526708157481826,0.23874603385372228,3.936801749000154
P4 posterior median,P4's scoring (no tiebreak),0.854406483928429,0.7951760433860983,1.5614631662633092,41.0,0.7231439763331603,0.3526708157481826,0.23874603385372228,3.936801749000154
