tag,line,sign_changes,max_jump,max_jump_frac,range,ll_at_map,s_per_eval
p11floor,axis:topt_scale,1,3.1973181383830713,0.2030093715092284,15.749608575275687,-9.778832777439442,6.59
p11floor,axis:dCp_scale,1,3.5289760838305995,0.16260421362086183,21.702857541311822,-9.778832777439442,6.52
p11floor,axis:kcat_scale,1,1.5035982117008047,0.08466762612647573,17.75883274977786,-9.778832777439442,6.5
p11floor,axis:f_maint,1,0.06419487919522027,0.09072054800197908,0.7076112370244925,-9.778832777439442,7.02
p11floor,axis:ngam_scale,2,0.21872951216669456,0.10275574045013285,2.128635453440614,-9.778832777439442,6.47
p11floor,axis:clearance_mult,3,0.09450407837961627,0.09549247300528103,0.9896495022638057,-9.778832777439442,6.49
p11floor,PC1,1,0.7086956805160654,0.10729033515263363,6.605400938564122,-9.778832777439442,6.5
p11floor,PC2,1,0.8336663085238634,0.23244469837995332,3.5865146176023135,-9.778832777439442,6.48
p11floor,PC3,1,0.653728924358802,0.07852878311564797,8.324704629588705,-9.778832777439442,6.56
p11floor,random1,1,1.2118213379002505,0.08512882620389124,14.235146799720093,-9.778832777439442,6.78
p11floor,random2,1,0.8740684142075033,0.09011723625295587,9.699236800316694,-9.778832777439442,6.52
p11floor,random3,1,0.25049820251700616,0.08017576084711468,3.1243632722697257,-9.778832777439442,6.54
