param,new_median,new_lo5,new_hi95,new_width,new_width_over_prior,p4_median,p4_lo5,p4_hi95,p4_width,p4_width_over_prior,median_shift,moved_outside_p4_interval,width_ratio_new_over_p4,prior_lo,prior_hi
dTopt,1.5139048896401046,-1.3818512120053852,12.978187808717099,14.360039020722484,0.4786679673574161,3.1823099521254825,-2.1850118604556235,9.018624860350956,11.203636720806578,0.37345455736021926,-1.668405062485378,False,1.2817301541073771,-15.0,15.0
topt_scale,0.8940253628157612,0.7378411832199212,1.2249518704901106,0.48711068727018936,0.6494809163602524,0.9272943907300941,0.6810685097707714,1.2464681503972932,0.5653996406265218,0.7538661875020289,-0.03326902791433295,False,0.8615334221479516,0.6,1.35
dCp_scale,2.2045679834198513,0.9125842642378797,3.423242744029826,2.510658479791946,0.6695089279445189,1.529077537710905,0.5966639704997775,3.20613229731777,2.609468326817993,0.6958582204847981,0.6754904457089463,False,0.9621341075457558,0.25,4.0
dTm,-3.91983000464214,-6.278509191795375,0.030676127249434616,6.3091853190448095,0.21030617730149365,-3.682199859004003,-5.490826847467347,3.0939462624402565,8.584773109907603,0.28615910366358677,-0.23763014563813734,False,0.7349274393476328,-15.0,15.0
tm_scale,1.0014789412132288,0.8364096901981777,1.2588870763565108,0.4224773861583331,0.23470965897685167,1.0078274144931938,0.7727540628003817,1.255373496271905,0.48261943347152325,0.2681219074841795,-0.006348473279965017,False,0.8753841160506463,0.4,2.2
kcat_scale,1.3226295443214584,0.6707278084894391,2.0620724948888434,1.3913446863994041,0.11791056664401729,1.440605365272611,0.7154433919771755,3.8526932039712074,3.1372498119940317,0.26586862813508744,-0.11797582095115255,False,0.44349183832289957,0.2,12.0
kappa_scale,1.0570076453883666,0.6009634232840708,1.9643775262490926,1.3634141029650217,0.1155435680478832,1.0329171156991275,0.47572152284281444,2.537153181440762,2.0614316585979475,0.17469759818626673,0.024090529689239082,False,0.6613918522490956,0.2,12.0
sigma,0.8454157485116863,0.33753741591410846,0.9803687085226349,0.6428312926085265,0.6766645185352911,0.7301836917587226,0.46972799430583273,0.9460090699649447,0.476281075659112,0.5013485006938021,0.11523205675296377,False,1.3496889241692636,0.05,1.0
f_metab,0.2885613142255726,0.24493799681208336,0.32035931664267375,0.07542131983059039,0.25140439943530124,0.29198811432680094,0.24554478537247704,0.3480590486398469,0.10251426326736984,0.3417142108912328,-0.0034268001012283666,False,0.7357153768337805,0.15,0.45
f_maint,0.36521203920299744,0.32997942582895295,0.3940144450817674,0.06403501925281446,0.21345006417604823,0.35447001122097754,0.31208974542267737,0.40134333718075677,0.0892535917580794,0.29751197252693135,0.010742027982019897,False,0.7174503343952866,0.2,0.5
ngam_scale,1.4827367418725603,0.7548590617241506,2.7175718415040997,1.962712779779949,0.3326631830135507,1.3128717665704817,0.5746733563891486,2.3846866469181283,1.8100132905289796,0.30678191364897955,0.16986497530207867,False,1.0843637392332863,0.1,6.0
ngam_steepness,0.7509936260582233,0.372491271256895,1.6841864980928876,1.3116952268359925,0.22232122488745634,0.8832257382894704,0.3629755818263792,2.2093963395932743,1.8464207577668952,0.3129526708079483,-0.1322321122312471,False,0.7103988737769541,0.1,6.0
clearance_mult,0.778597719919414,0.5443369966131225,1.2937103209026157,0.7493733242894932,0.4683583276809332,0.9550925901941593,0.5934232464925181,1.5202818156940345,0.9268585692015164,0.5792866057509477,-0.1764948702747453,False,0.8085088158974181,0.4,2.0
resp_scale,3.5087033232847054,1.0292193357193655,6.443880617992505,5.41466128227314,0.10833656026957063,3.9270138544957804,2.0752702997551635,5.503904240302031,3.4286339405468675,0.06860011885848075,-0.4183105312110751,False,1.5792474134493053,0.02,50.0
disc_resp,0.3132168260925491,0.05210265540980304,0.6567041454013041,0.604601489991501,0.20160103034061386,0.3493295505334186,0.17910035813473368,0.6236566278112472,0.4445562696765135,0.14823483483711689,-0.03611272444086949,False,1.3600111644616917,0.001,3.0
disc_growth,0.17656978894120878,0.1245806416991627,1.0753650218007953,0.9507843801016326,0.1901606792339112,0.234861855362392,0.10542108761067535,0.6067614083523372,0.5013403207416618,0.10027006954972335,-0.05829206642118323,False,1.8964849639364376,0.0001,5.0
