param,main_median,seed2_median,diff,mc_error,sigma,main_w90,seed2_w90,agree_2sigma
dTopt,1.5139048896401046,9.390585002870727,-7.876680113230623,0.1572435800484841,50.0922206859062,14.360039020722484,13.532766600502658,False
topt_scale,0.8940253628157612,1.0212121800493161,-0.12718681723355496,0.005620630797533694,22.628566403857004,0.48711068727018936,0.542499070334469,False
dCp_scale,2.2045679834198513,1.2326669635246539,0.9719010198951974,0.02265729313767473,42.895725186126164,2.510658479791946,1.9137705241738838,False
dTm,-3.91983000464214,-3.2918954416621315,-0.6279345629800086,0.1513458613195936,4.149003861123189,6.3091853190448095,17.88872843555207,False
tm_scale,1.0014789412132288,1.0725778172563936,-0.07109887604316478,0.004497648999119823,15.808009041407772,0.4224773861583331,0.4389022300586206,False
kcat_scale,1.3226295443214584,1.225949177450909,0.09668036687054937,0.023899225752176113,4.045334684607775,1.3913446863994041,2.4338985110359346,False
kappa_scale,1.0570076453883666,0.7844783508493486,0.272529294539018,0.017563403382458036,15.51688409156591,1.3634141029650217,1.5137713681465403,False
sigma,0.8454157485116863,0.6145109381144821,0.23090481039720423,0.006901130248711872,33.45898455405963,0.6428312926085265,0.6977184489361034,False
f_metab,0.2885613142255726,0.266320952007825,0.022240362217747556,0.0009275919589682415,23.976449992608238,0.07542131983059039,0.09278313893659554,False
f_maint,0.36521203920299744,0.36281411414107667,0.0023979250619207693,0.0007993549606303071,2.999825084002679,0.06403501925281446,0.08236914247181909,False
ngam_scale,1.4827367418725603,0.8719619176341795,0.6107748242383808,0.01992540276993964,30.653072928584567,1.962712779779949,1.7239342547162735,False
ngam_steepness,0.7509936260582233,0.7673937634012251,-0.01640013734300183,0.01675785856343122,0.9786535243106775,1.3116952268359925,1.6006113021638257,True
clearance_mult,0.778597719919414,0.9625699679904464,-0.1839722480710324,0.008851689294837194,20.783857402036855,0.7493733242894932,0.8950272754485918,False
resp_scale,3.5087033232847054,2.5186745686234735,0.9900287546612319,0.06699641724033482,14.777338780814544,5.41466128227314,5.915394584287199,False
disc_resp,0.3132168260925491,0.19032659175989508,0.122890234332654,0.007827365242625783,15.700076657139485,0.604601489991501,0.7653409099200248,False
disc_growth,0.17656978894120878,0.7840437011006164,-0.6074739121594076,0.012742657801263801,47.67246532345545,0.9507843801016326,1.1604026843539041,False
