line,step_sd,logL,T_C,growth,o2
axis:topt_scale,-1.0,-17.61152764977847,15.0,0.025941113942553953,2.428738594940432
axis:topt_scale,-1.0,-17.61152764977847,20.0,0.24796522202458227,9.569964468781471
axis:topt_scale,-1.0,-17.61152764977847,25.0,0.8564204664859901,18.08050524030072
axis:topt_scale,-1.0,-17.61152764977847,27.0,1.0968798418581693,21.578877220656604
axis:topt_scale,-1.0,-17.61152764977847,30.0,1.375878831320922,25.181237116974778
axis:topt_scale,-1.0,-17.61152764977847,35.0,1.6001081226051612,34.4328437562248
axis:topt_scale,-1.0,-17.61152764977847,37.0,1.6496645109586727,38.002126754234034
axis:topt_scale,-1.0,-17.61152764977847,40.0,1.6800736567699057,39.85429446248482
axis:topt_scale,-1.0,-17.61152764977847,43.0,1.6145038671270406,37.285432937166405
axis:topt_scale,-1.0,-17.61152764977847,45.0,1.3861317562114062,44.456124453731036
axis:topt_scale,-1.0,-17.61152764977847,47.0,0.3453233127962873,19.795620314469254
axis:topt_scale,-1.0,-17.61152764977847,50.0,0.0010267304130006153,6.807040337967761
axis:topt_scale,-0.9500000000000001,-17.103691574120734,15.0,0.024074126340194506,2.3774937094320348
axis:topt_scale,-0.9500000000000001,-17.103691574120734,20.0,0.2408746384727129,9.35672654848776
axis:topt_scale,-0.9500000000000001,-17.103691574120734,25.0,0.8420399564422139,17.88405394541176
axis:topt_scale,-0.9500000000000001,-17.103691574120734,27.0,1.0865985236506355,21.433397328205274
axis:topt_scale,-0.9500000000000001,-17.103691574120734,30.0,1.3699247607100844,24.993650469336497
axis:topt_scale,-0.9500000000000001,-17.103691574120734,35.0,1.5973071586099088,34.28703490327435
axis:topt_scale,-0.9500000000000001,-17.103691574120734,37.0,1.6476983753165886,37.89884633892294
axis:topt_scale,-0.9500000000000001,-17.103691574120734,40.0,1.6794083911560296,39.833762230670786
axis:topt_scale,-0.9500000000000001,-17.103691574120734,43.0,1.6149411350265268,37.3092122146937
axis:topt_scale,-0.9500000000000001,-17.103691574120734,45.0,1.3875400862100562,44.499771340598585
axis:topt_scale,-0.9500000000000001,-17.103691574120734,47.0,0.34702940324036813,19.834368901792647
axis:topt_scale,-0.9500000000000001,-17.103691574120734,50.0,0.0010274528838167803,6.807147430728722
axis:topt_scale,-0.9,-16.624821962495414,15.0,0.022227079029787197,2.2386514055360127
axis:topt_scale,-0.9,-16.624821962495414,20.0,0.23382245021774622,9.144393575827433
axis:topt_scale,-0.9,-16.624821962495414,25.0,0.8276663466824061,17.6861610865746
axis:topt_scale,-0.9,-16.624821962495414,27.0,1.0761448609025837,21.28626178673472
axis:topt_scale,-0.9,-16.624821962495414,30.0,1.3638315087257478,24.80167882713296
axis:topt_scale,-0.9,-16.624821962495414,35.0,1.5944408619727906,34.1451420184332
axis:topt_scale,-0.9,-16.624821962495414,37.0,1.6456730154774963,37.78883294127977
axis:topt_scale,-0.9,-16.624821962495414,40.0,1.6786940260756884,39.80764311709803
axis:topt_scale,-0.9,-16.624821962495414,43.0,1.6153426614790949,37.33104781927821
axis:topt_scale,-0.9,-16.624821962495414,45.0,1.3889205960491497,44.554461332790446
axis:topt_scale,-0.9,-16.624821962495414,47.0,0.34874617785113626,19.885024426619722
axis:topt_scale,-0.9,-16.624821962495414,50.0,0.0010281723522940806,6.807257390012886
axis:topt_scale,-0.8500000000000001,-16.165786247839744,15.0,0.020412157272016996,2.0864472691302804
axis:topt_scale,-0.8500000000000001,-16.165786247839744,20.0,0.22680823181940546,8.932531303702298
axis:topt_scale,-0.8500000000000001,-16.165786247839744,25.0,0.8132484274980738,17.488382185766753
axis:topt_scale,-0.8500000000000001,-16.165786247839744,27.0,1.0653079372423642,21.13652269825569
axis:topt_scale,-0.8500000000000001,-16.165786247839744,30.0,1.357611257649426,24.605706000618177
axis:topt_scale,-0.8500000000000001,-16.165786247839744,35.0,1.5915063974536,33.999874557033735
axis:topt_scale,-0.8500000000000001,-16.165786247839744,37.0,1.6435868602433432,37.662160770969116
axis:topt_scale,-0.8500000000000001,-16.165786247839744,40.0,1.6779322238364986,39.77975344077673
axis:topt_scale,-0.8500000000000001,-16.165786247839744,43.0,1.6157072061063538,37.350872297299404
axis:topt_scale,-0.8500000000000001,-16.165786247839744,45.0,1.3902795851178078,44.608194915469916
axis:topt_scale,-0.8500000000000001,-16.165786247839744,47.0,0.3504734060716766,19.930484870861235
axis:topt_scale,-0.8500000000000001,-16.165786247839744,50.0,0.001028888728349227,6.80737062119082
axis:topt_scale,-0.8,-15.713478077080792,15.0,0.01859245342950164,2.0445848288625164
axis:topt_scale,-0.8,-15.713478077080792,20.0,0.2198311000218806,8.718328054179254
axis:topt_scale,-0.8,-15.713478077080792,25.0,0.7987471804908243,17.289307063057464
axis:topt_scale,-0.8,-15.713478077080792,27.0,1.0542999453677209,20.982261358773783
axis:topt_scale,-0.8,-15.713478077080792,30.0,1.351259102847986,24.405577466315435
axis:topt_scale,-0.8,-15.713478077080792,35.0,1.5884261426370114,33.84933362098668
axis:topt_scale,-0.8,-15.713478077080792,37.0,1.6414382797780365,37.22811806108935
axis:topt_scale,-0.8,-15.713478077080792,40.0,1.6771214963309171,39.75001722417859
axis:topt_scale,-0.8,-15.713478077080792,43.0,1.6160334938759646,37.36861631060761
axis:topt_scale,-0.8,-15.713478077080792,45.0,1.3916159029848227,44.660905049754454
axis:topt_scale,-0.8,-15.713478077080792,47.0,0.35221098860224215,19.976025588121257
axis:topt_scale,-0.8,-15.713478077080792,50.0,0.001029601922444992,6.807487176480182
axis:topt_scale,-0.75,-15.267642897110772,15.0,0.01680868152465551,2.003559381955738
axis:topt_scale,-0.75,-15.267642897110772,20.0,0.21290683106933575,6.623319597510976
axis:topt_scale,-0.75,-15.267642897110772,25.0,0.7840636963792251,17.047944043009792
axis:topt_scale,-0.75,-15.267642897110772,27.0,1.043115433913057,20.814574983213618
axis:topt_scale,-0.75,-15.267642897110772,30.0,1.3447593489057514,24.200798730524603
axis:topt_scale,-0.75,-15.267642897110772,35.0,1.5852497195055057,33.69464853851881
axis:topt_scale,-0.75,-15.267642897110772,37.0,1.6392424241370522,36.8662103288954
axis:topt_scale,-0.75,-15.267642897110772,40.0,1.6762602964294813,39.71834081759794
axis:topt_scale,-0.75,-15.267642897110772,43.0,1.6163202139741193,37.38420857520042
axis:topt_scale,-0.75,-15.267642897110772,45.0,1.3929279230598661,44.712508250865696
axis:topt_scale,-0.75,-15.267642897110772,47.0,0.3539586904328424,20.02157967564824
axis:topt_scale,-0.75,-15.267642897110772,50.0,0.0010303118458374753,6.807607166883408
axis:topt_scale,-0.7000000000000001,-14.874518612706863,15.0,0.015110500365414097,1.8283023952140096
axis:topt_scale,-0.7000000000000001,-14.874518612706863,20.0,0.20608694209485834,6.900377241413163
axis:topt_scale,-0.7000000000000001,-14.874518612706863,25.0,0.7689418660841965,16.649064587656056
axis:topt_scale,-0.7000000000000001,-14.874518612706863,27.0,1.0317505253304402,20.657948761689795
axis:topt_scale,-0.7000000000000001,-14.874518612706863,30.0,1.3381002016543282,23.99099821073366
axis:topt_scale,-0.7000000000000001,-14.874518612706863,35.0,1.58199682131394,33.53623928251259
axis:topt_scale,-0.7000000000000001,-14.874518612706863,37.0,1.6369839593374713,36.74871217683529
axis:topt_scale,-0.7000000000000001,-14.874518612706863,40.0,1.6753470135977644,39.68459608433892
axis:topt_scale,-0.7000000000000001,-14.874518612706863,43.0,1.6165660186136033,37.397575796409804
axis:topt_scale,-0.7000000000000001,-14.874518612706863,45.0,1.39421476772981,44.76293989088724
axis:topt_scale,-0.7000000000000001,-14.874518612706863,47.0,0.35571626232554365,20.067052012666643
axis:topt_scale,-0.7000000000000001,-14.874518612706863,50.0,0.0010310184109251976,6.8077309156536945
axis:topt_scale,-0.65,-14.47553126383307,15.0,0.013457933775653564,1.7931488221960197
