param,tau,median,ci90_lo,ci90_hi,prior_lo,prior_hi,width_ratio_vs_prior,prior_determined
dTopt,191.3,3.2808848105128243,-2.8198727694583967,9.343469165193019,-15.0,15.0,0.4054447311550472,False
topt_scale,208.0,0.9193017829355671,0.6669120263830339,1.2590516813204993,0.6,1.35,0.7895195399166204,True
dCp_scale,230.3,1.5338482609715351,0.6127852793901309,3.4307197025182212,0.25,4.0,0.751449179500824,True
dTm,217.9,-3.783848504935763,-5.5757857934045285,1.8004400228737483,-15.0,15.0,0.24587419387594256,False
tm_scale,188.8,1.0104270629801546,0.7861670531601307,1.2520793240697898,0.4,2.2,0.25884015050536613,False
kcat_scale,195.5,1.4557451627746272,0.7472816927886051,3.9165844519465973,0.2,12.0,0.2685849795896603,False
kappa_scale,193.4,1.0252346945032702,0.5242948093661607,2.334473529810378,0.2,12.0,0.15340497630883196,False
sigma,256.6,0.7675663972483947,0.4390650284621423,0.9690879799690548,0.05,1.0,0.5579188963230659,True
f_metab,205.9,0.28959771175798227,0.24227104103815914,0.3414269684307775,0.15,0.45,0.33051975797539457,False
f_maint,187.2,0.3488797386258372,0.3105436083161676,0.40409427583329155,0.2,0.5,0.3118355583904131,False
ngam_scale,206.8,1.267529584223273,0.5393844083831116,2.508080336434518,0.1,6.0,0.33367727594091634,False
ngam_steepness,190.1,0.8946890745814267,0.3739595444981351,2.1168960210878867,0.1,6.0,0.29541296213385615,False
clearance_mult,216.0,0.9499992748249173,0.5915758998984573,1.4793229778080075,0.4,2.0,0.5548419236934689,True
resp_scale,188.2,3.8934068750576625,1.903534572434161,5.2595127866785125,0.02,50.0,0.06714642285402865,False
disc_resp,242.1,0.32881882958416075,0.17598703667771404,0.5657960985508914,0.001,3.0,0.12997968051789843,False
disc_growth,298.4,0.20201269341164718,0.08828076305177297,0.6963138931087552,0.0001,5.0,0.1216090581925603,False
