fit,logL_MAP_first,jitter_MAP,logL_other_first,jitter_other,max_jitter,ms_per_eval,reapplies
D_NLDM,2.3643166223999525,0.00012092895847226615,-10.60460626756236,0.0004077472629138157,0.0004077472629138157,512.0,clearance
D_LB,-37.912543598764984,8.628120440334897e-11,-13.862300473770958,4.694022948115162e-11,8.628120440334897e-11,260.0,
E_NLDM,-0.7077569980379912,0.5152958362151141,-10.71891812232213,2.3017582176431244,2.3017582176431244,547.0,clearance+ETC
E_LB,-29.204760762512578,6.208121066950909,-92.7704958112769,0.4588262741364133,6.208121066950909,321.0,+ETC
F_NLDM,-10.284236895643755,4.312725768299226,-15.604637249541682,7.485074308588191,7.485074308588191,439.0,clearance+ETC
F_LB,-32.537718775828246,2.3530229857368425,-319.3989901285811,0.010206100374603011,2.3530229857368425,359.0,+ETC
D_M9,17.59468235992027,0.0,-5.70392116766594,0.0,0.0,354.0,
E_M9,17.45675703085669,0.13097898029223032,-6.998974083338293,0.0,0.13097898029223032,1081.0,+ETC
F_M9,15.897627798403526,1.9284777988474247,-5.875559340784198,1.2878964781748437e-05,1.9284777988474247,1004.0,+ETC
