fit,p4_steps,walkers,tau_max_remeasured,tau_max_p4,chain_over_tau_p4,n_eff_p4_walkers_steps_over_tau,steps_for_25tau,steps_for_40tau,s_per_step_p4,hours_25tau_fresh,hours_40tau_fresh
D_NLDM,2000,40,244.7,244.7,8.2,327,6118,9788,2.06,3.5,5.6
D_LB,2000,40,224.3,224.3,8.9,357,5609,8974,1.39,2.16,3.46
E_NLDM,1500,40,172.7,172.7,8.7,347,4317,6907,1.94,2.33,3.73
E_LB,1500,40,158.6,158.6,9.5,378,3965,6344,1.9,2.09,3.35
F_NLDM,1500,40,172.9,172.9,8.7,347,4322,6915,1.94,2.33,3.73
F_LB,1500,40,157.5,157.5,9.5,381,3937,6299,1.94,2.12,3.4
D_M9,2000,40,201.8,201.8,9.9,396,5045,8071,2.39,3.35,5.36
E_M9,1500,40,173.3,173.3,8.7,346,4334,6934,5.42,6.53,10.44
F_M9,1500,40,145.7,145.7,10.3,412,3642,5827,2.89,2.92,4.68
