run,param,median,ci90_lo,ci90_hi,width
stretch_p10,dTopt,2.0209290750100273,-3.8753443541978996,7.749308174446842,11.624652528644742
stretch_p10,topt_scale,1.0063109638850813,0.7083751711705287,1.17349942631898,0.46512425514845124
stretch_p10,dCp_scale,1.5349083529260452,0.5511678793153357,3.65257232731835,3.1014044480030143
stretch_p10,dTm,-2.2800661106875113,-4.154620491961905,-0.08820977373412386,4.0664107182277816
stretch_p10,tm_scale,1.1376427631176094,0.9938302707430189,1.3192016052462603,0.3253713345032414
stretch_p10,kcat_scale,1.7969043471258417,0.6505954560232989,3.769646286067915,3.119050830044616
stretch_p10,kappa_scale,1.2471975242097186,0.8017392981189859,2.29487868958998,1.493139391470994
stretch_p10,sigma,0.6843330932257083,0.6008777318302407,0.8717068754852022,0.27082914365496147
stretch_p10,f_metab,0.2938826147753472,0.2528621214352762,0.3217616131897185,0.06889949175444232
stretch_p10,f_maint,0.3396837449402855,0.29608668416105177,0.38560747044027577,0.089520786279224
stretch_p10,ngam_scale,0.8642118885841926,0.5321617814986713,1.4288444279982881,0.8966826464996168
stretch_p10,ngam_steepness,1.0239707483954987,0.47287978797115177,1.9922876698638505,1.5194078818926988
stretch_p10,clearance_mult,0.8182718747109256,0.4853492009698439,1.1194391581698968,0.6340899572000529
stretch_p10,resp_scale,4.1059994543989395,2.7978712940551205,5.590780783963749,2.792909489908628
stretch_p10,disc_resp,0.3310784472571383,0.22608547261826842,0.47416625491027514,0.24808078229200672
stretch_p10,disc_growth,0.2211844315323703,0.08451269254547268,0.3498982300373764,0.26538553749190374
DE_p10,dTopt,2.2344191368612454,-2.120428028125344,8.480187819580857,10.600615847706202
DE_p10,topt_scale,0.9251979075971154,0.6322989961207629,1.148805525212658,0.5165065290918952
DE_p10,dCp_scale,1.4606960293463578,0.6229162232835181,3.086663230158784,2.4637470068752663
DE_p10,dTm,-4.308484759481,-5.320510332874772,2.3140828824290467,7.634593215303818
DE_p10,tm_scale,0.9836322690449875,0.8696182573238689,1.5839899334466865,0.7143716761228176
DE_p10,kcat_scale,1.9692679609400774,0.8414081751728126,4.402905898026929,3.5614977228541163
DE_p10,kappa_scale,1.4320643051328963,0.6746440852890353,2.85085836242066,2.1762142771316246
DE_p10,sigma,0.6945445314232632,0.5643024238477097,0.9744136507904642,0.4101112269427545
DE_p10,f_metab,0.2831669886916355,0.2418966141683422,0.3437971092125556,0.10190049504421336
DE_p10,f_maint,0.3581661237543698,0.32870963630301725,0.40757871938833146,0.0788690830853142
DE_p10,ngam_scale,0.940023894888903,0.5613002110714341,1.5115285192315855,0.9502283081601514
DE_p10,ngam_steepness,0.9757628126408016,0.3444115039707646,1.7110840378252832,1.3666725338545187
DE_p10,clearance_mult,0.8189475993186185,0.532004269296822,1.2251387943939906,0.6931345250971687
DE_p10,resp_scale,4.060568633460375,3.241262172790906,4.830314882490825,1.589052709699919
DE_p10,disc_resp,0.2876293418371336,0.16530678578010596,0.47437421409089986,0.3090674283107939
DE_p10,disc_growth,0.1881148867712538,0.09522230419874077,0.4104105484398584,0.31518824424111763
