strain,role,growth_scale,thermal_limit_C,peak_mu,peak_T_C,peak_mu_model,pool_binds,mu_pool_free_model,pool_binding_ratio,mu_all_caps_free_model,all_caps_ratio,fit_r2,descr_Topt_C,descr_rmax,descr_CTmax_C,descr_CTmin_C,descr_Ea_eV,median_enzyme_Tm_C,mu_22C,mu_24C,mu_26C,mu_28C,mu_30C,mu_32C,mu_34C,mu_36C,mu_38C,mu_40C,mu_42C,mu_44C,model_mu_22C,model_mu_24C,model_mu_26C,model_mu_28C,model_mu_30C,model_mu_32C,model_mu_34C,model_mu_36C,model_mu_38C,model_mu_40C,model_mu_42C,model_mu_44C
cauris_iRV973,calibrate_on,1.9176776375861588,53.54541015625,0.7988000000000051,38.0,0.41654550501276105,True,2.044991485087404,4.909407160748903,2.044991485087404,4.909407160748903,0.20460815620480743,38.0,0.7988,53.68238324914086,19.27439280325751,1.3111912733562685,53.68015200000002,0.0974872027401596,0.17149415838419046,0.2756252565755002,0.4021831260775715,0.5329391014700658,0.6485431421916464,0.7347388317640603,0.7830581303680296,0.7988000000000051,0.7879877047838975,0.75578280568551,0.7044047311059306,0.05083607423345136,0.08942804307821807,0.14372867012332602,0.20972405277865785,0.2779085968488912,0.3381919512854038,0.38313990702258965,0.40833668548885493,0.41654550501276105,0.41090728146351146,0.39411358346798975,0.36732176320968474
chaemulonii_draft,predict,1.9176776375861588,53.140869140625,0.6885384201265106,40.0,0.3590480519933452,True,2.044991485091808,5.695592759070911,2.044991485091808,5.695592759070911,-2.089061033033707,39.5,0.6897776735795708,53.33845849852853,20.578748027194987,1.3267489323541557,53.53632600000003,0.05383388543437406,0.09620577649133934,0.16114126871439283,0.2504245219222107,0.35812911701187145,0.46984265260345415,0.5679112297322236,0.6421330469446069,0.6820228841968632,0.6885384201265106,0.6672887435418903,0.6256138116056771,0.02807243739992529,0.050167856476877194,0.08402938301831918,0.13058739227799931,0.1867514695862334,0.24500606535458164,0.29614530544720297,0.33484931688147546,0.3556504340611422,0.3590480519933452,0.3479671089984799,0.3262351290664039
cduobushaemulonii_draft,predict,1.9176776375861588,53.791259765625,0.5670666858082902,36.0,0.29570490612910044,True,2.044991485091808,6.915649496187237,2.044991485091808,6.915649496187237,-0.3430627406528828,36.5,0.5673394649081859,53.994301725339525,17.169566013441383,1.2251905142409545,53.52176400000002,0.1382484707492551,0.2219932665627044,0.31698356437720693,0.4068970621527307,0.47929576630413845,0.5293637982813423,0.5571668330755559,0.5670666858082902,0.5616861388737552,0.5411061896303232,0.5086118281041981,0.46743510794070325,0.07209161124873563,0.11576151393314171,0.16529554194322468,0.21218220110492858,0.2499355245688963,0.27604420467022245,0.2905424885576073,0.29570490612910044,0.2928991441860725,0.2821674399412774,0.26522279768793877,0.24375061729826422
cparapsilosis_iDC1003,predict,1.9176776375861588,53.32958984375,0.7744174718344186,38.0,0.40383089245865234,True,2.8367217903016555,7.024528938414702,2.8367217903016555,7.024528938414702,-1.0170803990000672,37.5,0.775042700566313,53.4496826970348,17.343691353004264,1.1761170317749505,54.206860000000006,0.16749947467866894,0.2649485630832246,0.3784319885234106,0.49149017308089166,0.5904337233477583,0.6782730376904518,0.7369569246892198,0.7677129759865321,0.7744174718344186,0.7572839240273407,0.7199242791108574,0.66866129063925,0.08734495902528529,0.13816115800188591,0.19733868774720387,0.256294469647957,0.30788997680077024,0.3536950238123522,0.38429656280335556,0.40033473871702263,0.40383089245865234,0.39489636275915374,0.37541464999145985,0.3486828430042679
