experiment,strain,param,required,permissive_preserved,permissive_growth,permissive_baseline,baseline_fail
candida_B1_unfolding,chaemulonii_draft,dTm,13.5,True,0.566,0.5679,0.6885
candida_B1_unfolding,chaemulonii_draft,dTopt,25.19,False,0.1317,0.5679,0.6885
candida_B1_unfolding,cduobushaemulonii_draft,dTm,14.12,True,0.5531,0.5572,0.5411
candida_B1_unfolding,cduobushaemulonii_draft,dTopt,23.75,False,0.1218,0.5572,0.5411
candida_B1_unfolding,cparapsilosis_iDC1003,dTm,13.77,True,0.731,0.737,0.7573
candida_B1_unfolding,cparapsilosis_iDC1003,dTopt,24.51,False,0.1462,0.737,0.7573
