view,param,PC1,PC2,PC3,PC4,PC5,PC6,in_ridge_sq
"128w (P7), steps 250-1500",dTopt,-0.35644231031439894,-0.531649353437399,0.0664588598222665,-0.04814400738188205,0.15263025586840537,0.18175177426405942,0.03755790022301769
"128w (P7), steps 250-1500",topt_scale,-0.14407947857738318,0.5480249436064213,-0.14355209108557007,0.07592243448541716,-0.2414502357705963,-0.2097663378301108,0.09384938991003332
"128w (P7), steps 250-1500",dCp_scale,0.29657230785468436,0.3775587791494031,0.06787078506533072,-0.04272245689943998,0.012940387520323383,0.22930579008847995,0.11879842559621215
"128w (P7), steps 250-1500",dTm,-0.013917494022687823,0.2030595207357217,0.5698160574969892,0.2639808995709994,-0.0635486432489891,0.22453331424261766,0.38166458238843665
"128w (P7), steps 250-1500",tm_scale,0.2526663130143932,0.011089834275396115,0.3774720542300592,0.09663814204220834,0.12913772223720785,0.3674365827858112,0.36996411597807605
"128w (P7), steps 250-1500",kcat_scale,0.16805514947981967,0.16076162556117052,-0.45253432538992644,0.07328454265660482,0.31038494381249676,0.3594968372307601,0.3709544053819796
"128w (P7), steps 250-1500",kappa_scale,0.00217427118181985,0.1351695235130999,-0.07343386670476293,0.4075904669899772,0.46176798152867227,-0.062186414271171934,0.08974251019967334
"128w (P7), steps 250-1500",sigma,0.4226533464673753,-0.22521372751799168,0.2182314739183046,-0.1985091595376865,-0.20846954112119895,-0.18528523410465667,0.12441532026797672
"128w (P7), steps 250-1500",f_metab,0.05799692568701414,-0.04158853919621871,-0.2031292631402081,0.16361981924792057,-0.055937516367465974,-0.19923256316626406,0.463519139446556
"128w (P7), steps 250-1500",f_maint,-0.013010586345106163,0.10240073324674498,-0.09491056638981735,-0.3048309968770255,-0.35666016854730265,0.3935858364544493,0.22186733961393204
"128w (P7), steps 250-1500",ngam_scale,0.19832141041863277,-0.22977838863957878,-0.1066197886455908,0.46925587306843486,-0.1423325639554088,0.30960868288965143,0.15565290485427646
"128w (P7), steps 250-1500",ngam_steepness,-0.035565360943309476,0.09514635103519346,0.26135709499374304,-0.18003775948997627,0.5602522403359682,-0.2092950491233603,0.13391138988442275
"128w (P7), steps 250-1500",clearance_mult,0.07301816886401258,-0.15844179154007684,-0.03736547642436852,0.5385225561210032,-0.22266724911402858,-0.24096084640022847,0.15536835250754857
"128w (P7), steps 250-1500",resp_scale,0.45724265068388825,-0.05107704242486425,-0.17385518617637674,-0.14476887515748657,0.1327060177938369,-0.18134256223521303,0.10281197689996223
"128w (P7), steps 250-1500",disc_resp,0.23173653628829533,0.04965243487094502,0.2568017304839484,0.07143092601180581,-0.07364911642423976,-0.3022255523344969,0.15769328951686853
"128w (P7), steps 250-1500",disc_growth,-0.4255399661548054,0.1844723151395903,0.13369929289876753,0.10856512297435865,-0.0860402550875745,-0.03114028252243882,0.02222895733102846
"40w (P4+P6), steps 1500-2500",dTopt,-0.3117910742749209,0.45024242506754214,-0.09813576608241732,0.29139318838377737,0.14950935109333374,0.011741959864783649,0.20201981788443207
"40w (P4+P6), steps 1500-2500",topt_scale,-0.21039197814294186,-0.3474196474765979,0.24913702174557084,-0.3833781766034923,-0.07250686395258082,-0.2140872646458935,0.19756394538263197
"40w (P4+P6), steps 1500-2500",dCp_scale,0.21544980551115273,-0.3425406776795217,-0.07408704182484006,-0.08127821533337189,-0.3875681791610861,0.36137383409788076,0.07758993409244457
"40w (P4+P6), steps 1500-2500",dTm,-0.2687156654896105,-0.4464528087835814,-0.26789843899273746,0.2535157119697327,-0.013896662731806054,-0.1918529144573452,0.20757908463388508
"40w (P4+P6), steps 1500-2500",tm_scale,0.06766181636555477,-0.37811248470608133,-0.23001745186736341,0.32752103487062584,0.3343585074658462,0.04699980403668511,0.14046822793575933
"40w (P4+P6), steps 1500-2500",kcat_scale,0.09945826469563145,-0.12312729768821938,0.5566950779395128,0.11213448302994786,0.20325523673651835,0.48181666101183124,0.10805614082425848
"40w (P4+P6), steps 1500-2500",kappa_scale,0.0792455513123262,-0.2131956777193363,-0.09546997131010644,-0.3676197652879056,0.19186331519822086,-0.08825316840906404,0.1500930352110001
"40w (P4+P6), steps 1500-2500",sigma,0.3919622509832659,0.08354992956612119,-0.34457299827597154,0.039631896367029816,-0.17177864045550392,-0.13464111152192643,0.45292296941498117
"40w (P4+P6), steps 1500-2500",f_metab,0.13116613734365154,-0.10693446007735008,0.4070185197034645,-0.0041182693027568855,0.236142918733931,-0.3671345014643703,0.01810062060904482
"40w (P4+P6), steps 1500-2500",f_maint,-0.18343633277857813,0.014529843139927397,0.042220825710647364,-0.07192094037259851,-0.16938235113276384,0.358117174423198,0.05146448490894262
"40w (P4+P6), steps 1500-2500",ngam_scale,-0.021632957379023408,-0.22198077162958554,0.20365545838146534,0.5281282052934267,-0.3318368142777684,0.0432162731304257,0.32572866230817316
"40w (P4+P6), steps 1500-2500",ngam_steepness,-0.09320420558824745,-0.06153861526871566,-0.11485128460710926,0.004960205179288418,0.5984670097300681,0.2871665971273167,0.011104147260140217
"40w (P4+P6), steps 1500-2500",clearance_mult,0.22529674569075753,0.04221880697445812,0.3154476094364556,0.31531613271069214,0.02121587221213957,-0.3907380670104441,0.1629419284765553
"40w (P4+P6), steps 1500-2500",resp_scale,0.47711418205210987,0.09233474039022475,0.010694440256591185,-0.16426804192508637,0.1125146195964506,0.014259509221184217,0.5946180892670427
"40w (P4+P6), steps 1500-2500",disc_resp,0.24931770743429987,-0.23698774747955875,-0.19472376799084876,0.09551476574964106,0.19161032299876418,-0.01826737725519473,0.07153990445742095
"40w (P4+P6), steps 1500-2500",disc_growth,-0.40613562319114177,-0.1348512772963054,0.026966644576115084,-0.14495088501825487,-0.0018169606035616142,-0.16054853610990524,0.22820900733328878
