view,a,b,c,se_c_ols,se_c_inflated,z_inflated,n_samples,tau_pc1,curved
"128w (P7), steps 250-1500",-0.11452541570507721,0.2423985865043163,0.04342648086432182,0.0006013366197261579,0.0064423589945435756,6.74077320141618,160000,114.77691293471204,True
"40w (P4+P6), steps 1500-2500",0.13277432008654533,-0.2412896336561408,-0.03790454854653616,0.0013235412808102935,0.013508538575433972,-2.805969597293647,40000,104.16978118957401,False
