Topt_C,rmax,CTmin_C,CTmax_C,niche_width_C,B80_C,Ea_eV,Ea_kJmol,skewness
35.0,0.5230004848114541,18.501782268868755,53.17270435305419,34.670922084185435,10.007654596968912,1.3498239903002207,130.2377677041168,0.06331916564684345
35.0,0.5747364878341391,21.721357518644275,48.8872271862002,27.165869667555924,8.551443918503487,1.7740352714963852,171.16779317032874,0.05092146267394588
34.0,0.574388574653628,17.62120068427089,52.29359104778723,34.67239036351634,10.46798923382639,1.3792745643891258,133.0793063450848,0.06456554206161316
39.0,0.5108526257638344,18.712832971897132,60.0,41.28716702810287,12.82354680124994,1.0382543831746025,100.17597416060153,0.006925436565428265
34.0,0.5747364878341389,20.707839206040084,47.67466165563646,26.96682244959638,8.711935962545347,1.9466450686123815,187.82204944506563,0.07611140321103418
34.0,0.48209041915832673,20.775485224198196,48.814179155336355,28.03869393113816,8.138233146244687,1.6101229025054535,155.35270824823868,0.053170195237825894
42.0,0.5747103642001721,17.867160460550775,60.0,42.13283953944922,15.912127865627198,1.0156384536573746,97.99387620113178,-0.14221768279472352
33.0,0.5742486719857604,17.71703066909916,49.58051876416653,31.863488095067368,9.667341220630252,1.5000039919616663,144.72788516442137,0.08142083506039806
41.0,0.4142750723118748,26.518915255897745,55.90851900401393,29.389603748116187,8.60303242622063,1.7395440216421711,167.83990492814488,0.05300608589797173
35.0,0.48204515221064703,16.769043192247686,56.15159461319535,39.382551420947664,11.57054175152431,1.1629193669836706,112.20427512341946,0.0899988063063022
38.0,0.4644220744139364,21.18815487975686,55.79115633764487,34.60300145788801,10.067904341145322,1.4062553537495,135.6825478065205,0.06299764478123689
34.0,0.4567204776947038,20.86521393512173,47.500990861527534,26.635776926405804,7.748359185366095,1.7545350282852197,169.28631220409943,0.052225762161487325
31.0,0.5660279877809656,8.0,57.67269878376141,49.67269878376141,14.90461966303743,0.8889911414861275,85.77431028628901,0.12515237168392396
39.0,0.5465779289177475,22.69359000832042,58.14779308291517,35.45420307459475,10.44350248887256,1.4117005637915285,136.20792889742563,0.0776977570357539
41.0,0.41933937394075027,24.63791612604843,59.90823968310879,35.27032355706036,10.532317098362988,1.3816305543615068,133.30662403756997,0.05444428691849478
38.0,0.5220341000311307,23.678516985912193,52.50321677717856,28.824699791266365,8.331112365818193,1.6268532444413473,156.96693528992338,0.05646391775023456
41.0,0.5129257356768423,27.333059878404644,55.18436060949145,27.851300731086805,8.047539282833185,1.8466334039971264,178.17242398466274,0.05288196238006301
31.0,0.5084862029448164,14.677746728015714,49.22493675155312,34.54719002353741,9.992137101152803,1.3433857021389153,129.61656947087323,0.06426603898167682
34.0,0.49751158846445387,18.879652600631278,50.78727751717745,31.907624916546172,9.252261608855196,1.4137850141118256,136.40904708657948,0.05952235251580228
30.0,0.5747364878341423,9.284462113956874,51.85365154996852,42.56918943601164,13.796914762920494,1.133721640713449,109.38713250423712,0.08887151911197069
32.0,0.5052813235322018,19.065601824155912,45.927681277921735,26.862079453765823,7.772503877551319,1.6647031996211419,160.61888821544588,0.050172842273486166
42.0,0.4878428774162009,27.586740957302332,57.69138518642062,30.104644229118286,8.713961661185316,1.530895211737787,147.70842450452037,0.054975857304007336
40.0,0.5529459127553491,25.133225187544173,56.51437280436345,31.381147616819273,9.090834608718616,1.5368508548784086,148.28305473294324,0.05824918787176584
37.0,0.5375039315895662,19.398945852370126,56.166785809689316,36.76783995731919,10.60958137028642,1.2679163218327218,122.33490631203017,0.06860650671391652
38.0,0.46716153626583407,21.9701725398744,55.525472669826165,33.55530012995176,9.753890770212706,1.455927654686508,140.47517976242773,0.061312311434597984
44.0,0.5747364878341489,29.842437985017124,59.43323870146115,29.590800716444026,9.78476801005749,1.9086581244979255,184.15687914218233,0.03390452275317832
41.0,0.5000876981323991,26.089835578494284,57.88462683772448,31.794791259230198,9.248671405349448,1.5288270212999715,147.50887515012775,0.056117034809900074
35.0,0.5519576211927892,17.776770342086643,52.71244867671559,34.935678334628946,10.126337583544643,1.3146910814873787,126.84796899730974,0.06554529903996306
34.0,0.5433693369022136,13.700317831520836,56.93728372911262,43.23696589759179,12.5088145262633,1.0841549932266892,104.6046945214771,0.07751458965451254
41.0,0.5747364878341448,23.71990340483263,56.571916617413365,32.85201321258074,11.013747378960872,1.6768456004555379,161.79044775995257,0.05751024055938519
33.0,0.4079676223024637,18.253144209550907,48.94653193206266,30.693387722511755,8.980586694732814,1.5743045789584846,151.8967773008094,0.055328062797067604
39.0,0.5747364878341416,24.909620493741595,52.874837835386515,27.96521734164492,8.92305279733467,1.861742153220949,179.63019165352327,0.05137760572466127
31.0,0.44026711045471517,12.846710019906075,51.613844102049846,38.76713408214377,11.333883193338714,1.1989448577172495,115.6801945968488,0.07130654255043456
36.0,0.40922616881217516,20.11578197843105,52.71438010552635,32.5985981270953,9.551241973881197,1.4602930077573835,140.89637085347115,0.058050348095017176
34.0,0.43442779838009715,20.145633375785657,49.49350978698103,29.347876411195372,8.579595377374599,1.574034264322733,151.87069599317888,0.05338403925574842
39.0,0.45524793084364357,21.52462340254291,57.91340532127008,36.388781918727176,10.585213405390604,1.2952580739074395,124.9729752609593,0.061273589355028434
35.0,0.428693889816621,18.762183593494115,52.46966238204001,33.7074787885459,9.848650534168826,1.3836072011733922,133.49734080521475,0.06176456474756655
36.0,0.4212726935590026,17.825987220399888,55.665642767180316,37.83965554678043,11.05661809409608,1.2341113088635096,119.07322963569572,0.06860795669887816
42.0,0.4422764490573034,28.370049366606402,56.63537766038363,28.26532829377723,8.234939219466249,1.726677225105241,166.59845206427917,0.053471507442729695
35.0,0.4883807041021459,12.042258020818492,60.0,47.957741979181506,14.37714283992348,0.914937266678379,88.2777221754634,0.02329862003508107
42.0,0.40541701168715055,19.87351645554061,60.0,40.12648354445939,13.553861532970856,1.0807268408251314,104.2739292370128,-0.10309994870145127
