temp_C,growth
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.004052347754441584
17.0,0.010832589719132407
18.0,0.01982909316169651
19.0,0.031545414585764396
20.0,0.04645470007738524
21.0,0.06501032765215409
22.0,0.08759384622749401
23.0,0.11446561264715091
24.0,0.14571432613266133
25.0,0.1812105037921499
26.0,0.22057025568324526
27.0,0.2631338550972004
28.0,0.30796565893611794
29.0,0.3527823846439416
30.0,0.3971350916172389
31.0,0.4396958216520763
32.0,0.47892845951856067
33.0,0.513343040207294
34.0,0.5409733886535003
35.0,0.5590114018851343
36.0,0.5680618478631798
37.0,0.5710940456135702
38.0,0.5680516212646242
39.0,0.5591450247200905
40.0,0.5417249614121095
41.0,0.5152932335424462
42.0,0.4826152642372947
43.0,0.4456741459095368
44.0,0.4058472466968903
45.0,0.3644942871846262
46.0,0.3228869427375877
47.0,0.28126213159724345
48.0,0.2412482185202491
49.0,0.20385744317137264
50.0,0.16962911964272853
51.0,0.13889319745880457
52.0,0.11179062696392582
53.0,0.08830166642125446
54.0,0.06827850348226344
55.0,0.05147892416318335
56.0,0.03759836803778417
57.0,0.026298520428788243
58.0,0.017230862163116905
59.0,0.010055300615117583
60.0,0.004453797272411094
