T_C,mu,n,n_alive
22,0.289,15,15
24,0.3675,15,15
26,0.4785,15,15
28,0.5453,15,14
30,0.578,15,15
32,0.8002,15,15
34,0.6742,15,15
36,0.6231,15,14
38,0.4819,15,15
40,0.0,15,4
42,0.0,15,0
44,0.0,15,0
