curve,SS_E_eV,E_sd,SS_Eh_eV,T_h_C,r2,n,ok
ecoli_emergent,0.458,0.059,2.21,44.3,0.8957,32,False
ecoli_tuned,0.677,0.074,4.35,41.7,0.93,32,True
ecoli_observed_VdL,0.558,0.045,8.99,43.6,0.973,17,True
methan_calibrated,1.024,0.12,2.63,37.4,0.9574,23,True
methan_observed_Jones,1.042,0.249,2.6,37.2,0.9502,11,True
