pair,parameter,diff,err,mc,ok
1v2,dTopt,1.9540144383989588,0.051964736547024944,37.602700759017495,False
1v2,topt_scale,0.09040481872199423,0.0021851443120923554,41.3724705602754,False
1v2,dCp_scale,0.018593379462982673,0.004630961058034759,4.015015291636494,False
1v2,tm_scale,0.06842126094391496,0.00205074782746678,33.364053847826554,False
1v2,kcat_scale,0.15604314462869845,0.005204819320278409,29.980511335089265,False
1v2,kappa_scale,0.20904088883180072,0.005273617442936099,39.63899374457028,False
1v2,sigma,0.0942709635329213,0.0031313359499676027,30.105668966594482,False
1v2,f_maint,0.007650376011786475,0.00032091343966898496,23.839375563945428,False
1v2,ngam_scale,0.02431869644991634,0.006596638385371006,3.6865286573607774,False
1v2,ngam_steepness,0.20836599851176985,0.006019025598648988,34.6178953880075,False
1v2,clearance_mult,0.16271983757275257,0.004959424446760255,32.810226129979526,False
1v2,resp_scale,0.05871496401509413,0.004611064045879033,12.73349565976392,False
1v2,disc_resp,0.19360791466949046,0.013113569414334123,14.763937151837727,False
1v2,disc_growth,0.2958855922261743,0.004576684847256762,64.6506373283549,False
