run,direction,eigenvalue,width_ratio,dTopt,topt_scale,dCp_scale,tm_scale,kcat_scale,kappa_scale,sigma,f_maint,ngam_scale,ngam_steepness,clearance_mult,resp_scale,disc_resp,disc_growth
1,1,0.14263717892356811,1.3082989517242676,-0.0010908395176421682,0.2216399500398139,-0.19979928246088866,-0.12652532822746745,0.28131985632349255,0.2130017404097758,-0.20083636807846064,0.013511379211315405,0.4175327444042288,0.4905886543602531,0.37181001364838673,-0.06165454829302536,0.3570904778360579,0.21295380766164435
1,2,0.0879872687929415,1.0275442693700831,-0.2695005944702472,0.4890044334637417,0.2651475780870093,-0.1374148404072701,0.27233346483877635,-0.349181325865225,-0.06931987945679832,0.47743171635155907,-0.25683899017855477,0.019443851852556912,-0.22366315849705176,0.054051465443949634,0.22121618252624498,0.044619661419971424
1,3,0.06841909960407958,0.9061066136216835,0.0022341319067495083,0.05192664079529827,0.01079377113980289,0.26562342338531214,-0.1481930297898613,0.43211125428176533,0.1703477120804663,0.508557025778868,-0.03045944796933791,-0.4378618247137827,0.39860443561381453,0.03652616924438794,0.27059819779903166,-0.0648276573199367
1,4,0.05480077395492542,0.8109311237454788,-0.21677481241034777,0.35389218235668635,0.2544456589133187,-0.0039576343963331866,0.06247798690551142,0.3200406670921629,0.014349675721413432,-0.29606662793046257,0.5364845518696912,-0.3725017290996165,-0.37526337177909025,0.012029646703116452,-0.0016140385200712373,-0.03573136797353898
1,5,0.05299183601178544,0.7974346569728615,0.28548653147902214,-0.20412242217780585,-0.07773026340957671,0.3467963237406816,0.21637362844697292,0.010209121359669605,0.05960182664836723,0.516550935963493,0.3885640643891371,0.2171539288077771,-0.4242725678837737,-0.025594459530328382,-0.20826251420186895,-0.10511588223221732
1,6,0.042533819903776415,0.7144269303751902,0.13901507595635582,-0.2711155393484032,0.05090056055007138,-0.028789197234076778,0.40993430495178035,0.5066933710047198,-0.23523137645817713,-0.11588901211289762,-0.4460434144323078,-0.023332682474912842,-0.34191814847378943,-0.040179520138975806,0.2958413419175868,0.06826025587259503
1,7,0.04110411715869199,0.7023171690228738,0.11111805871622808,-0.274513044625505,0.290721731013277,0.2568136625244066,0.4647629780233619,-0.43333595689795074,-0.18841362101668707,-0.1719547161166031,0.18959430224670903,-0.31648806223087256,0.3060174373988061,-0.012244626987271618,0.2001119641395992,-0.15171715427327542
1,8,0.034865976020739334,0.6468320587670898,0.10073111388235328,-0.303499226170377,-0.26367475542123875,-0.4073881444670826,-0.23362915741704143,-0.25296432076513975,0.10087473606010075,0.10686247450764953,0.23859854232181302,-0.260846323402347,-0.2745310908815824,-0.019839323675247406,0.5357368640184204,0.1853056366631414
1,9,0.031388975777988916,0.6137326041004071,-0.22575740661807905,-0.3437532356000442,0.6685555870712391,0.02329335609187224,-0.2785197590622654,0.08573942160913542,0.20539743830634,0.013866538655064858,0.08333493691617086,0.4203890683187783,-0.009220877005157104,0.06665647411429018,0.2552831438355822,-0.05180719692198105
1,10,0.028022817492201302,0.5798912052328572,0.1337172991813483,0.29731383710170833,-0.2274578140900432,0.5366758457343506,-0.11114976688448096,-0.13806705504711345,0.2858595735584373,-0.3102613071125778,-0.13247758853280467,0.17581116384596396,-0.1806468233009183,0.07670390067932478,0.4616544596248292,-0.21087937000133367
1,11,0.008934678232056778,0.3274387557768343,-0.2953403811437276,-0.08388298738913029,-0.020545701724496584,0.48577006918445,-0.15916007729713907,-0.0904086789967866,-0.21900309773145346,-0.008814308061179693,-0.019555939575469403,-0.057459693760911826,-0.07966839136729408,-0.28012287598183083,-0.01661872659072796,0.7064143245626678
1,12,0.0059303576091048445,0.2667663609026785,0.5610250801288728,0.17508041132279484,0.2948470901362639,-0.08231719326553676,0.14373466163587337,-0.009580107015498707,0.4760029327855232,-0.07536348611187157,-0.038622448873597226,-0.038435720566395166,0.07045125715473927,0.08545154883162005,-0.08713636700744827,0.5339005640032789
1,13,0.005256478828358728,0.2511528338289352,0.11667723627786121,0.0067133013055352036,0.014514707048459606,0.09936631789237019,-0.1750313206547642,-0.0033051580784053277,-0.40323998717671067,0.01363062242093628,0.042085374280344326,-0.0060335168773018,-0.03150062127130723,0.8688305139785407,-0.0006206049521549258,0.15860367428465874
1,14,0.002868692865171698,0.185537905512756,0.5221252878917569,0.23849355093976163,0.27562711758270364,-0.018337995967102186,-0.4108807440161751,-0.01590302531630273,-0.5099276700104227,0.04415944141125661,0.002081908039809316,0.010324429072581073,-0.0327683738537481,-0.3715123869811509,0.07877819551239387,-0.1331731604533878
2,1,0.14441324101442543,1.3164189652892064,0.2519762276341614,-0.3653701390749815,-0.14859033887933557,-0.06762517482925044,-0.005487834833206598,-0.2513010630335624,0.01544882545062731,-0.3083564663797251,0.4377673713094104,0.3926700200023745,-0.37971266610811333,-0.07586080346236271,0.3491612831320144,-0.013247036897960014
2,2,0.09306951180452545,1.0568037384747961,0.07058190564339471,-0.255764729466878,0.02635247550361805,0.013838821773355287,-0.0681173976292277,-0.22856868269268327,0.07594246042820116,0.46850110740425804,0.26716481678539894,0.3708490049018803,0.6503261585584059,-0.038962984471686675,-0.11376375950173312,-0.016793477774277765
