pair,direction,abs_cos,ok,width_diff
1v2,1,0.2554276708536377,False,
1v2,2,0.09421540381967955,False,
1v2,3,0.012609045369659483,False,
1v2,1,,True,0.008120013564938855
1v2,2,,True,0.029259469104713
1v2,3,,True,0.03121233810124424
1v2,4,,True,0.08288870531452996
1v2,5,,True,0.0882102287060813
1v2,6,,True,0.0896800061215205
1v2,7,,True,0.056354146029759966
1v2,8,,True,0.08327694414957731
1v2,9,,True,0.06509280081367386
1v2,10,,True,0.032664311513753264
1v2,11,,True,0.05216073749228595
1v2,12,,True,0.035782706257005414
1v2,13,,True,0.006482010633569346
1v2,14,,True,0.010463347928961308
