label,t1_n_structural_zero,expected,ll_old,ll_new,verdict,diff
red2_6800:15,12,NEG_INF,-18.761400086883455,-inf,OK,
red2_6800:16,12,NEG_INF,-18.766302251263944,-inf,OK,
red2_6800:17,12,NEG_INF,-18.69299295303418,-inf,OK,
red2_6800:18,12,NEG_INF,-18.71585967770825,-inf,OK,
red2_6800:19,12,NEG_INF,-18.68684222598915,-inf,OK,
red2_6800:20,12,NEG_INF,-18.695911738434376,-inf,OK,
red2_6800:21,12,NEG_INF,-18.692965648485213,-inf,OK,
red2_6800:22,12,NEG_INF,-18.731196950270434,-inf,OK,
red2_6800:23,12,NEG_INF,-18.68804502233789,-inf,OK,
red2_6800:24,12,NEG_INF,-18.696943378805777,-inf,OK,
red2_6800:25,12,NEG_INF,-18.720108678752094,-inf,OK,
red2_6800:26,12,NEG_INF,-18.68359786702798,-inf,OK,
red2_6800:27,12,NEG_INF,-18.706419307594903,-inf,OK,
red2_6800:28,12,NEG_INF,-18.68453859039058,-inf,OK,
red2_6800:29,12,NEG_INF,-18.733351945438603,-inf,OK,
red2_6800:30,12,NEG_INF,-18.744266204575705,-inf,OK,
red2_6800:31,12,NEG_INF,-18.737629561139155,-inf,OK,
red2_6800:32,12,NEG_INF,-18.683964527688644,-inf,OK,
red2_6800:33,12,NEG_INF,-18.76369848511453,-inf,OK,
red2_6800:34,12,NEG_INF,-18.73313477968301,-inf,OK,
red2_6800:35,12,NEG_INF,-18.704783426948858,-inf,OK,
red2_6800:36,12,NEG_INF,-18.730805115578452,-inf,OK,
red2_6800:37,12,NEG_INF,-18.683048507129577,-inf,OK,
red2_6800:38,12,NEG_INF,-18.690157391321577,-inf,OK,
red2_6800:39,12,NEG_INF,-18.69340656087137,-inf,OK,
red2_6800:40,12,NEG_INF,-18.697725534980492,-inf,OK,
red2_6800:41,12,NEG_INF,-18.739805978607414,-inf,OK,
red2_6800:42,12,NEG_INF,-18.68322067325455,-inf,OK,
red2_6800:43,12,NEG_INF,-18.68251309259389,-inf,OK,
red2_6800:44,12,NEG_INF,-18.74705363560152,-inf,OK,
red2_6800:45,12,NEG_INF,-18.705078200896786,-inf,OK,
red2_6800:46,12,NEG_INF,-18.690490601889117,-inf,OK,
red2_6800:47,12,NEG_INF,-18.68724324460628,-inf,OK,
red2_6800:48,12,NEG_INF,-18.713929623771776,-inf,OK,
red2_6800:49,12,NEG_INF,-18.68479419994514,-inf,OK,
red2_6800:50,12,NEG_INF,-18.699133324369832,-inf,OK,
red2_6800:51,12,NEG_INF,-18.690849156633856,-inf,OK,
red2_6800:52,12,NEG_INF,-18.737772087483187,-inf,OK,
red2_6800:53,12,NEG_INF,-18.684992596230593,-inf,OK,
red2_6800:54,12,NEG_INF,-18.68253996087885,-inf,OK,
red2_6800:55,12,NEG_INF,-18.68250587546225,-inf,OK,
