run,parameter,lo5,median,hi95,median_sampled,mc_sampled
1,dTopt,-4.471786971061969,0.3320257397668004,5.102573166326359,0.3320257397668004,0.025849722917218772
1,topt_scale,0.7176844344945044,0.9223181878883953,1.1868425407663983,-0.08086500879135428,0.0015572195180653605
1,dCp_scale,0.8497132504278141,1.6995017765567495,2.775724655060199,0.5303351354943225,0.003013325796540377
1,tm_scale,0.9879474456194096,1.3191286306591685,1.494055988910486,0.2769713903291567,0.0012050385313108676
1,kcat_scale,0.6635492475065826,1.0059405995474047,2.127861416639653,0.005923023758711357,0.004052596383704589
1,kappa_scale,0.5176893354106127,1.0615097618941218,2.4881939002499363,0.05969219843930413,0.0034902325883322182
1,sigma,0.5004675885619128,0.75042748463201,0.9586704794526841,0.75042748463201,0.0027736640809827113
1,f_maint,0.314118170038318,0.357254948262278,0.39816254478949437,0.357254948262278,0.0002440374522172841
1,ngam_scale,0.49549266551033816,0.9033591736750745,1.972703120446418,-0.10163504864126811,0.003898631665660046
1,ngam_steepness,0.3633018709722786,0.7368887516415054,1.7493115249429472,-0.3053183457557236,0.003681005400715703
1,clearance_mult,0.6162518650397616,0.941470583195193,1.551599246540532,-0.060312175987824276,0.0025139845173009503
1,resp_scale,1.733331129045205,3.606156665659564,6.758944892469733,1.2826425696664354,0.003625046126500216
1,disc_resp,0.01978094488747581,0.1752017819600585,0.5895440059853889,-1.74181692952667,0.009636013927373307
1,disc_growth,0.17472344797692774,0.2716409790335362,0.5165595360797258,-1.3032740145848314,0.003967191479235489
2,dTopt,-6.578062819250948,-1.6219886986321586,4.5660787943912915,-1.6219886986321586,0.04507910457745057
2,topt_scale,0.738098899921043,1.009585458962953,1.271961069840429,0.009539809930639952,0.0015329458689809824
2,dCp_scale,0.804325742416863,1.7313968577850123,2.9355161019395597,0.5489285149573052,0.003516485172006092
2,tm_scale,0.9329794017127582,1.23189068243572,1.4840996337995098,0.20855012938524173,0.0016593519186465133
2,kcat_scale,0.7009692099025026,1.1758204607457794,2.2558746703948183,0.1619661683874098,0.00326597714436704
2,kappa_scale,0.5316733294000264,1.3083058909433098,2.9280028654393835,0.26873308727110484,0.003953393151937164
2,sigma,0.488133581064395,0.6561565210990887,0.9158292257468856,0.6561565210990887,0.001453290197250997
2,f_maint,0.31413937761147975,0.36490532427406447,0.406627259295521,0.36490532427406447,0.00020840143395734113
2,ngam_scale,0.40414485569746483,0.8816556267408938,1.9297790682683045,-0.12595374509118445,0.0053213070878180835
2,ngam_steepness,0.4432565136212866,0.90759925470868,2.0558307955010546,-0.09695234724395374,0.004762233551296454
2,clearance_mult,0.5906775617962254,1.107835001458551,1.7413406470773551,0.1024076615849283,0.0042750172736369585
2,resp_scale,1.7410196852562345,3.8242315062022882,6.92653077896584,1.3413575336815295,0.002849728446000443
2,disc_resp,0.02248342341037386,0.2126284474040211,0.635828994441509,-1.5482090148571797,0.008894545428296324
2,disc_growth,0.24672417426299909,0.36517140884529914,0.5410897468351569,-1.007388422358657,0.002281980709425692
