label,ll_production,ll_validation_1,ll_validation_2,ll_production_repeat,diag_1,diag_2,perturbation_identical,max_diff_same_instance,repeat_floor,inert_1e12,within_repeat_floor
prior17303:75,-31.11515112904482,-31.115151129043195,-31.115151129043028,-31.11515112904226,"[0.2902000406917219, 0.5445119128049576]","[0.2606047036087596, 0.8556251313574206]",True,1.7905676941154525e-12,2.5579538487363607e-12,False,True
prior17303:76,-57.190877294116504,-57.190877291554756,-57.190877291605375,-57.190877299802835,"[0.26307602361426113, 0.9730503302343155]","[0.2426802572989419, 0.16305856539213362]",True,2.5617481469453196e-09,5.68633140574093e-09,False,True
prior17303:77,-42.03077886619858,-42.03077886623504,-42.030778866160105,-42.030778866212756,"[0.2839118908631334, 0.9574981282308646]","[0.31164604674056184, 0.9975282118680632]",True,3.8475889141409425e-11,1.4175327578413999e-11,False,False
prior17303:78,-112.98105704424198,-112.98105704441774,-112.98105704419002,-112.98105704424124,"[0.3075776094773758, 0.16049222950172193]","[0.3069622339510756, 0.5707303671981876]",True,1.7575985111761838e-10,7.389644451905042e-13,False,False
prior17303:79,-inf,-inf,-inf,-inf,"[0.25241320622430513, 0.996114430239151]","[0.2782473723029224, 0.9013799295320202]",True,0.0,0.0,True,True
prior17303:80,-72.11952598946847,-72.1195259894192,-72.1195259893824,-72.11952598941033,"[0.2879396747791959, 0.8055601951649014]","[0.2908534974945501, 0.577786714726262]",True,8.607514700997854e-11,5.81366066398914e-11,False,False
prior17303:81,-85.00274756755587,-85.00274756754678,-85.00274756755093,-85.00274756754432,"[0.25571817888151527, 0.518629364885055]","[0.25701128046023924, 0.9419458763537372]",True,9.094947017729282e-12,1.1553424883459229e-11,False,True
prior17303:82,-50.58787214988605,-50.58787214989661,-50.587872149809435,-50.587872150672496,"[0.25901333157046524, 0.9756387553911939]","[0.3047754684744134, 0.935558829452221]",True,7.66178231970116e-11,7.864429107939941e-10,False,True
prior17303:83,-191.71159973498098,-191.7115997348746,-191.71159973505587,-191.71159973493835,"[0.2943843429237957, 0.8532626591611029]","[0.3321506328195627, 0.8241371695588531]",True,1.063824583980022e-10,4.263256414560601e-11,False,False
prior17303:84,-36.51043671568584,-36.51043671568594,-36.51043671599943,-36.510436715686126,"[0.2754688226689583, 0.7812611030803319]","[0.24452727212400877, 0.8143281912818773]",True,3.135909310003626e-10,2.8421709430404007e-13,False,False
prior17303:85,-558.302396021418,-558.302396021822,-558.30239602159,-558.3023960216359,"[0.3039827513423199, 0.8670717782319609]","[0.20567601334098462, 0.626317730711362]",True,4.0404302126262337e-10,2.1793766791233793e-10,False,False
prior17303:86,-43.388746454885705,-43.38874645491311,-43.38874645529178,-43.388746457422975,"[0.257702941350069, 0.7053426348234788]","[0.23316192369684458, 0.8441609586139117]",True,4.0607517348689726e-10,2.537269949698384e-09,False,True
