run,T,growth_obs,growth_lo,growth_med,growth_hi,resp_obs,resp_lo,resp_med,resp_hi,growth_in,resp_in
1,15.0,0.0936701453894738,0.005966425966710546,0.05608225312158554,0.3096170135504608,2.068027832444964e-12,2.7180506140367197e-13,1.3160733216200632e-12,4.810060377605672e-12,True,True
1,20.0,0.2559843718759313,0.09985090722799453,0.249212144276243,0.6236718604178986,3.687783038619309e-12,1.5365307544674772e-12,4.0516167489048494e-12,1.0782747011939572e-11,True,True
1,25.0,0.5854109831137138,0.3953121817323502,0.6605596374469422,0.9659334386001659,6.290748964292866e-12,3.7951452672279965e-12,7.81617649073534e-12,1.792656222920501e-11,True,True
1,27.0,0.7256015042847492,0.5742963513284461,0.856910074463712,1.099100224537493,7.761786011690096e-12,4.593353275210677e-12,9.567569782773699e-12,2.1828140570474725e-11,True,True
1,30.0,1.0547952292033644,0.8546941268931502,1.1216974540966436,1.3401059641482538,1.1774686139255335e-11,5.4598037088358895e-12,1.189745136240416e-11,2.6521579591865205e-11,True,True
1,35.0,1.563216021759888,1.0518965664960596,1.391577417950323,1.5410444448040603,1.87365834111843e-11,5.997587029956946e-12,1.4446142587017254e-11,3.198367179850334e-11,False,True
1,37.0,1.8531738839033693,1.0973988579808813,1.4293345025326785,1.5874518387611447,2.083376177433536e-11,6.227473740971963e-12,1.5243227855780614e-11,3.425519613374526e-11,False,True
1,40.0,2.076066941043892,1.1217443941782368,1.4438159646146453,1.6218434181206078,1.6808627360992622e-11,6.369306180570643e-12,1.596114157246105e-11,3.620714560881077e-11,False,True
1,43.0,1.594020791720448,1.0361500796549348,1.3873222289443574,1.583660562788299,2.5140293981123656e-11,6.2227472337578724e-12,1.485402380214122e-11,3.3355030197274784e-11,False,True
1,45.0,0.9149168471635901,0.9114188519970428,1.240463003012095,1.4686399542387665,3.392723037900915e-11,6.04233710504585e-12,1.3660113562264879e-11,3.090128110313539e-11,True,False
1,47.0,0.45703721797751323,0.17621542460169531,0.8141359072687032,1.3074365065251194,1.7552999132147447e-11,4.807170977454999e-12,1.2329161670166303e-11,2.887825397887626e-11,True,True
1,50.0,0.09432067438045605,0.0006815267599470536,0.00853792682886445,0.6235633235450068,2.469563996837463e-12,8.603486747017526e-13,2.9138640595959855e-12,1.6959175460096666e-11,True,True
2,15.0,0.0936701453894738,0.005204507201363281,0.10096631005143852,0.49146444166089936,2.068027832444964e-12,2.8505818200718723e-13,1.97456445146122e-12,6.613087115588642e-12,True,True
2,20.0,0.2559843718759313,0.07595001737216683,0.34707956611612845,0.7761807884886192,3.687783038619309e-12,1.5073503820372686e-12,5.480684251727765e-12,1.221196154015199e-11,True,True
2,25.0,0.5854109831137138,0.3924207272922323,0.7732142727015165,1.148165105018121,6.290748964292866e-12,3.6049436751364806e-12,8.892267461398051e-12,1.7881954421567627e-11,True,True
2,27.0,0.7256015042847492,0.5838144808442058,0.9293207404984976,1.26318208393766,7.761786011690096e-12,4.3763064790524385e-12,1.0567950900392302e-11,2.0771898499578532e-11,True,True
2,30.0,1.0547952292033644,0.8551862571325851,1.1470290715960305,1.416553005218674,1.1774686139255335e-11,5.420390529619988e-12,1.2730996665456677e-11,2.583209509134337e-11,True,True
2,35.0,1.563216021759888,1.0021682675144499,1.3598967633546082,1.5505088303655021,1.87365834111843e-11,5.915020773513773e-12,1.4844896145268842e-11,2.938240777219644e-11,False,True
2,37.0,1.8531738839033693,1.0322890573105374,1.3874512217826478,1.592489665662837,2.083376177433536e-11,6.06036623423828e-12,1.5677658006522652e-11,3.087540679252481e-11,False,True
2,40.0,2.076066941043892,1.0474900086539642,1.3845961199974979,1.6130497666391976,1.6808627360992622e-11,6.14578508877507e-12,1.5817133362476237e-11,3.1439603240499674e-11,False,True
2,43.0,1.594020791720448,1.0054161937529467,1.3201225852788157,1.5794550333828115,2.5140293981123656e-11,5.88276419990901e-12,1.5129192406384548e-11,3.049091911866276e-11,False,True
2,45.0,0.9149168471635901,0.8808634404375313,1.1879106257821692,1.5118252940502999,3.392723037900915e-11,5.695017085837234e-12,1.4386328948243954e-11,2.7188478121018287e-11,True,False
2,47.0,0.45703721797751323,0.156492352575715,0.9235558091267086,1.3412124198963136,1.7552999132147447e-11,4.794649872042077e-12,1.3464924427972942e-11,2.8403141707715732e-11,True,True
2,50.0,0.09432067438045605,0.0007962554309500164,0.04893367429807231,0.805353374276849,2.469563996837463e-12,1.0042167451848103e-12,4.193327853782213e-12,1.591271935233762e-11,True,True
