label,ll_production,ll_validation_1,ll_validation_2,diag_1,diag_2,max_diff,inert
red2_6800:415,-18.1362809256241,-18.1362809256241,-18.136280925629986,"[0.32486196651097554, 0.9677485298938556]","[0.2137981703895452, 0.8453066495605218]",5.88684656577243e-12,False
red2_6800:742,-18.64168162472884,-18.641681624722512,-18.64168162470516,"[0.2144467036832926, 0.897323340076751]","[0.21929512986427319, 0.8358234939001156]",2.367883666920534e-11,False
P12:worst(b5),-27.942694372920684,-27.942694372913877,-27.94269437290589,"[0.3105650574796764, 0.6615718647989367]","[0.2946758923013968, 0.3127417203584657]",1.4793499758525286e-11,False
"P12:big(b6,n=2)",-25.761191934380605,-25.761191934383127,-25.761191934375507,"[0.28132994971765557, 0.6947231915339084]","[0.2705572653935763, 0.8999205250158123]",5.098144129078719e-12,False
P12:Bstar(b8),-61.6724331165385,-61.67243311851581,-61.672433118595634,"[0.2829614382154527, 0.9032696182666412]","[0.30358860625763084, 0.8197213782264129]",2.0571349068632117e-09,False
P12:P4(b13),-59.59959576647435,-59.59959576647083,-59.59959576647103,"[0.22400185839477776, 0.753595465755815]","[0.3216229196627262, 0.9921748817464209]",3.524291969370097e-12,False
P12:p81(b7),-61.2616775895757,-61.26167758961115,-61.26167758961634,"[0.26414465682742194, 0.6349453741576673]","[0.24158578447232054, 0.9288472480296206]",4.064304448547773e-11,False
P12:A(b20),-62.47114248144891,-62.47114248145114,-62.47114248144653,"[0.28369541635310586, 0.8170244820491078]","[0.29846643690398333, 0.7651829396418867]",2.3803181647963356e-12,False
"P12:big(b9,n=3)",-46.09361750656612,-46.093617509038154,-46.093617506575924,"[0.28681792184238075, 0.8352377013930576]","[0.2894294053660625, 0.33267652782783824]",2.4720350211282494e-09,False
P12:p50(b19),-75.32385449738089,-75.32385449736506,-75.32385449736785,"[0.24077135319366919, 0.8466330486758138]","[0.2851447839389311, 0.626890076639925]",1.5830892152735032e-11,False
P12:p38(b22),-60.30922856348124,-60.30922856346709,-60.309228563472786,"[0.3247174385055188, 0.649124908153892]","[0.23941750429292732, 0.4531790577462082]",1.4154011296341196e-11,False
"P12:big(b10,n=64)",-58.05124899653879,-58.051248994194665,-58.05124899486087,"[0.2976814425657956, 0.78142687413209]","[0.28502045832951683, 0.40718459638943205]",2.344123117836716e-09,False
P12:p83(b21),-88.57317741172128,-88.57317741186674,-88.57317741179986,"[0.3135851183220629, 0.8618392643277573]","[0.2795000326050392, 0.685609754547837]",1.454623088648077e-10,False
prior17303:0,-200.7085183279852,-200.70851820380494,-200.7085185900242,"[0.25911224507081654, 0.7916918541904793]","[0.30941921169656067, 0.7610206841638999]",2.6203900915788836e-07,False
prior17303:1,-37.16417080449169,-37.16417080448977,-37.16417080448629,"[0.29984515518975097, 0.9263821212532048]","[0.24040657248352398, 0.6111504474079017]",5.4001247917767614e-12,False
prior17303:2,-41.712300443653774,-41.71230043394029,-41.71230043378617,"[0.25745920241441184, 0.8349083719132022]","[0.2899547600461804, 0.37090508515901427]",9.86760539944953e-09,False
prior17303:3,-56.78178219305431,-56.78178219304604,-56.78178219305213,"[0.3116370079722522, 0.7412200817273571]","[0.2316494802274085, 0.7594310837282069]",8.270717444247566e-12,False
prior17303:4,-87.27160227020127,-87.27160227013795,-87.27160227007798,"[0.2585435876991935, 0.7740412956406449]","[0.2659016727611716, 0.7986209466525915]",1.2329337550909258e-10,False
prior17303:5,-81.86220726561316,-81.86220715373273,-81.86220715366541,"[0.3346635921518471, 0.8478631980335137]","[0.2897373780085171, 0.7761126213586929]",1.1194775595413375e-07,False
prior17303:6,-94.92586454350547,-94.9258645436046,-94.92586454345955,"[0.2625079468744373, 0.7924014019039403]","[0.28267242642220325, 0.9874322826580938]",9.913492249324918e-11,False
prior17303:7,-inf,-inf,-inf,"[0.2571941252149983, 0.9028701912709665]","[0.3582353646833377, 0.7222861291971814]",0.0,True
