rxn_id,mw_kDa,kcat_s,source,group
rxn02897_LSQBKT_c0_RSQBKT_,37.032,4.8748,fallback_mean,Coenzyme B12 Biosynthesis
rxn03409_LSQBKT_c0_RSQBKT_,49.421,4.8748,fallback_mean,Peptidoglycan Biosynthesis
rxn01301_LSQBKT_c0_RSQBKT_,36.294,3.4489,dltkcat,Methionine Biosynthesis
rxn07191_LSQBKT_c0_RSQBKT_,70.85,4.8748,fallback_mean,Glycolysis and Gluconeogenesis
rxn04046_LSQBKT_c0_RSQBKT_,25.434,4.8748,fallback_mean,Coenzyme B12 Biosynthesis
rxn03407_LSQBKT_c0_RSQBKT_,49.421,4.8748,fallback_mean,Peptidoglycan Biosynthesis
rxn01682_LSQBKT_c0_RSQBKT_,71.651,4.8748,fallback_mean,Tryptophan Synthesis
rxn02474_LSQBKT_c0_RSQBKT_,40.465,4.8748,fallback_mean,"Riboflavin, FMN, and FAD Metabolism"
rxn10311_LSQBKT_c0_RSQBKT_,33.369,4.8748,fallback_mean,Teichoic and Lipoteichoic Acids Biosynthesis
rxn01486_LSQBKT_c0_RSQBKT_,35.802,4.8748,fallback_mean,Archaeal Lipids
rxn00898_LSQBKT_c0_RSQBKT_,58.718,4.8748,fallback_mean,Branched Chain Amino Acid Biosynthesis
rxn01069_LSQBKT_c0_RSQBKT_,43.782,48.0055,dltkcat,Threonine and Homoserine Biosynthesis
rxn02113_LSQBKT_c0_RSQBKT_,30.096,4.8748,fallback_mean,"Acetoin, Butanediol Metabolism"
rxn00117_LSQBKT_c0_RSQBKT_,15.292,4.8748,fallback_mean,Purine Conversions; Pyrimidine Conversions
rxn00555_LSQBKT_c0_RSQBKT_,67.138,21.7952,dltkcat,Formaldehyde Assimilation: Ribulose Monophosphate Pathway
rxn00260_LSQBKT_c0_RSQBKT_,41.781,1.2231,dltkcat,Amino Acid Biosynthesis
rxn02484_LSQBKT_c0_RSQBKT_,45.193,0.0739,dltkcat,Thiamin Biosynthesis
rxn00527_LSQBKT_c0_RSQBKT_,83.716,66.3441,dltkcat,Amino Acid Biosynthesis
rxn05171_LSQBKT_c0_RSQBKT_,27.295,9.6283,dltkcat,Transport
rxn04052_LSQBKT_c0_RSQBKT_,22.537,4.8748,fallback_mean,Coenzyme B12 Biosynthesis
rxn04045_LSQBKT_c0_RSQBKT_,16.107,0.0049,dltkcat,Coenzyme B12 Biosynthesis
rxn01974_LSQBKT_c0_RSQBKT_,30.835,4.8748,fallback_mean,Lysine Biosynthesis DAP Pathway
rxn12645_LSQBKT_c0_RSQBKT_,32.597,4.8748,fallback_mean,Protein Degradation
rxn00299_LSQBKT_c0_RSQBKT_,35.607,0.0293,dltkcat,Folate Biosynthesis
rxn00839_LSQBKT_c0_RSQBKT_,15.292,38.8809,dltkcat,Purine Conversions; Pyrimidine Conversions
rxn03020_LSQBKT_c0_RSQBKT_,186.578,62.19,measured_core,Methanogenesis
rxn00283_LSQBKT_c0_RSQBKT_,41.536,54.8764,dltkcat,Alanine Biosynthesis
rxn01022_LSQBKT_c0_RSQBKT_,28.61,0.7872,dltkcat,Methionine Salvage
rxn10221_LSQBKT_c0_RSQBKT_,19.831,4.8748,fallback_mean,Glycerolipid and Glycerophospholipid Metabolism (Bacteria)
rxn09177_LSQBKT_c0_RSQBKT_,19.308,5.7722,dltkcat,Coenzyme A Biosynthesis
rxn03437_LSQBKT_c0_RSQBKT_,58.718,4.8748,fallback_mean,Branched Chain Amino Acid Biosynthesis
rxn02320_LSQBKT_c0_RSQBKT_,89.01,6.8544,dltkcat,Histidine Biosynthesis
rxn07587_LSQBKT_c0_RSQBKT_,40.103,4.8748,fallback_mean,Coenzyme B12 Biosynthesis
rxn02507_LSQBKT_c0_RSQBKT_,25.414,4.8748,fallback_mean,Tryptophan Synthesis
rxn00669_LSQBKT_c0_RSQBKT_,71.808,14.8014,dltkcat,Protein Acetylation and Deacetylation in Bacteria
rxn01333_LSQBKT_c0_RSQBKT_,23.442,4.8748,fallback_mean,Folate Biosynthesis; Pentose Phosphate Pathway
rxn00714_LSQBKT_c0_RSQBKT_,15.24,0.1244,dltkcat,Pyrimidine Conversions
rxn01434_LSQBKT_c0_RSQBKT_,44.58,1.5245,dltkcat,Arginine Biosynthesis
rxn01116_LSQBKT_c0_RSQBKT_,24.023,4.8748,fallback_mean,Pentose Phosphate Pathway
