rxn_id,enz,sub,bigg,mnx,Temp_C,Temp_K
rxn02483_LSQBKT_c0_RSQBKT_,Q6LZY7,4-Carboxymuconolactone,cpd00938,,37.0,310.15
rxn00802_LSQBKT_c0_RSQBKT_,O74026,L-Argininosuccinate,cpd02152,,37.0,310.15
rxn03638_LSQBKT_c0_RSQBKT_,Q6LYB5,Acetyl-CoA,cpd00022,,37.0,310.15
rxn06078_LSQBKT_c0_RSQBKT_,Q6M1A4,O-Acetyl-L-homoserine,cpd00790,,37.0,310.15
rxn12636_LSQBKT_c0_RSQBKT_,Q6LXA8,met-L-ala-L,cpd11590,,37.0,310.15
rxn12644_LSQBKT_c0_RSQBKT_,Q6LXA8,ala-L-Thr-L,cpd11582,,37.0,310.15
rxn03492_LSQBKT_c0_RSQBKT_,Q6LZM5,Precorrin_6B,cpd03760,,37.0,310.15
rxn02212_LSQBKT_c0_RSQBKT_,Q6M1B0,DAHP,cpd02857,,37.0,310.15
rxn03419_LSQBKT_c0_RSQBKT_,Q6M183,Formamidopyrimidine_nucleoside_triphosphate,cpd03518,,37.0,310.15
rxn03052_LSQBKT_c0_RSQBKT_,Q6M070,5-Methyltetrahydropteroyltri-L-glutamate,cpd02738,,37.0,310.15
rxn00248_LSQBKT_c0_RSQBKT_,Q6LZI3,L-Malate,cpd00130,,37.0,310.15
rxn01302_LSQBKT_c0_RSQBKT_,Q6LWK7,L-Homoserine,cpd00227,,37.0,310.15
rxn00048_LSQBKT_c0_RSQBKT_,Q6M0T8,6-7-Dimethyl-8-1-D-ribityllumazine,cpd02656,,37.0,310.15
rxn05229_LSQBKT_c0_RSQBKT_,Q6M0I8,AIR,cpd02140,,37.0,310.15
rxn12637_LSQBKT_c0_RSQBKT_,Q6LXA8,gly-asp-L,cpd11589,,37.0,310.15
rxn00321_LSQBKT_c0_RSQBKT_,Q6LYX4,L-Lysine,cpd00039,,37.0,310.15
rxn07586_LSQBKT_c0_RSQBKT_,Q6LWW3,Cobalt-precorrin_5,cpd08371,,37.0,310.15
rxn00902_LSQBKT_c0_RSQBKT_,Q6LYC8,Acetyl-CoA,cpd00022,,37.0,310.15
rxn00952_LSQBKT_c0_RSQBKT_,Q6M1A4,O-Acetyl-L-homoserine,cpd00790,,37.0,310.15
rxn10230_LSQBKT_c0_RSQBKT_,Q6LY22,CDP-1_2-dianteisopentadecanoylglycerol,cpd15687,,37.0,310.15
rxn02056_LSQBKT_c0_RSQBKT_,Q6M129,Siroheme,cpd00557,,37.0,310.15
rxn00459_LSQBKT_c0_RSQBKT_,Q6M075,2-Phospho-D-glycerate,cpd00482,,37.0,310.15
rxn10225_LSQBKT_c0_RSQBKT_,Q6LWL1,1_2-diisohexadecanoyl-sn-glycerol_3-phosphate,cpd15682,,37.0,310.15
rxn08311_LSQBKT_c0_RSQBKT_,Q6LWL1,1_2-dioctadecanoyl-sn-glycerol_3-phosphate,cpd15526,,37.0,310.15
rxn01101_LSQBKT_c0_RSQBKT_,Q6LYW5,3-Phosphoglycerate,cpd00169,,37.0,310.15
rxn00302_LSQBKT_c0_RSQBKT_,Q6M183,GTP,cpd00038,,37.0,310.15
rxn02988_LSQBKT_c0_RSQBKT_,Q6LXV4,Iminoaspartate,cpd03470,,37.0,310.15
rxn07307_LSQBKT_c0_RSQBKT_,Q6M0J7,Phosphoenolpyruvate,cpd00061,,37.0,310.15
rxn02937_LSQBKT_c0_RSQBKT_,Q6LYV5,5'-Phosphoribosylformylglycinamidine,cpd02826,,37.0,310.15
rxn00558_LSQBKT_c0_RSQBKT_,Q6LXQ4,D-glucose-6-phosphate,cpd00079,,37.0,310.15
rxn01406_LSQBKT_c0_RSQBKT_,Q6LWX0,S-Adenosylmethioninamine,cpd00837,,37.0,310.15
rxn00187_LSQBKT_c0_RSQBKT_,O59648,L-Glutamate,cpd00023,,37.0,310.15
rxn01200_LSQBKT_c0_RSQBKT_,Q6LY76,Sedoheptulose7-phosphate,cpd00238,,37.0,310.15
rxn05232_LSQBKT_c0_RSQBKT_,Q6M0P2,trdrd,cpd11421,,37.0,310.15
rxn00835_LSQBKT_c0_RSQBKT_,Q6M053,Inosine,cpd00246,,37.0,310.15
rxn12844_LSQBKT_c0_RSQBKT_,Q6LXA8,Gly-Cys,cpd15603,,37.0,310.15
rxn01678_LSQBKT_c0_RSQBKT_,Q6M0I7,dUDP,cpd00978,,37.0,310.15
rxn09208_LSQBKT_c0_RSQBKT_,Q6LY22,CDP-1_2-dihexadecanoylglycerol,cpd15419,,37.0,310.15
rxn10060_LSQBKT_c0_RSQBKT_,Q6LX63,TTP,cpd00357,,37.0,310.15
rxn00100_LSQBKT_c0_RSQBKT_,Q6LYC0,Dephospho-CoA,cpd00655,,37.0,310.15
rxn01018_LSQBKT_c0_RSQBKT_,Q6LY87,L-Aspartate,cpd00041,,37.0,310.15
rxn00806_LSQBKT_c0_RSQBKT_,Q6M0Y6,L-Leucine,cpd00107,,37.0,310.15
rxn02834_LSQBKT_c0_RSQBKT_,P62391,Phosphoribosyl-ATP,cpd01775,,37.0,310.15
rxn02341_LSQBKT_c0_RSQBKT_,Q6M0R5,R-4'-Phosphopantothenoyl-L-cysteine,cpd02666,,37.0,310.15
rxn03175_LSQBKT_c0_RSQBKT_,P62357,phosphoribosylformiminoaicar-phosphate,cpd02979,,37.0,310.15
rxn00786_LSQBKT_c0_RSQBKT_,Q6M0H7,D-fructose-1_6-bisphosphate,cpd00290,,37.0,310.15
rxn01637_LSQBKT_c0_RSQBKT_,Q6LY90,N-Acetylornithine,cpd00342,,37.0,310.15
rxn12640_LSQBKT_c0_RSQBKT_,Q6LXA8,ala-L-glu-L,cpd11586,,37.0,310.15
rxn02569_LSQBKT_c0_RSQBKT_,P60820,Selenide,cpd01078,,37.0,310.15
rxn00710_LSQBKT_c0_RSQBKT_,Q6LZM2,Orotidylic_acid,cpd00810,,37.0,310.15
rxn02775_LSQBKT_c0_RSQBKT_,Q6M0F2,Precorrin_2,cpd01620,,37.0,310.15
rxn07589_LSQBKT_c0_RSQBKT_,P61820,Cobalt-precorrin_7,cpd14961,,37.0,310.15
rxn00717_LSQBKT_c0_RSQBKT_,Q6LYW6,Cytosine,cpd00307,,37.0,310.15
rxn10308_LSQBKT_c0_RSQBKT_,Q6LXC9,Myristoyllipoteichoic_acid_n=24__linked__unsubstituted,cpd15747,,37.0,310.15
rxn05249_LSQBKT_c0_RSQBKT_,Q6LZQ8,fa3,cpd11436,,37.0,310.15
rxn02897_LSQBKT_c0_RSQBKT_,Q6M0D3,Nicotinate_ribonucleotide,cpd00873,,37.0,310.15
rxn03409_LSQBKT_c0_RSQBKT_,O59648,Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala,cpd03495,,37.0,310.15
rxn01301_LSQBKT_c0_RSQBKT_,Q6LWK7,L-Homoserine,cpd00227,,37.0,310.15
rxn07191_LSQBKT_c0_RSQBKT_,Q6LYP3,Glyceraldehyde3-phosphate,cpd00102,,37.0,310.15
rxn04046_LSQBKT_c0_RSQBKT_,Q6M0F2,Cobalt-precorrin_2,cpd08368,,37.0,310.15
rxn03407_LSQBKT_c0_RSQBKT_,O59648,Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,cpd03491,,37.0,310.15
rxn01682_LSQBKT_c0_RSQBKT_,Q6LYI8,Indoleglycerol_phosphate,cpd02210,,37.0,310.15
rxn02474_LSQBKT_c0_RSQBKT_,Q6LXK2,5-Amino-6-5-phosphoribitylaminouracil,cpd02720,,37.0,310.15
rxn10311_LSQBKT_c0_RSQBKT_,Q6LXC9,Anteisoheptadecanoyllipoteichoic_acid_n=24__linked__unsubstituted,cpd15750,,37.0,310.15
rxn01486_LSQBKT_c0_RSQBKT_,Q6M172,Farnesyldiphosphate,cpd00350,,37.0,310.15
rxn00898_LSQBKT_c0_RSQBKT_,Q6M0F3,2_3-Dihydroxy-isovalerate,cpd02498,,37.0,310.15
rxn01069_LSQBKT_c0_RSQBKT_,Q6M0Y3,O-Phospho-L-homoserine,cpd00809,,37.0,310.15
rxn02113_LSQBKT_c0_RSQBKT_,Q6LZL2,ALCTT,cpd00668,,37.0,310.15
