strain,organism,group,config,predicted_Topt_C,predicted_CTmax_C,observed_limit_C,gap_C,censored,median_enzyme_Tm_C,Tm_kind,source,observed_source
eciML1515,Escherichia coli K-12 MG1655,existing,emergent,39.871,51.82,45.945,5.875,False,55.56732500000004,MEASURED meltome (Leuenberger 2017 / Li-Engqvist),outputs/calibration_vanderlinden/ descriptors.emergent_prior,"Van Derlinden 2012, MG1655 in BHI, assayed 7-46 C (descriptors.observed in the same file)"
eciML1515,Escherichia coli K-12 MG1655,existing,tuned,38.355,45.933,45.945,-0.012000000000000455,False,55.56732500000004,"MEASURED meltome, corrected by the posterior",outputs/calibration_vanderlinden/ descriptors.posterior_median (Bayesian tuning; the posterior pulls Tm down by 5.6 K),as above
eciML1515,Escherichia coli K-12 MG1655,existing,nominal,37.0,46.85563264273169,46.0,0.8556326427316918,False,55.56732500000004,MEASURED meltome (Leuenberger 2017 / Li-Engqvist),"outputs/tpc/ (nominal glucose-minimal, strain defaults)","Van Derlinden 2012 (rich BHI; the nominal run is glucose-minimal, so this row is not like-for-like)"
mmaripaludis,Methanococcus maripaludis S2,existing,emergent,42.0,46.84,47.0,-0.1599999999999966,False,55.914000000000044,PREDICTED (mesophile Topt prior + Tm),"outputs/M3_thermal/ (M3 emergent thermal layer, shape)","Jones, Paynter & Gupta 1983, growth range 18-47 C"
syn6803,Synechocystis sp. PCC 6803,existing,emergent,36.0,45.69884051327479,44.0,1.6988405132747886,False,56.863000000000056,PREDICTED (mesophile Topt + Tm prior),outputs/P2_thermal/ (P2 emergent thermal layer),Zavrel 2015 (recorded in the same file: zavrel2015.CTmax_C)
cauris_iRV973,Candidozyma auris,Candida (K2 rung B4),emergent,30.5,53.601318359375,44.0,9.601318359375,True,53.68015200000002,PREDICTED (Seq2Tm from sequence),outputs/transfer_candida_B4_sectors/summary.csv,"thermal/measured_tpc.csv, highest assayed T with mu >= 0.05 /h"
chaemulonii_draft,C. haemulonii (DRAFT),Candida (K2 rung B4),emergent,30.5,53.21044921875,38.0,15.21044921875,False,53.53632600000003,PREDICTED (Seq2Tm from sequence),outputs/transfer_candida_B4_sectors/summary.csv,"thermal/measured_tpc.csv, highest assayed T with mu >= 0.05 /h"
cduobushaemulonii_draft,C. duobushaemulonii (DRAFT),Candida (K2 rung B4),emergent,30.0,53.82568359375,38.0,15.82568359375,False,53.52176400000002,PREDICTED (Seq2Tm from sequence),outputs/transfer_candida_B4_sectors/summary.csv,"thermal/measured_tpc.csv, highest assayed T with mu >= 0.05 /h"
cparapsilosis_iDC1003,Candida parapsilosis,Candida (K2 rung B4),emergent,30.5,53.22509765625,38.0,15.22509765625,False,54.206860000000006,PREDICTED (Seq2Tm from sequence),outputs/transfer_candida_B4_sectors/summary.csv,"thermal/measured_tpc.csv, highest assayed T with mu >= 0.05 /h"
