rung,species,temp_C,gurobi,glpk,diff,rel,quantity
B0,haemulonii,22.0,0.1062067356810228,0.1066949970246142,-0.00048826134359139517,0.004576234661487969,growth
B0,duobushaemulonii,22.0,0.1024149654453144,0.1027925139045331,-0.00037754845921871005,0.0036729178505095434,growth
B1,haemulonii,22.0,0.0280724373999252,0.0280806235665642,-8.186166639001513e-06,0.0002915236771575415,growth
B1,haemulonii,24.0,0.050167856476877,0.0501843048913701,-1.6448414493101804e-05,0.00032776013394439466,growth
B2,haemulonii,22.0,0.0069617263226055,0.0069648614949284,-3.1351723228994696e-06,0.00045014137397885183,growth
B2,haemulonii,24.0,0.0125062042228136,0.0125109720274169,-4.767804603299924e-06,0.0003810898619908686,growth
B2,haemulonii,26.0,0.0210264331298511,0.0210339406490555,-7.507519204402041e-06,0.00035692404621951595,growth
B2,haemulonii,28.0,0.0327637956419747,0.0327760168518394,-1.2221209864701765e-05,0.00037287050223175323,growth
B2,haemulonii,30.0,0.0469397367835368,0.0469571547395479,-1.7417956011102353e-05,0.0003709329517027303,growth
B2,duobushaemulonii,22.0,0.0178545404436156,0.0179436858683964,-8.914542478079962e-05,0.004968066507328263,growth
B2,duobushaemulonii,24.0,0.0288235960853401,0.028936870411016,-0.00011327432567589946,0.003914532707475407,growth
B2,duobushaemulonii,26.0,0.0413161003368531,0.0414340930900033,-0.00011799275315019925,0.0028477213895787444,growth
B2,parapsilosis,22.0,0.0169486985657867,0.0169578034095588,-9.104843772100163e-06,0.0005369117421757544,growth
B2,parapsilosis,24.0,0.0279758719173344,0.0279960638100055,-2.01918926710995e-05,0.0007212404146572608,growth
B3,haemulonii,22.0,0.0070869705269949,0.0070892991927992,-2.3286658042999397e-06,0.00032847616400013575,growth
B3,haemulonii,24.0,0.0127028985171086,0.0127070633859059,-4.164868797300672e-06,0.0003277601339362292,growth
B3,haemulonii,26.0,0.0212549112805272,0.0212625003781949,-7.589097667699135e-06,0.00035692404621809673,growth
B3,haemulonii,28.0,0.0329157659943996,0.0329280438906625,-1.227789626290221e-05,0.00037287050222815964,growth
B3,haemulonii,30.0,0.0469397369268644,0.0469571548829287,-1.7417956064302853e-05,0.0003709329517030675,growth
B3,duobushaemulonii,22.0,0.0181860104067735,0.0182768108184617,-9.080041168819941e-05,0.004968066507340573,growth
B3,duobushaemulonii,24.0,0.0292917660581799,0.0294068802527536,-0.0001151141945737004,0.003914532707457852,growth
B3,duobushaemulonii,26.0,0.0417801224505232,0.041899440383113,-0.00011931793258980472,0.0028477213895652456,growth
B3,parapsilosis,22.0,0.0195580963189917,0.0195686029316893,-1.0506612697597922e-05,0.0005369117424618784,growth
B4,auris,,53.601318359375,53.595703125,0.005615234375,0.00010477023432090667,thermal_limit_C
B4,auris,,30.5,39.0,-8.5,0.21794871794871795,descr_Topt_C
B4,haemulonii,22.0,0.0070869705269949,0.0070890371491721,-2.0666221772006055e-06,0.0002915236771529626,growth
B4,haemulonii,24.0,0.0127028985171086,0.0127070633859059,-4.164868797300672e-06,0.0003277601339362292,growth
B4,haemulonii,26.0,0.0212549112805272,0.0212625003781949,-7.589097667699135e-06,0.00035692404621809673,growth
B4,haemulonii,28.0,0.0329157659943996,0.0329280438906626,-1.2277896263006294e-05,0.00037287050223131944,growth
B4,haemulonii,30.0,0.0469397369268645,0.0469571548829287,-1.741795606420571e-05,0.0003709329517009987,growth
B4,haemulonii,32.0,0.0469397369268645,0.0469571548829287,-1.741795606420571e-05,0.0003709329517009987,growth
B4,haemulonii,34.0,0.0469397369268645,0.0469571548829287,-1.741795606420571e-05,0.0003709329517009987,growth
B4,haemulonii,36.0,0.0469397369268645,0.0469571548829287,-1.741795606420571e-05,0.0003709329517009987,growth
B4,haemulonii,38.0,0.0469397369268645,0.0469571548829287,-1.741795606420571e-05,0.0003709329517009987,growth
B4,haemulonii,40.0,0.0469397369268645,0.0469571548829287,-1.741795606420571e-05,0.0003709329517009987,growth
B4,haemulonii,42.0,0.0469397369268645,0.0469571548829287,-1.741795606420571e-05,0.0003709329517009987,growth
B4,haemulonii,44.0,0.0469397369268645,0.0469571548829287,-1.741795606420571e-05,0.0003709329517009987,growth
B4,haemulonii,,53.21044921875,53.21533203125,-0.0048828125,9.1755746203606e-05,thermal_limit_C
B4,haemulonii,,53.440755370563146,53.44069190352158,6.346704156356964e-05,1.1876163893639136e-06,descr_CTmax_C
B4,haemulonii,,30.5,31.0,-0.5,0.016129032258064516,descr_Topt_C
B4,haemulonii,,0.0469397369268645,0.0469571548829287,-1.741795606420571e-05,0.0003709329517009987,peak_mu_model
B4,duobushaemulonii,,30.0,36.5,-6.5,0.1780821917808219,descr_Topt_C
B4,parapsilosis,,30.5,30.0,0.5,0.016666666666666666,descr_Topt_C
