rxn_id,enzyme_id,group,FCC_sub_30.25C,FCC_opt_40.25C,FCC_supra_44.58C
GAPDNo1,P0A9B2,default,0.13515344991282263,0.10692722451807746,0.08435065442139733
ARGSSNo1,P0A6E4,default,0.04431184203311511,0.036655539105856505,0.12278499778883567
3OAS140No1,P0A953,default,0.07705766984101581,0.07101196454286363,0.07276786734702612
GLNSNo1,P0A9C5,default,0.05847113464086118,0.046847001496769236,0.04133420257194098
THRSNo1,P00934,default,0.04473663441900977,0.044824594243467186,0.04443751850480293
HEX1No1,P0A6V8,default,0.017714742410560036,0.017573020929986805,0.047862656798031145
ACONTbNo1,P36683,default,0.032809943550185516,0.03361769578557605,
ACONTaNo1,P36683,default,0.03219083786781263,0.03298334845119877,
ACGSNo1,P0A6C5,default,0.03628831131227417,0.03182070602027187,0.029797520807536837
ACONTbNo2,P25516,default,,,0.03285913859699119
ACONTaNo2,P25516,default,,,0.03223910464195123
ENONo1,P0A6P9,default,0.030575087509912557,0.023888045286207804,0.021050596714958236
EDANo1,P0A955,default,0.028158764539179537,0.017912915347054192,0.01337223929988307
PAPSRNo1,P0AGG4,default,0.025437380305265433,0.010358040931648937,
PRFGSNo1,P15254,default,0.021138758353156373,0.022035288635513517,0.023778414208602827
ACACT4rNo2,P21151,default,0.017738135739703287,0.017746428325771113,0.016392126064404544
ACACT3rNo2,P21151,default,0.017738135739728267,0.017746428325002284,0.016392126063952128
ACACT2rNo2,P21151,default,0.01773813573966998,0.017746428324677543,0.016392126064054824
ACACT5rNo1,P21151,default,0.017738135739908678,0.01774642832551021,0.01639212606437679
HSDy_REVNo2,P00561,default,,0.015070831399227602,0.01869284066956245
PAPSR2No1,P17854,default,,0.009473626973807714,
PFLNo2,P0A9N4,default,0.012347660419223527,0.007179711696761459,0.0154382563328892
PAPSRNo2,P0AA25,default,,,0.017457279515403767
GHMT2r_REVNo1,P0A825,default,0.01606075092837611,0.01002356829635509,0.008280322273870877
ACACT6rNo2,P21151,default,0.013859173438796057,0.01386565261748407,0.012807506677989244
ACACT7rNo2,P21151,default,0.013859173438801609,0.01386565261710937,0.012807506678233493
AGPR_REVNo1,P11446,default,0.015545734616415063,0.012388996760495652,0.011059510162966801
HSDy_REVNo1,P00562,default,0.01155470953674853,,
GMPSNo1,P04079,default,0.013736552629220466,0.010266338563419408,0.009241913311139327
R15BPKNo1,P16690,default,0.01350919444493559,0.010167860438670129,0.009533635162917165
TRDRNo2,P0AGG4,default,0.013110044003905585,0.005337029509283608,
METSNo1,P13009,default,0.004487680886980372,0.004335747206590801,0.010931323379620439
IMPDNo1,P0ADG7,default,0.011037130042598764,0.0072143209736141856,0.006199417840813126
ATPS4rppNo2,P0A6E6,default,,,0.010331905145175013
IG3PSNo1,P60595,default,2.84212196943745e-05,2.550568268533393e-05,0.00983783876248312
DHORTS_REVNo1,P05020,default,0.009369632364403246,0.008866525415568427,0.009172570346971387
PRAISNo1,P08178,default,0.010079985322292151,0.007153587975541886,0.006314394538559087
ADSSNo1,P0A7D4,default,0.009852511960356525,0.00822195907767831,0.007867904062111575
HBZOPTNo1,P0AGK1,default,0.009723560018970456,0.006514067311166882,0.00549667526143216
TRDRNo1,P0AA25,default,,,0.008997206218899767
GTPCINo1,P0A6T5,default,0.008959966251340101,0.008100712126676846,0.007552279982522836
EDDNo1,P0ADF6,default,0.006788156469070272,0.0069724727197961744,0.006775274338874371
HSKNo1,P00547,default,0.007609309838299549,0.006923094174851596,0.006517329568464514
HISTDNo1,P06988,default,0.007304231584093213,0.005274109508052183,0.004579037896146332
IMPC_REVNo1,P15639,default,0.006424379947458925,0.00617733938862719,0.005762487404428751
AICARTNo1,P15639,default,0.00642437994728684,0.006177339387944403,0.00576248740489782
3OAR140No1,P0AEK2,default,0.0067199088341074464,0.005762093920691491,0.005422079017408654
PDHNo1,P0A9P0,default,,,0.006179857445673398
AIRC2No1,P09029,default,0.005074437842461643,0.005112025333781078,0.004691581708093917
ASNS2No1,P00963,default,0.005114355983967811,0.005077198811537231,0.005481175867314003
ORPT_REVNo1,P0A7E3,default,0.005124735315562012,0.004207926415539243,0.003715763923972659
MDH_REVNo1,P61889,default,,0.004263082156855114,
ASPKNo3,P08660,default,0.004793378107489921,0.00399749661272597,0.0038827519195566707
IPPSNo1,P09151,default,0.003387995815828937,0.0033986278805575587,0.0032110606614677017
G6PDH2rNo1,P0AC53,default,0.0032093826611956366,0.0032171487821280875,0.0026925439179176225
PGK_REVNo1,P0A799,default,0.0036681832773027834,0.0031483415054156527,0.0028484010582946473
KARA1_REVNo1,P05793,default,0.003298853341146546,0.0031056385904643102,0.0029118762281704624
AACPS4No1,P0A6A8,default,0.0034773533797965994,0.0016846770696660185,0.002060704953116277
PYKNo2,P0AD61,default,,0.0020617195158001422,0.002436143420447845
