temp_C,growth,mu_pred,mu_measured
22.0,0.012833520255356166,0.1156258754506821,0.2607
24.0,0.022643610670737415,0.20401162386257196,0.3367
26.0,0.03635519670649149,0.3275485885967592,0.434
28.0,0.05287406648115912,0.476378273760859,0.5233
30.0,0.069966290021889,0.6303736913058483,0.6482
32.0,0.0806114896349068,0.7262835040549057,0.7478
34.0,0.08651790033258,0.7794983581324305,0.7761
36.0,0.08866022367416579,0.7988000000000159,0.7988
38.0,0.08782091587669942,0.7912381076334901,0.7486
40.0,0.08457795448327872,0.7620200721524976,0.6639
42.0,0.07958427215601518,0.717028606107048,0.6082
44.0,0.07356944450319856,0.6628369502555187,0.2721
