rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,gene,enzyme_name,cog,cog_category
ARGSSNo1,P0A6E4,0.2090051319006698,0.1000663688783959,1.4475153298389456,1.4479721979057678,-0.0004568680668222,0.14489332008130024,argG,Argininosuccinate synthase,E,amino-acid metab
ATPS4rppNo2,P0A6E6,45.49384228637426,0.0651851517796023,1.0254914396337582,1.0254914415991023,-1.9653443633116736e-09,0.06684681526932065,atpA;atpC;atpD;atpF;atpG;atpH,ATP synthase (four protons for one ATP) (periplasm),C,energy (ETC/TCA)
GAPDNo1,P0A9B2,34.890969184153306,0.0636185765322136,1.0094937945771818,1.009495049791414,-1.2552142324609166e-06,0.06422263808404585,gapA,Glyceraldehyde-3-phosphate dehydrogenase,G,carbohydrate/glycolysis
3OAS140No1,P0A953,0.054994135257253,0.0657591553354,0.7500818763572245,0.7517678983223977,-0.0016860219651732,0.04943562200194974,fabB,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),I,lipid metab
GLNSNo1,P0A9C5,1.1065950791093693,0.0528077356465275,0.8744123827724763,0.8744123827724763,-0.0,0.046175737955499147,glnA,Glutamine synthetase,E,amino-acid metab
THRSNo1,P00934,1.5594614376333866,0.0361913120435875,0.656303999619199,0.657000188696062,-0.0006961890768631,0.023777698841795047,thrC,Threonine synthase,E,amino-acid metab
R15BPKNo1,P16690,1.8541437633510436,0.0283167698855252,0.7906545469018713,0.7914803984719294,-0.0008258515700579,0.022412168312433416,,"Ribose-1,5-bisphosphokinase",S,unknown/other
ACGSNo1,P0A6C5,0.2090051319006698,0.0292866418092493,0.7431395212193712,0.7431414114020256,-1.8901826542403872e-06,0.0217641163293511,argA,N-acetylglutamate synthase,E,amino-acid metab
PAPSRNo1,P0AGG4,0.1747135778679519,0.0220909050210771,0.8658414549858082,0.8671097005789236,-0.0012682455931151,0.019155238038343604,cysH;trxC,Phosphoadenylyl-sulfate reductase (thioredoxin),O,chaperone/PTM (stress)
AACPS4No1,P0A6A8,0.1062995705499339,0.0092098211754335,1.9082031310544656,2.0707782317497636,-0.1625751006952984,0.01907149720839571,aas;acpP,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),I,lipid metab
