temp_C,growth,mu_pred,mu_measured
22.0,0.07209161124873563,0.1382484707492551,0.3161
24.0,0.11576151393314171,0.2219932665627044,0.4344
26.0,0.16529554194322468,0.31698356437720693,0.4929
28.0,0.21218220110492858,0.4068970621527307,0.622
30.0,0.2499355245688963,0.47929576630413845,0.6739
32.0,0.27604420467022245,0.5293637982813423,0.7124
34.0,0.2905424885576073,0.5571668330755559,0.6502
36.0,0.29570490612910044,0.5670666858082902,0.561
38.0,0.2928991441860725,0.5616861388737552,0.1953
40.0,0.2821674399412774,0.5411061896303232,0.0
42.0,0.26522279768793877,0.5086118281041981,0.0
44.0,0.24375061729826422,0.46743510794070325,0.0
