species,strain,config,Topt_cut_C,model_E_growth,model_E_resp,model_diff,measured_E_growth_bayes,measured_E_growth_riseOLS,measured_E_resp_bayes,measured_E_resp_OLS,growth_steepness_vs_bayes,growth_steepness_vs_riseOLS,resp_ratio_vs_bayes,growth_excess_eV,resp_deficit_eV
C. auris (clade I),cauris_iRV973,B3 (before the repair),35.49579831932773,1.3059423076597831,0.6653956037122271,-0.6405467039475561,0.9010557487773184,0.7299733022386915,0.5184327086421238,0.5298571275370837,1.4493468461101022,1.7890274940942394,1.283475352963411,0.4048865588824647,0.1469628950701033
C. auris (clade I),cauris_iRV973,B5 (repaired),35.49579831932773,1.2001399145649811,0.2312589497632771,-0.968880964801704,0.9010557487773184,0.7299733022386915,0.5184327086421238,0.5298571275370837,1.3319263721401289,1.6440874082440777,0.4460732239850169,0.2990841657876627,-0.28717375887884666
C. auris (clade I),cauris_iRV973,"B5, NGAM(T) off",35.49579831932773,1.2183358053115425,0.47411654638093526,-0.7442192589306073,0.9010557487773184,0.7299733022386915,0.5184327086421238,0.5298571275370837,1.3521203399065542,1.6690141976085078,0.9145189693426922,0.3172800565342241,-0.04431616226118851
C. haemulonii,chaemulonii_draft,B3 (before the repair),31.983193277310924,1.8260925062338198,0.8684696951070418,-0.957622811126778,0.7968397242072742,0.6227680741052589,0.4331457299378385,0.3283257326500121,2.2916685134522936,2.9322192035251593,2.0050288738427073,1.0292527820265456,0.43532396516920324
C. haemulonii,chaemulonii_draft,B5 (repaired),31.983193277310924,1.7590054163450848,0.3709333129185442,-1.3880721034265406,0.7968397242072742,0.6227680741052589,0.4331457299378385,0.3283257326500121,2.207477065849106,2.824495168401618,0.8563707022386611,0.9621656921378106,-0.06221241701929431
C. haemulonii,chaemulonii_draft,"B5, NGAM(T) off",31.983193277310924,1.7635812657355234,0.8095404340556204,-0.9540408316799031,0.7968397242072742,0.6227680741052589,0.4331457299378385,0.3283257326500121,2.213219562428316,2.83184276629673,1.8689793713810798,0.9667415415282492,0.37639470411778186
C. duobushaemulonii,cduobushaemulonii_draft,B3 (before the repair),33.46218487394958,1.0256215785294711,0.3716406851250874,-0.6539808934043837,0.6221481875736383,0.6357743513324059,0.4746319505844048,0.47921838753515006,1.648516541580501,1.6131848923758154,0.7830081490879274,0.4034733909558328,-0.10299126545931742
C. duobushaemulonii,cduobushaemulonii_draft,B5 (repaired),33.46218487394958,0.9342087291928274,0.1770465801384854,-0.757162149054342,0.6221481875736383,0.6357743513324059,0.4746319505844048,0.47921838753515006,1.5015855512433733,1.4694029843056522,0.373018672511388,0.31206054161918906,-0.29758537044591943
C. duobushaemulonii,cduobushaemulonii_draft,"B5, NGAM(T) off",33.46218487394958,0.9649534995129885,0.20353646038516315,-0.7614170391278253,0.6221481875736383,0.6357743513324059,0.4746319505844048,0.47921838753515006,1.551002669116954,1.5177609752433623,0.42883008641654397,0.34280531193935015,-0.2710954901992417
C. parapsilosis,cparapsilosis_iDC1003,B3 (before the repair),33.27731092436975,1.0228712036263443,0.004439740748252633,-1.0184314628780917,0.8277012725138999,0.7015602157526087,0.3644124136401635,0.3575395917031167,1.2357975486973374,1.4579948814928803,0.012183286249509116,0.1951699311124444,-0.35997267289191087
C. parapsilosis,cparapsilosis_iDC1003,B5 (repaired),33.27731092436975,1.0228712036262797,0.004439740748249615,-1.01843146287803,0.8277012725138999,0.7015602157526087,0.3644124136401635,0.3575395917031167,1.2357975486972592,1.457994881492788,0.012183286249500836,0.1951699311123798,-0.3599726728919139
C. parapsilosis,cparapsilosis_iDC1003,"B5, NGAM(T) off",33.27731092436975,1.0627572700638672,0.12964314458444282,-0.9331141254794244,0.8277012725138999,0.7015602157526087,0.3644124136401635,0.3575395917031167,1.2839865122304979,1.5148482570719595,0.3557594081096755,0.2350559975499673,-0.2347692690557207
