,zeros_convention,survivors_convention
22,0.2607,0.287470143396402
24,0.3367,0.36394137861278403
26,0.434,0.466795801417224
28,0.5233,0.5832764508993691
30,0.6482,0.62515541189559
32,0.7478,0.7472452648935
34,0.7761,0.8478680877548219
36,0.7988,0.7949871375254041
38,0.7486,0.762022484989488
40,0.6639,0.64323963347403
42,0.6082,0.628605013251765
44,0.2721,0.36039904077989404
