rxn_id,enzyme_id,group,FCC_sub_26.6C,FCC_opt_36.6C,FCC_supra_44.6C
GAPDNo1,P0A9B2,default,0.09233280941873812,0.08361293132406467,0.10129795208769221
3OAS140No1,P0A953,default,0.0843515610254808,0.05786595276435491,0.08205289973468588
ATPS4rppNo2,P0A6E6,default,0.03193562648682313,,0.028033329176108124
GLNSNo1,P0A9C5,default,0.05513109332105359,0.037716351285302374,0.053628702407865214
THRSNo1,P00934,default,0.052891871515609035,0.036181900962525826,0.05145050101546811
ARGSSNo1,P0A6E4,default,0.04370339418187652,0.029896278928823183,0.0425124173428687
ACONTbNo1,P36683,default,0.03933630930710308,0.02690886320607655,0.03826433973768695
ACONTaNo1,P36683,default,0.03859405648384273,0.026401106550685838,0.03754231405592723
ACGSNo1,P0A6C5,default,0.037959129648501566,0.025966768998778034,0.03692468962916973
PAPSR2No1,P17854,default,,0.016599541875883528,
ENONo1,P0A6P9,default,0.020831040884011776,0.01886281743134488,0.022854798453370018
PRFGSNo1,P15254,default,0.025426128283012606,0.01739286112598659,0.024733227054526963
ACACT5rNo1,P21151,default,0.021143647937910126,0.014463402936243375,0.020567449978109442
ACACT4rNo2,P21151,default,0.02114364793847634,0.014463402936634728,0.02056744997681048
ACACT3rNo2,P21151,default,0.021143647938065557,0.014463402936612524,0.020567449978331487
