temp_C,growth,mu_pred,mu_measured
22.0,0.012833520255354523,0.14651935920522688,0.2607
24.0,0.022643610670717317,0.2585204417456609,0.3367
26.0,0.03635519670646232,0.4150646135450139,0.434
28.0,0.05287406648116337,0.603659337831513,0.5233
30.0,0.06996629002187958,0.798799999999662,0.6482
32.0,0.06996629002190917,0.7987999999999997,0.7478
34.0,0.06996629002190917,0.7987999999999997,0.7761
36.0,0.06996629002190916,0.7987999999999996,0.7988
38.0,0.06996629002190917,0.7987999999999997,0.7486
40.0,0.06996629002190916,0.7987999999999996,0.6639
42.0,0.06996629002190918,0.7988,0.6082
44.0,0.06996629002190917,0.7987999999999997,0.2721
