temp_C,growth,mu_pred
15.0,0.0012255585361597703,0.009400407995971223
15.5,0.0014430301877312794,0.011068481932884648
16.0,0.0016859824233451596,0.0129319997257272
16.5,0.0019538744281941915,0.014986813159878256
17.0,0.0022452015197229657,0.017221380860929388
17.5,0.0027050239309331058,0.020748359086393
18.0,0.003270016989871784,0.02508202827657112
18.5,0.003937675207335338,0.030203170564630774
19.0,0.004722769587679843,0.036225084061890636
19.5,0.005641186507481157,0.04326962212499138
20.0,0.006709727819756966,0.05146566009427334
20.5,0.00794581451806288,0.06094682230695591
21.0,0.009367081633266248,0.07184837483176078
21.5,0.010990856573426203,0.08430322417658832
22.0,0.012833520255356593,0.09843701697263153
22.5,0.01490976025745649,0.11436241142865837
23.0,0.017231737588036776,0.13217268618978598
23.5,0.01980820270257466,0.15193495992004327
24.0,0.0226436106707298,0.17368340436334592
24.5,0.02573729783849097,0.19741292909088975
25.0,0.029082790502647834,0.22307387882336618
25.5,0.03261293087841458,0.2501511328558349
26.0,0.036355196706482566,0.2788554538452275
26.5,0.04028495574388868,0.30899790497059476
27.0,0.044373503013152946,0.34035831029430075
27.5,0.048583667152883155,0.3726515541302783
28.0,0.05287406648115915,0.4055602263490791
28.5,0.05720170210917442,0.4387545123508872
29.0,0.06152218321656808,0.47189392099606614
29.5,0.06579125286335948,0.5046389880483544
30.0,0.06996629002188898,0.5366627972182505
30.5,0.07400651852980152,0.5676525828961666
31.0,0.07787531550355256,0.5973274363885154
31.5,0.08154028280872935,0.6254388541168854
32.0,0.0849732993090592,0.6517711383838808
32.5,0.08815160671346102,0.6761497261513919
33.0,0.09105739343737114,0.6984379971299646
33.5,0.09367768597037454,0.7185364405353782
34.0,0.09600400259084037,0.7363799989742196
34.5,0.09803193863916475,0.7519348873630852
35.0,0.09976093635520883,0.7651968275114895
35.5,0.10119311180803407,0.7761820503149289
36.0,0.10233352791602535,0.7849293899025486
36.5,0.10318912001033552,0.7914920423808587
37.0,0.1037687287027744,0.7959378179404739
37.5,0.10408256438300219,0.7983450333861585
38.0,0.10414187970394359,0.7988
38.5,0.10395868939748837,0.797394874442324
39.0,0.10357055602284694,0.7944177730058514
39.5,0.10296752475671285,0.7897923391577463
40.0,0.10216045591751614,0.783601874854787
40.5,0.10116221715120827,0.7759450788684502
41.0,0.09998562249238657,0.7669202387547646
41.5,0.09864334375727692,0.7566245512114468
42.0,0.09714783517697051,0.7451535439918265
42.5,0.09551126615272248,0.7326005601174649
43.0,0.09374545668648378,0.7190562626106275
43.5,0.0918618092238747,0.704608111709092
44.0,0.08987122906367988,0.6893397543826839
44.5,0.08778402271362212,0.6733302446910415
45.0,0.08561069865081729,0.6566601858606864
45.5,0.08335898085625945,0.6393888231830961
46.0,0.08103623063643332,0.6215726201255777
46.5,0.0786481740165885,0.6032554970492999
47.0,0.07619818012613966,0.5844632962050854
47.5,0.07368620221318284,0.5651956589915628
48.0,0.07110711930381815,0.5454133059760689
48.5,0.0684481229560988,0.5250179924999113
49.0,0.0656846275990944,0.5038211397308756
49.5,0.06277368155437413,0.48149329518713535
50.0,0.05964360800374083,0.45748467579833824
50.5,0.05617794995747244,0.4309020209122429
51.0,0.052188420958032396,0.40030111593710416
51.5,0.04741609312972311,0.3636959050450916
52.0,0.04172696933616837,0.32005858930611475
52.5,0.03324555399915874,0.25500354525982666
53.0,0.01960860489779124,0.15040398384284695
53.5,0.006028747829138919,0.046242335740496604
54.0,0.0009949777001831699,0.00763178261392779
54.5,0.00011795830127352266,0.0009047761700206937
55.0,1.0230548586064367e-05,7.847142987797211e-05
55.5,0.0,0.0
56.0,0.0,0.0
56.5,0.0,0.0
57.0,0.0,0.0
57.5,0.0,0.0
58.0,0.0,0.0
58.5,0.0,0.0
59.0,0.0,0.0
59.5,0.0,0.0
60.0,0.0,0.0
60.5,0.0,0.0
61.0,0.0,0.0
61.5,0.0,0.0
62.0,0.0,0.0
62.5,0.0,0.0
63.0,0.0,0.0
63.5,0.0,0.0
64.0,0.0,0.0
64.5,0.0,0.0
65.0,0.0,0.0
65.5,0.0,0.0
66.0,0.0,0.0
66.5,0.0,0.0
67.0,0.0,0.0
67.5,0.0,0.0
68.0,0.0,0.0
68.5,0.0,0.0
69.0,0.0,0.0
69.5,0.0,0.0
70.0,0.0,0.0
70.5,0.0,0.0
71.0,0.0,0.0
71.5,0.0,0.0
72.0,0.0,0.0
72.5,0.0,0.0
73.0,0.0,0.0
73.5,0.0,0.0
74.0,0.0,0.0
74.5,0.0,0.0
75.0,0.0,0.0
