comparison,kind,head,n_pairs,mean_diff_C,ci_lo,ci_hi,sd_of_pair_diffs,frac_positive,n_identical_seq_pairs,mean_diff_identical_seqs
S. cerevisiae - S. uvarum,interspecies,Tm,5287,0.09442341933043312,0.054714189463770706,0.13413264919709553,1.4728162752822345,0.5383014942311329,,
C. auris clade I - clade II,same-species (noise floor),Tm,5183,-0.0361101562801467,-0.055508397116148425,-0.016711915444144982,0.7123663726156921,0.4057495658884816,1683.0,-0.006386543077837156
C. auris clade I - clade III,same-species (noise floor),Tm,5358,-0.008496167786487473,-0.028225066406329165,0.01123273083335422,0.7366445314956298,0.3896976483762598,2635.0,-0.005282115370018929
C. auris clade I - clade IV,same-species (noise floor),Tm,5153,-0.0782973660003882,-0.10686447079363227,-0.04973026120714412,1.0460348823889125,0.4513875412381137,905.0,-0.0030196607734806324
C. auris clade II - clade III,same-species (noise floor),Tm,5174,0.023429252609199917,0.002337937250425616,0.04452056796797422,0.773868483465139,0.43409354464630845,1636.0,-0.01824365342298287
C. auris clade II - clade IV,same-species (noise floor),Tm,5088,-0.04190254186320755,-0.07141239740933364,-0.012392686317081451,1.0737154418910608,0.47562893081761004,796.0,-0.019123778894472403
C. auris clade III - clade IV,same-species (noise floor),Tm,5145,-0.07001302196307103,-0.09884103096783882,-0.04118501295830325,1.0547682489867642,0.46355685131195334,881.0,-0.018364671963677713
C. auris - C. haemulonii,interspecies,Tm,4831,0.15099715835230798,0.1117854562321475,0.19020886047246846,1.390199980611791,0.5487476712895881,,
C. auris - C. duobushaemulonii,interspecies,Tm,4786,0.08225928771416627,0.04152759236042182,0.12299098306791072,1.4373445112068521,0.5351023819473464,,
C. auris - C. parapsilosis,interspecies,Tm,4525,0.29960094099447515,0.24219919531667006,0.35700268667228024,1.9695639813749666,0.589171270718232,,
S. cerevisiae - S. uvarum,interspecies,Topt,5287,0.1531336716474371,0.065722908064381,0.2405444352304932,3.24206728945039,0.5328163419708719,,
C. auris clade I - clade II,same-species (noise floor),Topt,5183,-0.03054757457071188,-0.08644459950198792,0.025349450360564157,2.0527202042156607,0.4192552575728343,1683.0,0.0012740279263220593
C. auris clade I - clade III,same-species (noise floor),Topt,5358,0.011716534714445677,-0.04406718209910361,0.06750025152799496,2.0828719701501326,0.3882045539380366,2635.0,0.056827120303605316
C. auris clade I - clade IV,same-species (noise floor),Topt,5153,-0.005807766543760813,-0.08120047982530607,0.06958494673778445,2.7606370523446553,0.4758393169027751,905.0,0.04124056906077354
C. auris clade II - clade III,same-species (noise floor),Topt,5174,0.02942312968689592,-0.029189830058245318,0.08803608943203717,2.150587646991196,0.4223038268264399,1636.0,0.017339916259168645
C. auris clade II - clade IV,same-species (noise floor),Topt,5088,0.02288627613993713,-0.05423434950331106,0.10000690178318532,2.8060322596979166,0.483687106918239,796.0,5.197864321614114e-05
C. auris clade III - clade IV,same-species (noise floor),Topt,5145,-0.019373869387754986,-0.09363693180476737,0.054889193029257405,2.717160255397176,0.47619047619047616,881.0,-0.10806370942111237
C. auris - C. haemulonii,interspecies,Topt,4831,0.04001933843924658,-0.06681344525982025,0.1468521221383134,3.7876176191491098,0.49927551231629064,,
C. auris - C. duobushaemulonii,interspecies,Topt,4786,0.007703526117843805,-0.10204540392077396,0.11745245615646158,3.87283222148843,0.4991642290012537,,
C. auris - C. parapsilosis,interspecies,Topt,4525,0.44588651204419893,0.30387924269641897,0.5878937813919789,4.872541758062703,0.5328176795580111,,
