head,proteome,n,mean,sd,iqr,p5_95
Tm,S. cerevisiae,6067,54.26353637234218,2.860205238018279,2.888750999999999,8.800364899999998
Tm,S. uvarum,5489,54.087414009837865,2.7669370193031666,2.6638379999999984,8.625695199999988
Tm,C. auris clade I,5424,54.02330688053097,2.6062690105175426,2.556580249999996,7.620919649999998
Tm,C. auris clade II,5327,54.03576286596583,2.5818928647616057,2.549856500000004,7.699635299999997
Tm,C. auris clade III,5521,54.04463288353559,2.6107421666041373,2.5581960000000024,7.823580999999997
Tm,C. auris clade IV,5506,54.127869803850345,2.6553408760436295,2.5761334999999974,7.752108749999998
Tm,C. haemulonii,5249,53.79565852486187,2.4660198452237942,2.4225649999999987,7.096741599999987
Tm,C. duobushaemulonii,5173,53.86455114710999,2.4454625277158306,2.434080999999999,7.328797599999994
Tm,C. parapsilosis,5830,53.83108087221269,2.7837645365818324,2.780463250000004,8.363665599999997
Topt,S. cerevisiae,6067,33.365845267183126,6.870112807890598,7.109031000000002,21.201023999999997
Topt,S. uvarum,5489,33.395061218072506,6.791138242472288,7.090225000000004,21.6099056
Topt,C. auris clade I,5424,34.0764186314528,7.2579200809687405,7.363456000000003,22.865418949999988
Topt,C. auris clade II,5327,34.11682184512859,7.261433405739118,7.404267999999995,22.917823399999993
Topt,C. auris clade III,5521,34.076179759101606,7.245048841090002,7.501593999999997,22.360809000000003
Topt,C. auris clade IV,5506,34.07977397457319,7.2124339393784425,7.455985000000002,22.51457375
Topt,C. haemulonii,5249,33.991909927986285,7.343744796294018,7.429935,22.4893912
Topt,C. duobushaemulonii,5173,34.0219425144017,7.215079238013093,7.581500999999999,22.843042199999996
Topt,C. parapsilosis,5830,33.687141985591765,7.284557865149609,7.480576249999995,23.167495249999998
