fit,config,medium,n_obs_T,g_prior,RQ_prior,ac_prior,growth_37C,acetate,o2,co2,RQ,cap_binds,c_max,etc_table,kcat_s,clearance,out_dir
D_NLDM,D,NLDM,12,0.7714481253345619,0.5041336532008167,0.10291117991963054,1.3119398041610482,17.965289091533062,24.26773555267656,30.22134964913539,1.2453304340462945,True,120.0,,300.0,5.0,calibration_configD_NLDM_recipe_cmax120
D_LB,D,LB,12,0.7680657134257908,0.7916055884031592,-0.0,1.338370056108474,7.054926886872472,31.61459812044467,40.05456223852762,1.266964143777142,True,120.0,,300.0,,calibration_configD_LB_recipe_cmax120
E_NLDM,E,NLDM,12,0.7635887937578827,0.4742206249363882,3.953883050321357,1.2039452373069146,27.55151102042237,24.258005001634917,33.91122811140316,1.3979396949220535,,,etc/complexes_szenk_merged_bd.csv,300.0,5.0,calibration_configE_NLDM_recipe_cmax120
E_LB,E,LB,12,0.7619737105914907,1.0912186055546413,4.80092425838743,1.1255521876418755,21.7188978254538,26.5297780079602,30.365847267882963,1.1445948495600589,True,120.0,etc/complexes_szenk_merged_bd.csv,300.0,,calibration_configE_LB_recipe_cmax120
F_NLDM,F,NLDM,12,0.7635887937578811,0.4742206249363878,3.953883050321292,1.1011778496120008,25.7884826428684,22.425068235078726,31.33933225655203,1.3975133510420736,,,etc/complexes_configF_as_fitted.csv,300.0,5.0,calibration_configF_NLDM_recipe_cmax120
F_LB,F,LB,12,0.7619737105914954,1.0912186055546513,4.800924258387762,1.0579935282549056,20.34737666068023,24.255774641466218,26.900658629521566,1.1090414149682035,True,120.0,etc/complexes_configF_as_fitted.csv,300.0,,calibration_configF_LB_recipe_cmax120
D_M9,D,glucose_minimal,12,0.4771886507826506,0.024002316916202186,-0.0,0.8791805206809805,19.629561900424655,21.272209559269335,20.30896596763709,0.9547182163212324,True,120.0,,300.0,,calibration_configD_M9_recipe_cmax120
E_M9,E,glucose_minimal,12,0.4771691590131058,0.024310348342053215,-0.0,3.662321410030475e-05,-0.0,3.169031994247908,2.8301310173409756e-05,8.930585183355455e-06,True,120.0,etc/complexes_szenk_merged_bd.csv,300.0,,calibration_configE_M9_recipe_cmax120
F_M9,F,glucose_minimal,12,0.4771691590131026,0.024310348342047972,-0.0,0.5298804742711618,0.0017807467147210043,14.852298390652862,0.41125632185316896,0.027689742761429357,True,120.0,etc/complexes_configF_as_fitted.csv,300.0,,calibration_configF_M9_recipe_cmax120
