temp_C,growth,mu_pred,mu_measured
22.0,0.005674539919902366,0.06645972297100335,0.2984
24.0,0.010347240331743602,0.1211859878807416,0.4086
26.0,0.017084238331887963,0.20008912841120796,0.4879
28.0,0.025582162945017667,0.2996160898193477,0.5949
30.0,0.03525569803231623,0.41291169988234017,0.6167
32.0,0.044565090055176025,0.5219424977268948,0.6033
34.0,0.05202804157067922,0.609347943325541,0.5387
36.0,0.056734686306206664,0.6644717612317277,0.4686
38.0,0.05787161585023428,0.6777873821631466,0.153
40.0,0.055769653467181275,0.6531693797092003,0.0
42.0,0.05092682064731953,0.5964505386849165,0.0
44.0,0.04316689595654866,0.5055669688265598,0.0
