T,OTU,n_replicates
15,1,5
15,2,5
20,1,5
20,2,5
25,1,5
25,2,5
27,1,5
27,2,5
30,1,5
30,2,5
35,1,5
35,2,5
37,1,5
37,2,5
40,1,5
40,2,3
43,1,5
43,2,4
45,1,5
45,2,5
47,1,5
47,2,5
50,1,5
50,2,5
